Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4474,87,4160,227,20007,11979
"North Chicago, IL HCS",4278,52,4202,24,5331,1683
"Columbia, SC HCS",4208,133,3888,187,7608,2823
"Phoenix, AZ HCS",4126,99,3817,210,13947,6476
"Atlanta, GA HCS",3995,157,3710,128,9664,3763
"San Antonio, TX HCS",3956,56,3755,145,15670,12146
"Loma Linda, CA HCS",3695,54,3496,145,11431,3027
"Orlando, FL HCS",3695,112,3508,75,29624,18753
"Dallas, TX HCS",3639,61,3432,146,11799,7626
"Houston, TX HCS",3570,80,3368,122,15952,7123
"Gainesville, FL HCS",3482,86,3259,137,24074,12607
Middle Tennessee HCS,3426,81,3185,160,11418,4909
"Temple, TX HCS",3344,58,3188,98,7185,3448
"Minneapolis, MN HCS",3029,57,2795,177,20320,10948
"Long Beach, CA HCS",2918,60,2759,99,11836,3913
"Greater Los Angeles, CA HCS",2869,37,2722,110,13363,6939
"Salisbury, NC HCS",2811,69,2616,126,14057,6286
"Aurora, CO HCS",2712,51,2576,85,9845,4061
"Tampa, FL HCS",2711,57,2534,120,24668,13764
"Bay Pines, FL HCS",2682,73,2518,91,23562,11627
"Mountain Home, TN HCS",2639,60,2424,155,8057,4409
"Milwaukee, WI HCS",2625,44,2496,85,10141,7530
"Charleston, SC HCS",2606,78,2464,64,13713,7324
"Las Vegas, NV HCS",2515,88,2335,92,11430,6697
N. California HCS,2463,62,2294,107,18183,7978
"Little Rock, AR HCS",2328,45,2188,95,7234,3096
"Indianapolis, IN HCS",2322,44,2164,114,8996,2996
"San Diego, CA HCS",2308,51,2215,42,12072,4669
"Birmingham, AL HCS",2276,44,2108,124,11952,7197
"Hines, IL HCS",2227,32,2109,86,12055,8143
Texas Valley Coastal Bend HCS,2212,27,2036,149,5059,2458
"St. Louis, MO HCS",2206,42,2081,83,10808,6973
"Muskogee, OK HCS",2189,40,2014,135,5596,2095
"Fayetteville, NC HCS",2174,79,2029,66,12577,4981
"Kansas City, MO HCS",2172,37,2043,92,12107,6910
"Durham, NC HCS",2124,82,1953,89,14162,4536
Nebraska-W Iowa HCS,2074,46,1912,116,21890,12633
"Washington, DC HCS",2048,65,1872,111,9125,5327
"Columbia, MO HCS",2020,22,1866,132,10035,6944
Southern Arizona HCS,2004,42,1814,148,11389,3383
"Oklahoma City, OK HCS",1988,36,1815,137,9966,5174
