Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
"North Chicago, IL HCS",2163,138,2013,12
"San Antonio, TX HCS",1761,70,1609,82
"Houston, TX HCS",1710,64,1578,68
"Orlando, FL HCS",1637,100,1502,35
"Atlanta, GA HCS",1576,74,1446,56
"Columbia, SC HCS",1486,86,1333,67
"Phoenix, AZ HCS",1467,40,1341,86
Texas Valley Coastal Bend HCS,1421,38,1286,97
"Gainesville, FL HCS",1410,80,1271,59
"Tampa, FL HCS",1211,73,1076,62
"Miami, FL HCS",1175,37,1103,35
"Charleston, SC HCS",1126,63,1040,23
"Dallas, TX HCS",1121,103,971,47
"Bay Pines, FL HCS",1118,76,999,43
"New Orleans, LA HCS",1092,18,1000,74
New York Harbor HCS,1088,9,962,117
"Temple, TX HCS",1062,73,961,28
New Jersey HCS,1061,12,928,121
"St. Louis, MO HCS",958,69,827,62
"Cleveland, OH HCS",942,108,756,78
Middle Tennessee HCS,928,82,810,36
Nebraska-W Iowa HCS,926,127,748,51
"Minneapolis, MN HCS",892,156,674,62
"Washington, DC HCS",882,24,792,66
"Chicago, IL HCS",878,82,748,48
"Milwaukee, WI HCS",873,158,695,20
"Aurora, CO HCS",840,88,713,39
"Hines, IL HCS",827,89,699,39
"Bronx, NY HCS",819,12,714,93
"Loma Linda, CA HCS",818,37,761,20
"Kansas City, MO HCS",808,89,683,36
"Boston, MA HCS",801,14,690,97
"Salisbury, NC HCS",800,59,689,52
"Philadelphia, PA HCS",794,50,687,57
"Las Vegas, NV HCS",793,67,697,29
"Gulf Coast, MS HCS",763,28,705,30
"Long Beach, CA HCS",735,31,686,18
"West Palm Beach, FL HCS",733,26,669,38
"Fayetteville, NC HCS",721,68,628,25
"Mountain Home, TN HCS",713,114,565,34
"Muskogee, OK HCS",673,94,529,50
"Greater Los Angeles, CA HCS",665,19,609,37
"Birmingham, AL HCS",663,33,592,38
"Little Rock, AR HCS",656,57,577,22
"Shreveport, LA HCS",650,43,558,49
"Dublin, GA HCS",634,36,578,20
Central Alabama HCS,629,39,575,15
"Indianapolis, IN HCS",626,44,522,60
"Durham, NC HCS",623,48,541,34
"Augusta, GA HCS",620,20,562,38
"Richmond, VA HCS",578,25,515,38
"San Diego, CA HCS",577,32,534,11
"Alexandria, LA HCS",571,22,522,27
"Jackson, MS HCS",566,29,490,47
"Oklahoma City, OK HCS",559,60,462,37
Connecticut HCS,550,27,483,40
N. California HCS,525,26,470,29
"Memphis, TN HCS",519,43,452,24
"Louisville, KY HCS",508,76,411,21
"Baltimore, MD HCS",503,19,451,33
"Madison, WI HCS",485,89,378,18
"Boise, ID HCS",481,70,398,13
"Palo Alto, CA HCS",481,16,434,31
"San Juan, PR HCS",480,76,394,10
