Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4431,106,4106,219,18196,10256
"North Chicago, IL HCS",4248,39,4185,24,4956,1485
"Columbia, SC HCS",4148,180,3786,182,6983,1804
"Phoenix, AZ HCS",4087,108,3770,209,12286,4980
"San Antonio, TX HCS",3923,67,3713,143,14616,10668
"Atlanta, GA HCS",3922,170,3629,123,8818,2717
"Loma Linda, CA HCS",3678,71,3468,139,10023,1934
"Orlando, FL HCS",3623,139,3411,73,27000,16801
"Dallas, TX HCS",3607,97,3367,143,11115,4343
"Houston, TX HCS",3520,81,3322,117,13873,5205
"Gainesville, FL HCS",3429,101,3193,135,22009,10722
Middle Tennessee HCS,3379,91,3134,154,10297,2882
"Temple, TX HCS",3291,68,3128,95,6143,1983
"Minneapolis, MN HCS",3002,58,2771,173,19248,8811
"Long Beach, CA HCS",2891,75,2720,96,9615,2878
"Greater Los Angeles, CA HCS",2858,51,2700,107,11370,5762
"Salisbury, NC HCS",2777,96,2556,125,12589,5231
"Aurora, CO HCS",2690,54,2552,84,8608,2816
"Tampa, FL HCS",2660,62,2483,115,22402,11841
"Bay Pines, FL HCS",2629,78,2463,88,21637,9761
"Mountain Home, TN HCS",2609,68,2388,153,7838,4187
"Milwaukee, WI HCS",2592,47,2462,83,9527,5993
"Charleston, SC HCS",2570,95,2412,63,12847,3860
"Las Vegas, NV HCS",2469,86,2293,90,10231,5561
N. California HCS,2425,83,2243,99,15388,6313
"Little Rock, AR HCS",2310,63,2156,91,6027,2460
"Indianapolis, IN HCS",2306,51,2143,112,7783,2125
"San Diego, CA HCS",2282,68,2172,42,11061,3627
"Birmingham, AL HCS",2249,75,2053,121,10571,5809
"Hines, IL HCS",2209,32,2092,85,11374,7349
Texas Valley Coastal Bend HCS,2201,28,2027,146,4546,2142
"St. Louis, MO HCS",2185,48,2054,83,10471,6166
"Muskogee, OK HCS",2177,41,2003,133,4681,1545
"Kansas City, MO HCS",2166,52,2022,92,10829,6376
"Fayetteville, NC HCS",2148,107,1976,65,11467,3664
"Durham, NC HCS",2092,106,1899,87,12612,3280
Nebraska-W Iowa HCS,2049,58,1876,115,20311,11180
"Washington, DC HCS",2018,77,1830,111,8266,4204
"Columbia, MO HCS",2010,31,1847,132,9655,6226
Southern Arizona HCS,1989,53,1790,146,9923,1975
"Oklahoma City, OK HCS",1977,50,1791,136,8706,2806
"Miami, FL HCS",1948,55,1844,49,14125,6757
"Boston, MA HCS",1903,54,1725,124,9330,1929
"Philadelphia, PA HCS",1896,51,1753,92,11672,5540
New Jersey HCS,1883,69,1667,147,5630,766
"Asheville, NC HCS",1865,63,1707,95,4891,1777
"Gulf Coast, MS HCS",1853,63,1719,71,6839,2069
"New Orleans, LA HCS",1843,37,1709,97,17510,8186
"Louisville, KY HCS",1842,62,1694,86,6264,1915
"Chicago, IL HCS",1801,34,1686,81,8173,5130
"Fayetteville, AR HCS",1801,38,1665,98,5681,2142
Connecticut HCS,1796,70,1641,85,15178,7111
New York Harbor HCS,1718,57,1534,127,10243,6822
"Lebanon, PA HCS",1715,49,1554,112,7238,2212
"Richmond, VA HCS",1706,99,1529,78,8500,2873
"Augusta, GA HCS",1687,88,1517,82,7721,4775
"Palo Alto, CA HCS",1639,54,1501,84,8907,4520
"Shreveport, LA HCS",1609,19,1493,97,5722,2427
"Cincinnati, OH HCS",1606,43,1513,50,5727,2422
Central Alabama HCS,1575,48,1475,52,4911,1225
"Pittsburgh, PA HCS",1535,42,1412,81,14491,7036
"West Palm Beach, FL HCS",1532,54,1417,61,16082,8446
"Dayton, OH HCS",1526,43,1428,55,6142,2481
"Salt Lake City, UT HCS",1524,51,1414,59,6774,2025
"Madison, WI HCS",1522,21,1428,73,7458,2355
"Boise, ID HCS",1511,29,1421,61,5657,3166
"Bronx, NY HCS",1499,48,1338,113,4644,474
"Fresno, CA HCS",1488,40,1369,79,5720,1308
"Dublin, GA HCS",1474,50,1379,45,6617,2260
"Ann Arbor, MI HCS",1473,24,1396,53,18954,9927
"Iowa City, IA HCS",1465,45,1352,68,5739,1379
"Baltimore, MD HCS",1434,54,1324,56,10021,5591
New Mexico HCS,1421,46,1292,83,8369,4012
"El Paso, TX HCS",1349,47,1202,100,3138,1387
Northern Indiana HCS,1338,35,1243,60,6070,2158
"Columbus, OH HCS",1326,28,1243,55,4713,1236
"Fargo, ND HCS",1314,15,1191,108,8150,2398
"Hampton, VA HCS",1296,58,1218,20,3711,968
Western New York HCS,1289,36,1179,74,10665,5169
"Wichita, KS HCS",1285,34,1181,70,3702,1196
"Lexington, KY HCS",1272,32,1154,86,8853,6836
"Puget Sound, WA HCS",1264,35,1178,51,10914,4333
"Memphis, TN HCS",1256,30,1154,72,8227,3167
"Sioux Falls, SD HCS",1251,34,1148,69,5956,1810
Eastern Kansas HCS,1245,22,1190,33,5612,1820
"Amarillo, TX HCS",1231,15,1159,57,3627,1755
"St. Cloud, MN HCS",1223,18,1149,56,7022,2119
Central Iowa HCS,1188,34,1096,58,4733,702
"Martinsburg, WV HCS",1167,38,1081,48,5651,746
Montana HCS,1164,21,1093,50,5036,1286
"Poplar Bluff, MO HCS",1111,12,1020,79,1812,491
"Jackson, MS HCS",1109,21,1019,69,5765,2440
"Portland, OR HCS",1092,30,1020,42,13488,10325
"Salem, VA HCS",1051,37,945,69,3745,1179
"Providence, RI HCS",1046,46,923,77,4470,949
"Alexandria, LA HCS",1038,10,981,47,3890,1645
"San Juan, PR HCS",1011,15,948,48,13666,5012
"Black Hills, SD HCS",998,20,940,38,5304,2149
"Battle Creek, MI HCS",994,21,907,66,4893,1349
"Reno, NV HCS",981,26,897,58,4809,1700
"Marion, IL HCS",941,26,865,50,3421,1163
"Wilkes-Barre, PA HCS",931,40,836,55,5760,1262
"Altoona, PA HCS",929,25,855,49,4988,1713
"Tomah, WI HCS",895,18,851,26,5117,1643
"Wilmington, DE HCS",893,29,829,35,8098,3977
"Syracuse, NY HCS",881,34,788,59,6428,1841
"Northport, NY HCS",875,38,779,58,6225,1559
Northern Arizona HCS,816,28,749,39,5101,1798
"Detroit, MI HCS",786,10,694,82,4132,1213
"Huntington, WV HCS",786,26,700,60,5112,2034
"Danville, IL HCS",773,14,716,43,4174,1109
"Hudson Valley, NY HCS",771,13,724,34,6195,1640
"Bedford, MA HCS",751,11,695,45,9152,4771
"Finger Lakes, NY HCS",700,27,643,30,5899,1508
"Saginaw, MI HCS",700,18,641,41,4903,1229
"Iron Mountain, MI HCS",675,9,638,28,5514,1770
"Erie, PA HCS",671,19,621,31,4000,1143
"Tuscaloosa, AL HCS",667,14,618,35,2454,530
Central Western Massachusetts HCS,657,25,585,47,4101,1314
"Cheyenne, WY HCS",634,12,594,28,3697,1044
"San Francisco, CA HCS",634,25,577,32,6076,1005
"Anchorage, AK HCS",631,19,601,11,2879,1337
"Chillicothe, OH HCS",580,18,549,13,4372,2462
"Albany, NY HCS",577,24,515,38,5324,1111
"Manchester, NH HCS",544,21,499,24,3357,898
"Big Spring, TX HCS",541,5,495,41,2069,1144
"Togus, ME HCS",509,25,461,23,3855,1111
"Butler, PA HCS",497,16,466,15,4227,1445
"Clarksburg, WV HCS",474,23,423,28,3900,1522
"Coatesville, PA HCS",440,16,405,19,3811,1285
"Grand Junction, CO HCS",439,12,405,22,3282,1322
"Walla Walla, WA HCS",388,10,353,25,3078,1149
"Sheridan, WY HCS",344,4,334,6,2499,826
"Honolulu, HI HCS",290,1,276,13,5766,2048
"Beckley, WV HCS",282,19,253,10,2543,577
"Spokane, WA HCS",265,2,243,20,3283,0
"Roseburg, OR HCS",225,18,199,8,2964,919
"White City, OR HCS",207,8,179,20,2668,786
"White River Junction, VT HCS",206,4,196,6,3505,849
"Manila, PI HCS",2,0,2,0,0,0
