Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
"North Chicago, IL HCS",1657,91,1556,10
"San Antonio, TX HCS",1532,40,1426,66
"Houston, TX HCS",1498,26,1418,54
"Phoenix, AZ HCS",1342,27,1239,76
"Orlando, FL HCS",1332,46,1258,28
"Atlanta, GA HCS",1310,51,1210,49
Texas Valley Coastal Bend HCS,1282,32,1165,85
"Columbia, SC HCS",1196,92,1053,51
"Gainesville, FL HCS",1140,52,1048,40
"Miami, FL HCS",1061,26,1007,28
New York Harbor HCS,1046,3,927,116
"New Orleans, LA HCS",1022,13,939,70
New Jersey HCS,1020,8,891,121
"Tampa, FL HCS",997,46,900,51
"Charleston, SC HCS",958,40,899,19
"Bay Pines, FL HCS",923,34,855,34
"Temple, TX HCS",831,31,778,22
"Dallas, TX HCS",814,38,742,34
"Washington, DC HCS",780,25,692,63
"Bronx, NY HCS",778,4,681,93
"Boston, MA HCS",747,9,644,94
"Cleveland, OH HCS",728,20,635,73
"Chicago, IL HCS",718,21,649,48
"Philadelphia, PA HCS",701,10,634,57
"St. Louis, MO HCS",695,83,579,33
"Loma Linda, CA HCS",664,19,633,12
Middle Tennessee HCS,659,46,589,24
"West Palm Beach, FL HCS",644,22,588,34
"Gulf Coast, MS HCS",636,25,587,24
"Las Vegas, NV HCS",634,23,586,25
"Long Beach, CA HCS",630,19,595,16
"Hines, IL HCS",625,32,556,37
"Salisbury, NC HCS",604,22,545,37
Nebraska-W Iowa HCS,600,63,495,42
"Greater Los Angeles, CA HCS",581,22,524,35
"Aurora, CO HCS",573,18,521,34
Central Alabama HCS,527,28,488,11
"Kansas City, MO HCS",525,49,462,14
"Augusta, GA HCS",521,24,470,27
"Birmingham, AL HCS",517,40,446,31
"Indianapolis, IN HCS",515,15,445,55
"Shreveport, LA HCS",514,24,450,40
"Dublin, GA HCS",510,33,461,16
"Minneapolis, MN HCS",510,36,423,51
"Fayetteville, NC HCS",500,45,435,20
"Alexandria, LA HCS",498,31,444,23
"Little Rock, AR HCS",491,48,430,13
"Jackson, MS HCS",486,33,420,33
"San Diego, CA HCS",482,24,446,12
Connecticut HCS,481,5,437,39
"Durham, NC HCS",455,29,400,26
"Richmond, VA HCS",441,20,393,28
"Baltimore, MD HCS",433,34,368,31
"Milwaukee, WI HCS",429,28,385,16
Southern Arizona HCS,419,7,372,40
"Mountain Home, TN HCS",417,31,365,21
N. California HCS,414,29,368,17
"Palo Alto, CA HCS",414,22,367,25
"Hampton, VA HCS",405,16,379,10
"Memphis, TN HCS",389,27,344,18
"Muskogee, OK HCS",389,31,326,32
Western New York HCS,382,9,331,42
"Northport, NY HCS",381,3,329,49
"Detroit, MI HCS",374,3,317,54
"Fresno, CA HCS",371,16,337,18
"Puget Sound, WA HCS",364,8,341,15
"Louisville, KY HCS",328,23,290,15
"Ann Arbor, MI HCS",320,13,278,29
"Asheville, NC HCS",316,30,260,26
"Boise, ID HCS",311,15,283,13
"San Juan, PR HCS",310,47,255,8
"Oklahoma City, OK HCS",307,24,263,20
