Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
"North Chicago, IL HCS",2333,183,2137,13
"San Antonio, TX HCS",1816,66,1666,84
"Houston, TX HCS",1748,54,1626,68
"Orlando, FL HCS",1740,113,1589,38
"Atlanta, GA HCS",1641,83,1502,56
"Columbia, SC HCS",1558,94,1395,69
"Phoenix, AZ HCS",1544,87,1370,87
"Gainesville, FL HCS",1468,81,1326,61
Texas Valley Coastal Bend HCS,1447,34,1315,98
"Tampa, FL HCS",1258,61,1134,63
"Dallas, TX HCS",1227,128,1048,51
"Miami, FL HCS",1204,43,1123,38
"Bay Pines, FL HCS",1184,93,1047,44
"Charleston, SC HCS",1161,51,1086,24
"Temple, TX HCS",1135,74,1027,34
"Minneapolis, MN HCS",1126,275,785,66
"New Orleans, LA HCS",1111,21,1015,75
"Milwaukee, WI HCS",1110,261,825,24
New York Harbor HCS,1100,15,967,118
New Jersey HCS,1081,25,934,122
"Cleveland, OH HCS",1077,166,831,80
"St. Louis, MO HCS",1066,120,880,66
Nebraska-W Iowa HCS,1064,201,809,54
"Aurora, CO HCS",1011,194,776,41
Middle Tennessee HCS,1001,96,868,37
"Hines, IL HCS",981,173,767,41
"Chicago, IL HCS",963,113,802,48
"Kansas City, MO HCS",951,167,745,39
"Washington, DC HCS",912,30,815,67
"Loma Linda, CA HCS",876,67,788,21
"Philadelphia, PA HCS",857,76,723,58
"Las Vegas, NV HCS",850,83,735,32
"Salisbury, NC HCS",841,59,728,54
"Bronx, NY HCS",828,12,722,94
"Boston, MA HCS",823,22,704,97
"Gulf Coast, MS HCS",805,41,732,32
"Mountain Home, TN HCS",788,111,641,36
"West Palm Beach, FL HCS",772,44,690,38
"Long Beach, CA HCS",763,37,707,19
"Fayetteville, NC HCS",755,45,680,30
"Little Rock, AR HCS",728,77,626,25
"Muskogee, OK HCS",723,81,589,53
"Birmingham, AL HCS",722,63,620,39
"Indianapolis, IN HCS",715,106,549,60
"Shreveport, LA HCS",710,65,595,50
"Greater Los Angeles, CA HCS",691,23,631,37
"Durham, NC HCS",667,56,576,35
Central Alabama HCS,657,37,604,16
"Dublin, GA HCS",653,28,604,21
"Augusta, GA HCS",638,22,576,40
"Oklahoma City, OK HCS",624,76,505,43
"Madison, WI HCS",614,145,449,20
"San Diego, CA HCS",614,48,554,12
"Alexandria, LA HCS",606,33,543,30
Connecticut HCS,605,63,502,40
"Columbia, MO HCS",602,176,405,21
"Richmond, VA HCS",600,24,534,42
"El Paso, TX HCS",593,161,407,25
N. California HCS,589,71,486,32
"Fargo, ND HCS",587,160,384,43
"Louisville, KY HCS",587,94,469,24
"Jackson, MS HCS",583,26,510,47
"Boise, ID HCS",562,116,429,17
"Memphis, TN HCS",559,54,476,29
"Amarillo, TX HCS",548,91,442,15
"Baltimore, MD HCS",542,40,468,34
"San Juan, PR HCS",535,73,447,15
"Salt Lake City, UT HCS",532,81,426,25
Southern Arizona HCS,505,36,428,41
"Sioux Falls, SD HCS",500,140,339,21
"Palo Alto, CA HCS",497,17,447,33
"Ann Arbor, MI HCS",494,92,371,31
"Puget Sound, WA HCS",491,51,418,22
"Asheville, NC HCS",484,39,412,33
"Hampton, VA HCS",473,24,437,12
"Fayetteville, AR HCS",470,64,385,21
"Fresno, CA HCS",449,22,407,20
"St. Cloud, MN HCS",449,155,277,17
"Lebanon, PA HCS",448,58,356,34
"Iowa City, IA HCS",446,155,281,10
Western New York HCS,437,35,357,45
"Detroit, MI HCS",427,26,342,59
"Dayton, OH HCS",424,88,319,17
"Black Hills, SD HCS",419,101,308,10
"Northport, NY HCS",410,16,344,50
"Cincinnati, OH HCS",406,59,338,9
"Lexington, KY HCS",385,58,298,29
"Wichita, KS HCS",348,111,221,16
Central Iowa HCS,346,84,246,16
Northern Indiana HCS,346,60,276,10
"Pittsburgh, PA HCS",346,48,280,18
"Tomah, WI HCS",346,94,250,2
Eastern Kansas HCS,341,75,262,4
"Bedford, MA HCS",338,8,293,37
New Mexico HCS,332,71,244,17
"Portland, OR HCS",329,50,265,14
"Columbus, OH HCS",328,33,274,21
"Hudson Valley, NY HCS",322,13,288,21
"Poplar Bluff, MO HCS",314,79,228,7
"Providence, RI HCS",304,34,242,28
Montana HCS,303,63,234,6
"Wilmington, DE HCS",303,16,268,19
"Salem, VA HCS",300,39,237,24
"Danville, IL HCS",299,56,235,8
"Reno, NV HCS",296,50,230,16
"Battle Creek, MI HCS",271,43,213,15
"Iron Mountain, MI HCS",268,76,185,7
"Martinsburg, WV HCS",259,18,228,13
"Tuscaloosa, AL HCS",259,12,235,12
"Spokane, WA HCS",228,0,208,20
"San Francisco, CA HCS",227,15,199,13
"Anchorage, AK HCS",223,55,167,1
"Wilkes-Barre, PA HCS",222,38,163,21
Central Western Massachusetts HCS,213,16,175,22
"Big Spring, TX HCS",211,23,181,7
Northern Arizona HCS,191,10,173,8
"Honolulu, HI HCS",181,20,154,7
"Huntington, WV HCS",172,15,139,18
"Altoona, PA HCS",171,68,98,5
"Marion, IL HCS",170,40,118,12
"Walla Walla, WA HCS",169,14,145,10
"Saginaw, MI HCS",161,25,127,9
"Cheyenne, WY HCS",157,46,108,3
"Coatesville, PA HCS",154,13,129,12
"Manchester, NH HCS",120,10,95,15
"Finger Lakes, NY HCS",110,22,86,2
