Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4766,90,4425,251,37241,31055,872
"North Chicago, IL HCS",4460,68,4366,26,10392,7759,137
"Columbia, SC HCS",4453,60,4194,199,18237,11002,1203
"Phoenix, AZ HCS",4370,36,4102,232,30583,20637,409
"Atlanta, GA HCS",4339,84,4111,144,25191,13888,1629
"San Antonio, TX HCS",4196,60,3981,155,34120,23780,156
"Orlando, FL HCS",4032,93,3860,79,49593,40175,1162
"Dallas, TX HCS",3910,40,3708,162,30861,20806,47
"Loma Linda, CA HCS",3899,24,3712,163,22463,15005,801
"Houston, TX HCS",3852,54,3664,134,37483,27621,1071
"Gainesville, FL HCS",3778,52,3571,155,41436,33257,1200
Middle Tennessee HCS,3699,76,3439,184,24706,16850,1147
"Temple, TX HCS",3579,50,3416,113,26220,14219,1724
"Minneapolis, MN HCS",3210,69,2958,183,50289,37753,308
"Greater Los Angeles, CA HCS",3025,26,2870,129,31319,22967,796
"Long Beach, CA HCS",3023,24,2888,111,25189,18205,608
"Salisbury, NC HCS",3021,35,2852,134,26843,19118,451
"Bay Pines, FL HCS",3002,68,2833,101,42131,31563,860
"Tampa, FL HCS",2962,63,2773,126,43244,34973,1114
"Aurora, CO HCS",2893,60,2742,91,26443,17952,195
"Mountain Home, TN HCS",2808,51,2594,163,15774,11691,1021
"Charleston, SC HCS",2777,46,2662,69,30280,21175,50
"Milwaukee, WI HCS",2752,37,2627,88,28955,22681,419
"Las Vegas, NV HCS",2668,40,2520,108,23050,17959,538
N. California HCS,2596,45,2429,122,36404,26706,583
"Little Rock, AR HCS",2472,15,2355,102,18831,11690,<10
"San Diego, CA HCS",2468,28,2393,47,31485,20292,187
"Indianapolis, IN HCS",2439,33,2281,125,16973,12666,600
"Birmingham, AL HCS",2395,19,2244,132,21146,16510,2007
"Fayetteville, NC HCS",2367,44,2250,73,23012,17348,525
"Hines, IL HCS",2366,51,2224,91,24794,18773,493
"St. Louis, MO HCS",2319,33,2199,87,23754,16859,45
"Durham, NC HCS",2295,39,2157,99,27645,21721,817
Texas Valley Coastal Bend HCS,2294,12,2129,153,12070,7944,542
"Muskogee, OK HCS",2250,13,2089,148,11574,8042,466
"Kansas City, MO HCS",2240,9,2134,97,20527,17244,1218
"Washington, DC HCS",2227,53,2056,118,22748,17453,858
Nebraska-W Iowa HCS,2201,39,2037,125,32577,27573,456
New Jersey HCS,2157,72,1937,148,14860,10228,360
"Miami, FL HCS",2151,35,2060,56,25347,20036,656
Southern Arizona HCS,2109,18,1928,163,21653,15189,990
"Philadelphia, PA HCS",2096,65,1934,97,24113,18678,596
"Columbia, MO HCS",2089,20,1934,135,14117,12310,313
