Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4690,61,4391,238,35223,27633,490
"Columbia, SC HCS",4407,54,4156,197,16544,9679,636
"North Chicago, IL HCS",4403,40,4338,25,9803,6837,110
"Phoenix, AZ HCS",4340,39,4074,227,27111,18227,309
"Atlanta, GA HCS",4266,64,4058,144,22310,12213,1174
"San Antonio, TX HCS",4147,49,3944,154,30672,19974,87
"Orlando, FL HCS",3966,83,3806,77,46663,35041,886
"Loma Linda, CA HCS",3880,26,3697,157,20469,12835,797
"Dallas, TX HCS",3878,46,3672,160,28890,16537,14
"Houston, TX HCS",3803,42,3628,133,35324,23852,798
"Gainesville, FL HCS",3736,47,3539,150,39219,28682,1012
Middle Tennessee HCS,3646,65,3402,179,22143,14246,1049
"Temple, TX HCS",3531,35,3383,113,23672,10559,1137
"Minneapolis, MN HCS",3154,52,2921,181,46226,31938,207
"Greater Los Angeles, CA HCS",3010,22,2864,124,29242,19926,694
"Long Beach, CA HCS",3002,21,2872,109,23333,15421,556
"Salisbury, NC HCS",2994,32,2828,134,25140,16297,306
"Bay Pines, FL HCS",2943,54,2788,101,38537,27311,379
"Tampa, FL HCS",2910,40,2745,125,40372,30428,1102
"Aurora, CO HCS",2846,44,2713,89,22920,14762,115
"Mountain Home, TN HCS",2767,42,2562,163,14770,10020,827
"Charleston, SC HCS",2744,37,2641,66,27438,17376,<10
"Milwaukee, WI HCS",2720,24,2609,87,27496,18246,376
"Las Vegas, NV HCS",2636,37,2498,101,21968,15180,498
N. California HCS,2562,34,2408,120,33881,22247,571
"Little Rock, AR HCS",2461,28,2332,101,17028,9503,<10
"San Diego, CA HCS",2446,28,2371,47,27540,16957,133
"Indianapolis, IN HCS",2414,27,2266,121,16317,10921,356
"Birmingham, AL HCS",2388,24,2234,130,19930,14332,2000
"Fayetteville, NC HCS",2328,39,2220,69,21595,13752,310
"Hines, IL HCS",2325,25,2210,90,23088,16673,490
"St. Louis, MO HCS",2293,34,2173,86,21744,14320,25
Texas Valley Coastal Bend HCS,2282,13,2116,153,10948,6057,336
"Durham, NC HCS",2269,53,2118,98,26464,19312,513
"Muskogee, OK HCS",2241,13,2081,147,10807,6281,321
"Kansas City, MO HCS",2232,19,2116,97,19310,15135,1193
"Washington, DC HCS",2189,60,2013,116,20961,15467,495
Nebraska-W Iowa HCS,2177,36,2017,124,30905,24992,177
"Miami, FL HCS",2126,25,2045,56,24593,17811,484
New Jersey HCS,2101,56,1897,148,12787,7913,323
