Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4461,88,4150,223,19505,11666
"North Chicago, IL HCS",4273,51,4198,24,5182,1617
"Columbia, SC HCS",4203,147,3871,185,7423,2569
"Phoenix, AZ HCS",4122,105,3807,210,13626,6071
"Atlanta, GA HCS",3982,162,3692,128,9439,3515
"San Antonio, TX HCS",3948,54,3750,144,15384,11894
"Loma Linda, CA HCS",3688,55,3489,144,11049,2756
"Orlando, FL HCS",3684,117,3494,73,28921,18457
"Dallas, TX HCS",3630,62,3422,146,11602,6825
"Houston, TX HCS",3557,73,3365,119,15266,6720
"Gainesville, FL HCS",3480,90,3253,137,23329,11970
Middle Tennessee HCS,3421,84,3182,155,11055,4531
"Temple, TX HCS",3331,55,3180,96,6852,3176
"Minneapolis, MN HCS",3024,57,2790,177,20011,10444
"Long Beach, CA HCS",2915,60,2757,98,11341,3693
"Greater Los Angeles, CA HCS",2866,41,2715,110,12892,6612
"Salisbury, NC HCS",2799,75,2599,125,13613,6072
"Aurora, CO HCS",2710,55,2570,85,9596,3781
"Tampa, FL HCS",2707,59,2529,119,23975,13367
"Bay Pines, FL HCS",2678,74,2514,90,23052,11161
"Mountain Home, TN HCS",2634,61,2419,154,8002,4379
"Milwaukee, WI HCS",2621,46,2490,85,9883,7260
"Charleston, SC HCS",2598,77,2457,64,13582,6599
"Las Vegas, NV HCS",2507,94,2322,91,11148,6452
N. California HCS,2449,65,2280,104,17399,7467
"Little Rock, AR HCS",2326,50,2181,95,6816,2871
"Indianapolis, IN HCS",2319,49,2156,114,8713,2778
"San Diego, CA HCS",2298,47,2209,42,11867,4309
"Birmingham, AL HCS",2269,49,2096,124,11823,6866
"Hines, IL HCS",2223,31,2106,86,11852,7915
Texas Valley Coastal Bend HCS,2209,28,2033,148,4906,2396
"St. Louis, MO HCS",2201,44,2074,83,10657,6932
"Muskogee, OK HCS",2188,41,2014,133,5134,1653
"Fayetteville, NC HCS",2170,83,2021,66,12283,4615
"Kansas City, MO HCS",2166,38,2036,92,12080,6507
"Durham, NC HCS",2116,85,1942,89,13775,4233
Nebraska-W Iowa HCS,2071,49,1906,116,21620,12229
"Washington, DC HCS",2045,71,1863,111,8962,5078
"Columbia, MO HCS",2017,24,1861,132,9931,6814
Southern Arizona HCS,1999,42,1809,148,10964,2988
"Oklahoma City, OK HCS",1984,37,1810,137,9613,4650
"Miami, FL HCS",1980,56,1875,49,14987,7604
"Boston, MA HCS",1928,51,1752,125,9861,2852
"Philadelphia, PA HCS",1919,52,1775,92,12582,6110
