Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4597,85,4280,232,25978,17659
"North Chicago, IL HCS",4364,86,4253,25,6724,3472
"Columbia, SC HCS",4336,92,4048,196,10326,4898
"Phoenix, AZ HCS",4269,68,3977,224,17353,11412
"Atlanta, GA HCS",4162,121,3900,141,12971,5589
"San Antonio, TX HCS",4082,76,3854,152,20490,13997
"Orlando, FL HCS",3864,112,3676,76,36549,23182
"Loma Linda, CA HCS",3823,58,3612,153,14550,6413
"Dallas, TX HCS",3821,103,3565,153,17562,10034
"Houston, TX HCS",3749,107,3516,126,23425,11197
"Gainesville, FL HCS",3671,85,3440,146,30530,19030
Middle Tennessee HCS,3567,108,3286,173,15180,7824
"Temple, TX HCS",3482,94,3280,108,13542,6019
"Minneapolis, MN HCS",3087,44,2864,179,29247,17208
"Long Beach, CA HCS",2971,32,2834,105,15003,7183
"Greater Los Angeles, CA HCS",2965,32,2818,115,18123,11158
"Salisbury, NC HCS",2952,70,2752,130,18208,10188
"Bay Pines, FL HCS",2860,91,2673,96,30299,16080
"Tampa, FL HCS",2858,63,2673,122,30986,18412
"Aurora, CO HCS",2794,71,2636,87,14386,7235
"Mountain Home, TN HCS",2715,57,2499,159,10877,6997
"Charleston, SC HCS",2697,62,2569,66,19234,10832
"Milwaukee, WI HCS",2676,40,2551,85,15680,9775
"Las Vegas, NV HCS",2593,65,2429,99,15921,8974
N. California HCS,2534,57,2360,117,24652,11701
"Little Rock, AR HCS",2418,50,2269,99,10956,4572
"San Diego, CA HCS",2406,44,2315,47,16859,8827
"Indianapolis, IN HCS",2378,40,2219,119,11831,5844
"Birmingham, AL HCS",2346,51,2169,126,14708,9640
"Fayetteville, NC HCS",2280,61,2151,68,16532,9079
"Hines, IL HCS",2280,24,2169,87,15565,9888
Texas Valley Coastal Bend HCS,2266,33,2082,151,7800,3324
"St. Louis, MO HCS",2251,29,2138,84,14993,8743
"Muskogee, OK HCS",2227,28,2058,141,7764,3587
"Durham, NC HCS",2211,58,2058,95,18626,10395
"Kansas City, MO HCS",2207,32,2079,96,15402,11142
Nebraska-W Iowa HCS,2132,40,1970,122,25647,18389
"Washington, DC HCS",2116,57,1946,113,11322,7353
"Miami, FL HCS",2083,50,1979,54,18819,10290
Southern Arizona HCS,2065,28,1878,159,14173,6110
"Columbia, MO HCS",2049,24,1893,132,11146,8406
New Jersey HCS,2026,84,1794,148,8431,3120
"Oklahoma City, OK HCS",2026,34,1850,142,13582,8494
"Boston, MA HCS",2003,39,1834,130,12613,7295
"Philadelphia, PA HCS",1988,46,1847,95,16522,9893
"Gulf Coast, MS HCS",1955,51,1823,81,12938,4519
"Asheville, NC HCS",1953,41,1813,99,7469,3769
"New Orleans, LA HCS",1934,32,1803,99,22534,16675
"Louisville, KY HCS",1929,49,1790,90,8683,4257
Connecticut HCS,1920,50,1780,90,20567,13041
"Fayetteville, AR HCS",1895,41,1752,102,9339,4215
"Chicago, IL HCS",1846,22,1742,82,13261,7035
New York Harbor HCS,1825,67,1630,128,13778,9533
"Richmond, VA HCS",1825,69,1671,85,14954,7545
"Lebanon, PA HCS",1804,43,1647,114,12529,5763
"Augusta, GA HCS",1769,35,1649,85,12234,7316
"Palo Alto, CA HCS",1721,30,1601,90,14147,7861
"Cincinnati, OH HCS",1687,28,1605,54,8391,3880
Central Alabama HCS,1658,37,1564,57,8062,3552
"Shreveport, LA HCS",1652,24,1529,99,7828,4356
"West Palm Beach, FL HCS",1645,50,1531,64,20978,12737
"Pittsburgh, PA HCS",1630,40,1502,88,16798,12656
"Fresno, CA HCS",1584,50,1452,82,8249,4653
"Boise, ID HCS",1581,42,1478,61,7413,4659
"Dayton, OH HCS",1578,24,1494,60,8345,5040
"Madison, WI HCS",1573,33,1464,76,11353,5565
"Salt Lake City, UT HCS",1572,23,1487,62,9433,5161
"Bronx, NY HCS",1570,36,1418,116,5963,2946
"Ann Arbor, MI HCS",1528,38,1432,58,24462,17494
"Baltimore, MD HCS",1526,49,1414,63,13733,9975
"Dublin, GA HCS",1526,16,1462,48,9068,4304
"Iowa City, IA HCS",1520,21,1426,73,7783,2851
New Mexico HCS,1478,23,1368,87,12318,8076
"El Paso, TX HCS",1425,33,1288,104,5260,2084
"Hampton, VA HCS",1398,50,1322,26,5594,2643
Northern Indiana HCS,1396,27,1307,62,8288,4819
"Columbus, OH HCS",1394,27,1308,59,7803,2924
Western New York HCS,1365,37,1252,76,16044,10128
"Fargo, ND HCS",1350,14,1225,111,10121,5771
"Puget Sound, WA HCS",1343,49,1240,54,22140,8177
"Lexington, KY HCS",1333,34,1206,93,10643,8728
"Wichita, KS HCS",1329,26,1233,70,5942,2713
"Sioux Falls, SD HCS",1303,26,1203,74,6986,3763
"Memphis, TN HCS",1302,28,1200,74,11319,7920
Eastern Kansas HCS,1282,18,1228,36,8451,4142
"St. Cloud, MN HCS",1266,28,1182,56,9944,4777
"Amarillo, TX HCS",1265,10,1195,60,5432,2960
"Martinsburg, WV HCS",1238,37,1147,54,9244,3691
Central Iowa HCS,1230,23,1143,64,6413,2963
Montana HCS,1204,29,1124,51,6467,3343
"Portland, OR HCS",1168,26,1095,47,19104,12248
"Jackson, MS HCS",1165,23,1069,73,8220,4420
"Poplar Bluff, MO HCS",1134,13,1041,80,2955,1435
"Providence, RI HCS",1118,31,1009,78,8727,2211
"Salem, VA HCS",1104,33,1000,71,6254,3021
"Alexandria, LA HCS",1098,35,1015,48,5676,3146
"San Juan, PR HCS",1042,16,978,48,19563,10780
"Battle Creek, MI HCS",1034,23,944,67,7700,3158
"Black Hills, SD HCS",1019,12,969,38,6503,4009
"Reno, NV HCS",1015,20,932,63,6972,3546
"Wilkes-Barre, PA HCS",1005,32,913,60,9328,3762
"Altoona, PA HCS",982,23,908,51,6799,3527
"Marion, IL HCS",971,18,900,53,5062,2960
"Northport, NY HCS",954,41,849,64,8883,5624
"Syracuse, NY HCS",941,27,855,59,8369,4015
"Wilmington, DE HCS",938,21,880,37,11296,7160
"Tomah, WI HCS",925,13,884,28,7413,3069
Northern Arizona HCS,855,14,797,44,7096,2993
"Detroit, MI HCS",829,23,723,83,7016,2864
"Huntington, WV HCS",824,16,744,64,6695,4728
"Danville, IL HCS",819,19,751,49,5532,2398
"Hudson Valley, NY HCS",809,23,751,35,8708,3683
"Bedford, MA HCS",787,12,728,47,13109,8170
"Saginaw, MI HCS",757,33,679,45,7269,3267
"Finger Lakes, NY HCS",739,10,695,34,7803,3662
Central Western Massachusetts HCS,716,24,642,50,6945,2852
"Erie, PA HCS",705,16,656,33,5431,2550
"Iron Mountain, MI HCS",692,12,651,29,6523,3228
"Tuscaloosa, AL HCS",686,9,639,38,3584,1554
"Anchorage, AK HCS",681,22,648,11,3923,2638
"San Francisco, CA HCS",668,14,621,33,8080,4065
"Cheyenne, WY HCS",665,20,617,28,4960,2690
"Albany, NY HCS",629,27,564,38,7428,2966
"Chillicothe, OH HCS",619,23,580,16,6353,3797
"Manchester, NH HCS",588,16,543,29,5024,1763
"Big Spring, TX HCS",563,9,510,44,3187,1857
"Togus, ME HCS",539,20,494,25,7171,2847
"Butler, PA HCS",516,9,492,15,5594,3028
"Clarksburg, WV HCS",511,20,457,34,4902,3121
"Coatesville, PA HCS",462,14,426,22,4795,2911
"Grand Junction, CO HCS",456,10,420,26,4210,2491
"Walla Walla, WA HCS",409,11,373,25,3965,2501
"Sheridan, WY HCS",351,1,344,6,2969,1404
"Honolulu, HI HCS",306,4,288,14,8817,4317
"Beckley, WV HCS",293,4,277,12,3594,1978
"Spokane, WA HCS",276,6,250,20,5413,4
"Roseburg, OR HCS",252,13,229,10,4939,2025
"White River Junction, VT HCS",231,8,213,10,5517,2321
"White City, OR HCS",225,11,193,21,3861,1907
"Manila, PI HCS",2,0,2,0,0,0
