Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4484,80,4177,227,20007,11979
"North Chicago, IL HCS",4283,54,4205,24,5331,1683
"Columbia, SC HCS",4235,146,3902,187,7608,2823
"Phoenix, AZ HCS",4135,92,3833,210,13947,6476
"Atlanta, GA HCS",4013,154,3731,128,9664,3763
"San Antonio, TX HCS",3969,62,3761,146,15670,12146
"Orlando, FL HCS",3708,115,3518,75,29624,18753
"Loma Linda, CA HCS",3705,56,3503,146,11431,3027
"Dallas, TX HCS",3650,68,3436,146,11799,7626
"Houston, TX HCS",3579,81,3376,122,15952,7123
"Gainesville, FL HCS",3494,83,3274,137,24074,12607
Middle Tennessee HCS,3441,86,3194,161,11418,4909
"Temple, TX HCS",3358,66,3194,98,7185,3448
"Minneapolis, MN HCS",3036,53,2806,177,20320,10948
"Long Beach, CA HCS",2920,58,2761,101,11836,3913
"Greater Los Angeles, CA HCS",2872,32,2730,110,13363,6939
"Salisbury, NC HCS",2825,70,2629,126,14057,6286
"Tampa, FL HCS",2722,59,2543,120,24668,13764
"Aurora, CO HCS",2714,49,2580,85,9845,4061
"Bay Pines, FL HCS",2693,73,2529,91,23562,11627
"Mountain Home, TN HCS",2648,60,2433,155,8057,4409
"Milwaukee, WI HCS",2632,43,2504,85,10141,7530
"Charleston, SC HCS",2616,76,2476,64,13713,7324
"Las Vegas, NV HCS",2521,80,2349,92,11430,6697
N. California HCS,2471,62,2302,107,18183,7978
"Little Rock, AR HCS",2338,44,2199,95,7234,3096
"Indianapolis, IN HCS",2325,41,2170,114,8996,2996
"San Diego, CA HCS",2310,50,2218,42,12072,4669
"Birmingham, AL HCS",2276,37,2114,125,11952,7197
"Hines, IL HCS",2235,35,2114,86,12055,8143
Texas Valley Coastal Bend HCS,2217,29,2039,149,5059,2458
"St. Louis, MO HCS",2211,41,2087,83,10808,6973
"Muskogee, OK HCS",2191,39,2017,135,5596,2095
"Fayetteville, NC HCS",2180,75,2039,66,12577,4981
"Kansas City, MO HCS",2177,33,2050,94,12107,6910
"Durham, NC HCS",2126,76,1961,89,14162,4536
Nebraska-W Iowa HCS,2079,46,1917,116,21890,12633
