Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4396,129,4050,217,16728,4598
"North Chicago, IL HCS",4225,39,4162,24,4498,1027
"Columbia, SC HCS",4049,169,3703,177,6485,938
"Phoenix, AZ HCS",3981,124,3653,204,10800,3523
"San Antonio, TX HCS",3895,93,3659,143,14198,10063
"Atlanta, GA HCS",3830,173,3541,116,7970,1603
"Loma Linda, CA HCS",3615,86,3396,133,8570,841
"Dallas, TX HCS",3557,154,3265,138,11084,2344
"Orlando, FL HCS",3555,128,3357,70,24985,14510
"Houston, TX HCS",3476,97,3264,115,13166,3291
"Gainesville, FL HCS",3359,116,3112,131,19681,7587
Middle Tennessee HCS,3335,111,3072,152,9885,2303
"Temple, TX HCS",3267,116,3059,92,6150,1978
"Minneapolis, MN HCS",2971,68,2730,173,18320,5182
"Greater Los Angeles, CA HCS",2839,60,2673,106,10038,5145
"Long Beach, CA HCS",2826,70,2661,95,8346,1797
"Salisbury, NC HCS",2706,105,2478,123,11636,3325
"Aurora, CO HCS",2673,57,2532,84,6959,1181
"Tampa, FL HCS",2610,66,2432,112,20973,9367
"Bay Pines, FL HCS",2585,80,2419,86,19249,8308
"Mountain Home, TN HCS",2584,78,2354,152,7674,3477
"Milwaukee, WI HCS",2576,51,2443,82,9185,3806
"Charleston, SC HCS",2503,95,2350,58,11054,3015
"Las Vegas, NV HCS",2444,114,2242,88,8819,4357
N. California HCS,2400,97,2204,99,13112,4756
"Indianapolis, IN HCS",2290,56,2122,112,7067,1673
"Little Rock, AR HCS",2290,80,2122,88,5877,2315
"San Diego, CA HCS",2263,81,2143,39,9517,2801
"Birmingham, AL HCS",2216,89,2016,111,9521,3271
"Hines, IL HCS",2197,36,2079,82,10900,5610
Texas Valley Coastal Bend HCS,2187,35,2011,141,3630,1696
"St. Louis, MO HCS",2167,50,2035,82,9796,4321
"Muskogee, OK HCS",2153,46,1978,129,3995,1124
"Kansas City, MO HCS",2146,63,1992,91,10754,4994
"Fayetteville, NC HCS",2068,92,1912,64,10706,2752
"Durham, NC HCS",2044,99,1860,85,11534,2528
Nebraska-W Iowa HCS,2030,71,1844,115,18718,7290
"Columbia, MO HCS",2002,50,1823,129,8981,5059
"Washington, DC HCS",1995,99,1785,111,7079,2338
Southern Arizona HCS,1969,57,1769,143,7930,1224
"Oklahoma City, OK HCS",1959,60,1764,135,8221,1808
"Miami, FL HCS",1918,59,1812,47,12646,4935
"Boston, MA HCS",1878,70,1685,123,8976,1573
"Philadelphia, PA HCS",1867,51,1725,91,10770,4158
New Jersey HCS,1852,80,1626,146,5473,502
"Asheville, NC HCS",1826,60,1673,93,4411,1140
"New Orleans, LA HCS",1823,37,1690,96,15549,6561
"Gulf Coast, MS HCS",1818,73,1676,69,6736,1706
"Louisville, KY HCS",1805,57,1665,83,5905,1424
"Chicago, IL HCS",1795,45,1669,81,7316,4114
Connecticut HCS,1769,79,1607,83,13968,5720
"Fayetteville, AR HCS",1763,39,1628,96,5303,1738
"Lebanon, PA HCS",1698,59,1527,112,7225,1893
New York Harbor HCS,1687,59,1501,127,9321,5504
"Richmond, VA HCS",1651,97,1476,78,7578,2225
"Augusta, GA HCS",1650,92,1478,80,6559,3983
"Palo Alto, CA HCS",1615,65,1467,83,8253,1918
"Shreveport, LA HCS",1604,48,1460,96,5724,2428
"Cincinnati, OH HCS",1597,65,1483,49,4932,1835
Central Alabama HCS,1542,62,1432,48,4486,767
"Pittsburgh, PA HCS",1512,52,1380,80,14444,5168
"Madison, WI HCS",1511,29,1409,73,7137,1748
"Dayton, OH HCS",1510,52,1404,54,5806,1364
"Salt Lake City, UT HCS",1506,48,1399,59,5778,1447
"West Palm Beach, FL HCS",1502,50,1391,61,15244,7420
"Boise, ID HCS",1499,26,1413,60,5216,2492
"Bronx, NY HCS",1476,55,1310,111,4260,282
"Fresno, CA HCS",1474,48,1347,79,5456,752
"Ann Arbor, MI HCS",1460,21,1386,53,17137,6557
"Iowa City, IA HCS",1447,41,1340,66,5223,331
"Dublin, GA HCS",1436,52,1339,45,6084,1708
"Baltimore, MD HCS",1419,65,1298,56,9753,2733
New Mexico HCS,1386,45,1259,82,7793,1920
