Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4541,75,4236,230,24410,16531
"North Chicago, IL HCS",4340,85,4230,25,6568,2654
"Columbia, SC HCS",4300,99,4007,194,9337,4402
"Phoenix, AZ HCS",4227,77,3926,224,16316,10235
"Atlanta, GA HCS",4131,132,3863,136,11704,4940
"San Antonio, TX HCS",4050,81,3818,151,18899,13528
"Orlando, FL HCS",3812,112,3625,75,33847,21226
"Loma Linda, CA HCS",3794,64,3579,151,13772,5086
"Dallas, TX HCS",3782,103,3527,152,15697,9496
"Houston, TX HCS",3692,106,3461,125,22073,9976
"Gainesville, FL HCS",3619,76,3401,142,29036,15722
Middle Tennessee HCS,3529,108,3251,170,14486,6568
"Temple, TX HCS",3446,99,3242,105,11703,5375
"Minneapolis, MN HCS",3069,43,2849,177,26955,15524
"Long Beach, CA HCS",2952,39,2809,104,14149,5712
"Greater Los Angeles, CA HCS",2950,37,2800,113,16639,9924
"Salisbury, NC HCS",2916,63,2724,129,16747,8763
"Tampa, FL HCS",2824,60,2642,122,28905,15737
"Bay Pines, FL HCS",2811,88,2629,94,28080,14642
"Aurora, CO HCS",2753,54,2613,86,12834,6551
"Mountain Home, TN HCS",2698,65,2475,158,10144,5678
"Charleston, SC HCS",2679,70,2543,66,17769,10320
"Milwaukee, WI HCS",2662,44,2533,85,13961,9258
"Las Vegas, NV HCS",2570,69,2404,97,14823,8518
N. California HCS,2508,53,2338,117,22725,10744
"Little Rock, AR HCS",2396,51,2247,98,9877,3833
"San Diego, CA HCS",2389,60,2283,46,15761,7913
"Indianapolis, IN HCS",2364,44,2201,119,10768,4926
"Birmingham, AL HCS",2329,54,2150,125,13547,9117
"Hines, IL HCS",2272,36,2149,87,14853,9570
Texas Valley Coastal Bend HCS,2256,32,2074,150,7165,2881
"Fayetteville, NC HCS",2252,62,2122,68,15704,7702
"St. Louis, MO HCS",2237,34,2119,84,13621,8456
"Muskogee, OK HCS",2216,33,2042,141,7411,3360
"Kansas City, MO HCS",2193,28,2070,95,14642,8253
"Durham, NC HCS",2183,69,2020,94,17536,8930
Nebraska-W Iowa HCS,2116,48,1949,119,24620,16470
"Washington, DC HCS",2089,53,1923,113,10661,6637
"Miami, FL HCS",2061,56,1952,53,18047,9623
Southern Arizona HCS,2048,35,1856,157,13240,4955
"Columbia, MO HCS",2038,21,1885,132,10981,8103
"Oklahoma City, OK HCS",2012,29,1842,141,12440,7806
New Jersey HCS,1992,77,1767,148,8000,2521
"Boston, MA HCS",1973,39,1808,126,11808,5949
"Philadelphia, PA HCS",1964,32,1839,93,15984,8664
"Asheville, NC HCS",1937,45,1795,97,6597,3004
"Gulf Coast, MS HCS",1934,50,1805,79,12045,3569
"New Orleans, LA HCS",1914,32,1783,99,22024,15224
"Louisville, KY HCS",1913,50,1773,90,8057,3825
Connecticut HCS,1882,42,1751,89,20021,11712
"Fayetteville, AR HCS",1879,47,1730,102,8849,3624
"Chicago, IL HCS",1842,26,1734,82,12339,6337
