Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4487,79,4181,227,21656,12559
"North Chicago, IL HCS",4294,63,4207,24,5715,2206
"Columbia, SC HCS",4239,141,3911,187,8049,3110
"Phoenix, AZ HCS",4138,86,3842,210,13565,6868
"Atlanta, GA HCS",4018,150,3740,128,10266,4184
"San Antonio, TX HCS",3977,68,3763,146,16480,12384
"Orlando, FL HCS",3731,115,3541,75,28969,17886
"Loma Linda, CA HCS",3707,52,3508,147,11696,3320
"Dallas, TX HCS",3654,69,3438,147,12030,8286
"Houston, TX HCS",3588,82,3383,123,17973,7622
"Gainesville, FL HCS",3517,78,3302,137,24578,12544
Middle Tennessee HCS,3453,92,3199,162,12379,5293
"Temple, TX HCS",3361,65,3197,99,8865,3738
"Minneapolis, MN HCS",3040,56,2807,177,21687,12487
"Long Beach, CA HCS",2922,52,2769,101,12537,4532
"Greater Los Angeles, CA HCS",2872,33,2729,110,13964,7368
"Salisbury, NC HCS",2829,68,2635,126,14553,6517
"Tampa, FL HCS",2756,61,2575,120,24611,13677
"Bay Pines, FL HCS",2720,71,2556,93,21855,10943
"Aurora, CO HCS",2718,46,2587,85,10731,4551
"Mountain Home, TN HCS",2654,64,2435,155,8857,4530
"Milwaukee, WI HCS",2635,46,2504,85,10634,8589
"Charleston, SC HCS",2620,75,2481,64,14422,7790
"Las Vegas, NV HCS",2531,87,2352,92,11821,6950
N. California HCS,2473,64,2301,108,19722,8721
"Little Rock, AR HCS",2346,48,2202,96,7742,3211
"Indianapolis, IN HCS",2336,40,2181,115,9474,3325
"San Diego, CA HCS",2310,49,2219,42,12305,5644
"Birmingham, AL HCS",2286,43,2118,125,12020,7742
"Hines, IL HCS",2239,38,2115,86,12919,8435
Texas Valley Coastal Bend HCS,2218,26,2042,150,5655,2497
"St. Louis, MO HCS",2213,37,2093,83,10976,7307
"Muskogee, OK HCS",2194,40,2019,135,6285,2214
