Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4651,52,4363,236,34152,24957,466
"North Chicago, IL HCS",4390,58,4307,25,9651,6556,16
"Columbia, SC HCS",4378,45,4136,197,15286,9100,301
"Phoenix, AZ HCS",4315,36,4053,226,24497,17020,308
"Atlanta, GA HCS",4224,62,4020,142,20302,11228,1035
"San Antonio, TX HCS",4117,48,3917,152,27771,18705,512
"Orlando, FL HCS",3922,68,3777,77,44956,33119,828
"Loma Linda, CA HCS",3860,29,3674,157,19227,11884,798
"Dallas, TX HCS",3855,49,3647,159,27059,15158,<10
"Houston, TX HCS",3782,45,3604,133,33116,20292,790
"Gainesville, FL HCS",3713,46,3518,149,37318,26486,956
Middle Tennessee HCS,3611,60,3375,176,20947,13322,1037
"Temple, TX HCS",3507,32,3363,112,21165,9393,815
"Minneapolis, MN HCS",3126,42,2904,180,41592,28065,102
"Long Beach, CA HCS",2993,27,2858,108,21951,13676,546
"Greater Los Angeles, CA HCS",2988,16,2850,122,27316,18387,21
"Salisbury, NC HCS",2971,26,2812,133,24145,15370,253
"Bay Pines, FL HCS",2916,55,2760,101,36211,25660,233
"Tampa, FL HCS",2893,38,2730,125,39056,28037,996
"Aurora, CO HCS",2816,46,2682,88,20198,12827,39
"Mountain Home, TN HCS",2744,32,2550,162,14227,9775,705
"Charleston, SC HCS",2723,31,2626,66,26016,15643,<10
"Milwaukee, WI HCS",2707,25,2596,86,26281,16866,377
"Las Vegas, NV HCS",2620,38,2481,101,20907,13918,496
N. California HCS,2544,29,2395,120,32290,19344,567
"Little Rock, AR HCS",2448,28,2320,100,15891,8283,<10
"San Diego, CA HCS",2431,24,2360,47,25705,15471,20
"Indianapolis, IN HCS",2397,18,2258,121,15849,9994,219
"Birmingham, AL HCS",2370,23,2218,129,18972,13565,1996
"Fayetteville, NC HCS",2313,43,2202,68,20279,12932,289
"Hines, IL HCS",2308,17,2203,88,21962,15431,489
"St. Louis, MO HCS",2277,25,2167,85,20339,13270,15
Texas Valley Coastal Bend HCS,2277,14,2110,153,10505,5086,587
"Durham, NC HCS",2239,39,2102,98,24753,17262,483
"Muskogee, OK HCS",2236,14,2077,145,10035,5455,228
"Kansas City, MO HCS",2224,22,2106,96,18882,13760,1032
"Washington, DC HCS",2161,52,1993,116,19627,14587,19
Nebraska-W Iowa HCS,2155,26,2005,124,29768,23538,167
"Miami, FL HCS",2109,21,2032,56,24101,16325,67
Southern Arizona HCS,2080,9,1910,161,18945,11407,585
"Columbia, MO HCS",2065,16,1915,134,13449,11167,148
New Jersey HCS,2061,44,1869,148,11549,7253,312
"Oklahoma City, OK HCS",2041,18,1877,146,18137,12163,680
"Boston, MA HCS",2030,26,1874,130,18267,13119,78
"Philadelphia, PA HCS",2016,35,1885,96,20561,15015,468
"Gulf Coast, MS HCS",1983,20,1881,82,16675,8227,343
"Asheville, NC HCS",1969,20,1849,100,10796,6095,586
Connecticut HCS,1950,41,1817,92,24698,19569,<10
