Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4485,79,4179,227,20007,11979
"North Chicago, IL HCS",4287,56,4207,24,5331,1683
"Columbia, SC HCS",4235,142,3906,187,7608,2823
"Phoenix, AZ HCS",4138,90,3838,210,13947,6476
"Atlanta, GA HCS",4013,149,3736,128,9664,3763
"San Antonio, TX HCS",3972,64,3762,146,15670,12146
"Orlando, FL HCS",3711,113,3523,75,29624,18753
"Loma Linda, CA HCS",3706,52,3507,147,11431,3027
"Dallas, TX HCS",3654,70,3438,146,11799,7626
"Houston, TX HCS",3583,78,3382,123,15952,7123
"Gainesville, FL HCS",3495,80,3278,137,24074,12607
Middle Tennessee HCS,3443,88,3194,161,11418,4909
"Temple, TX HCS",3358,65,3195,98,7185,3448
"Minneapolis, MN HCS",3038,55,2806,177,20320,10948
"Long Beach, CA HCS",2921,55,2765,101,11836,3913
"Greater Los Angeles, CA HCS",2874,34,2730,110,13363,6939
"Salisbury, NC HCS",2826,68,2632,126,14057,6286
"Tampa, FL HCS",2725,59,2546,120,24668,13764
"Aurora, CO HCS",2718,49,2584,85,9845,4061
"Bay Pines, FL HCS",2698,72,2535,91,23562,11627
"Mountain Home, TN HCS",2649,61,2433,155,8057,4409
"Milwaukee, WI HCS",2632,43,2504,85,10141,7530
"Charleston, SC HCS",2618,77,2477,64,13713,7324
"Las Vegas, NV HCS",2525,83,2350,92,11430,6697
N. California HCS,2472,63,2302,107,18183,7978
"Little Rock, AR HCS",2343,46,2201,96,7234,3096
"Indianapolis, IN HCS",2328,42,2172,114,8996,2996
"San Diego, CA HCS",2310,50,2218,42,12072,4669
"Birmingham, AL HCS",2278,38,2115,125,11952,7197
"Hines, IL HCS",2236,36,2114,86,12055,8143
Texas Valley Coastal Bend HCS,2217,25,2043,149,5059,2458
"St. Louis, MO HCS",2211,39,2089,83,10808,6973
"Muskogee, OK HCS",2191,38,2018,135,5596,2095
"Fayetteville, NC HCS",2183,74,2043,66,12577,4981
"Kansas City, MO HCS",2177,32,2051,94,12107,6910
"Durham, NC HCS",2125,73,1963,89,14162,4536
Nebraska-W Iowa HCS,2079,42,1921,116,21890,12633
"Washington, DC HCS",2055,55,1888,112,9125,5327
"Columbia, MO HCS",2024,19,1873,132,10035,6944
Southern Arizona HCS,2013,46,1818,149,11389,3383
"Miami, FL HCS",1995,60,1886,49,15220,7797
"Oklahoma City, OK HCS",1992,32,1821,139,9966,5174
"Boston, MA HCS",1941,43,1773,125,9965,2920
New Jersey HCS,1938,62,1729,147,6021,1677
"Philadelphia, PA HCS",1932,41,1798,93,12867,6322
"Asheville, NC HCS",1903,65,1742,96,5013,2489
"Gulf Coast, MS HCS",1886,47,1763,76,7706,2663
"New Orleans, LA HCS",1879,35,1746,98,19203,10479
"Louisville, KY HCS",1874,52,1734,88,6828,2727
Connecticut HCS,1837,55,1697,85,16732,8544
"Chicago, IL HCS",1825,28,1716,81,9302,6024
"Fayetteville, AR HCS",1824,33,1692,99,6616,2667
"Lebanon, PA HCS",1764,53,1598,113,8493,3111
New York Harbor HCS,1758,53,1578,127,11409,7411
"Richmond, VA HCS",1740,70,1591,79,10075,4254
"Augusta, GA HCS",1728,69,1577,82,8774,5509
