Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4535,73,4233,229,23425,14275
"North Chicago, IL HCS",4327,77,4225,25,5946,2426
"Columbia, SC HCS",4290,96,4000,194,8805,3977
"Phoenix, AZ HCS",4224,78,3922,224,15641,9468
"Atlanta, GA HCS",4108,123,3850,135,11058,4759
"San Antonio, TX HCS",4045,82,3812,151,18405,13362
"Orlando, FL HCS",3806,113,3618,75,32770,21033
"Loma Linda, CA HCS",3788,61,3577,150,13492,4748
"Dallas, TX HCS",3764,93,3519,152,14968,9332
"Houston, TX HCS",3682,108,3449,125,20458,9106
"Gainesville, FL HCS",3602,65,3396,141,27812,15081
Middle Tennessee HCS,3516,102,3246,168,13391,6396
"Temple, TX HCS",3435,97,3234,104,10351,4675
"Minneapolis, MN HCS",3065,41,2847,177,24292,14763
"Long Beach, CA HCS",2949,43,2802,104,13789,5414
"Greater Los Angeles, CA HCS",2945,37,2797,111,15793,9372
"Salisbury, NC HCS",2908,64,2715,129,16363,7756
"Tampa, FL HCS",2815,56,2637,122,28003,15509
"Bay Pines, FL HCS",2801,84,2623,94,26535,14080
"Aurora, CO HCS",2744,48,2610,86,11796,6130
"Mountain Home, TN HCS",2687,60,2469,158,9709,5301
"Charleston, SC HCS",2672,67,2539,66,16752,9724
"Milwaukee, WI HCS",2657,41,2531,85,12362,9144
"Las Vegas, NV HCS",2564,65,2402,97,13342,8278
N. California HCS,2499,48,2336,115,22088,10409
"Little Rock, AR HCS",2394,54,2242,98,9143,3603
"San Diego, CA HCS",2377,51,2280,46,14159,7348
"Indianapolis, IN HCS",2359,41,2200,118,10430,4572
"Birmingham, AL HCS",2318,48,2145,125,13283,9012
"Hines, IL HCS",2269,37,2146,86,14015,9248
Texas Valley Coastal Bend HCS,2255,33,2072,150,6943,2835
"Fayetteville, NC HCS",2244,61,2117,66,14755,6791
"St. Louis, MO HCS",2231,32,2115,84,12311,8411
"Muskogee, OK HCS",2214,35,2038,141,6845,2865
"Kansas City, MO HCS",2191,30,2066,95,14240,8118
"Durham, NC HCS",2177,68,2015,94,17139,8609
Nebraska-W Iowa HCS,2112,47,1946,119,24022,15744
"Washington, DC HCS",2084,52,1919,113,9803,6499
"Miami, FL HCS",2051,58,1940,53,17250,9336
Southern Arizona HCS,2045,39,1849,157,12986,4755
"Columbia, MO HCS",2037,22,1883,132,10717,7741
"Oklahoma City, OK HCS",2008,28,1839,141,11892,7479
New Jersey HCS,1980,69,1763,148,7715,2290
"Boston, MA HCS",1967,36,1805,126,11681,4893
"Philadelphia, PA HCS",1962,35,1834,93,15238,7794
"Asheville, NC HCS",1936,45,1794,97,6566,2893
"Gulf Coast, MS HCS",1925,43,1803,79,11019,3388
"New Orleans, LA HCS",1913,32,1782,99,21609,13446
"Louisville, KY HCS",1908,48,1770,90,7852,3471
