Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4650,68,4346,236,33733,24521,459
"North Chicago, IL HCS",4390,63,4302,25,9582,6381,14
"Columbia, SC HCS",4377,53,4127,197,14911,8891,250
"Phoenix, AZ HCS",4316,51,4039,226,23941,16655,308
"Atlanta, GA HCS",4223,66,4015,142,19712,10967,775
"San Antonio, TX HCS",4118,53,3913,152,27288,18477,509
"Orlando, FL HCS",3922,77,3768,77,44159,32555,792
"Loma Linda, CA HCS",3860,33,3670,157,18719,11377,797
"Dallas, TX HCS",3855,58,3639,158,26344,15092,<10
"Houston, TX HCS",3782,59,3591,132,32758,19589,787
"Gainesville, FL HCS",3712,58,3506,148,36764,25797,824
Middle Tennessee HCS,3611,75,3360,176,20542,13216,954
"Temple, TX HCS",3507,45,3350,112,20641,9291,721
"Minneapolis, MN HCS",3123,47,2896,180,40971,27681,87
"Long Beach, CA HCS",2992,30,2854,108,21742,13223,541
"Greater Los Angeles, CA HCS",2986,21,2843,122,26456,17882,18
"Salisbury, NC HCS",2972,34,2805,133,23812,15008,240
"Bay Pines, FL HCS",2915,64,2750,101,35646,24962,186
"Tampa, FL HCS",2893,42,2726,125,38620,27330,994
"Aurora, CO HCS",2816,53,2675,88,19805,12485,39
"Mountain Home, TN HCS",2744,38,2544,162,13983,9722,705
"Charleston, SC HCS",2723,34,2623,66,25111,15455,<10
"Milwaukee, WI HCS",2707,30,2591,86,25419,16268,375
"Las Vegas, NV HCS",2619,42,2476,101,20675,13594,496
N. California HCS,2544,33,2391,120,31679,18610,569
"Little Rock, AR HCS",2447,34,2313,100,15603,8178,<10
"San Diego, CA HCS",2431,27,2357,47,24815,15160,10
"Indianapolis, IN HCS",2397,22,2254,121,15691,9717,172
"Birmingham, AL HCS",2368,28,2211,129,18672,13306,1993
"Fayetteville, NC HCS",2312,48,2196,68,20045,12673,237
"Hines, IL HCS",2308,24,2196,88,21466,15156,489
"St. Louis, MO HCS",2278,32,2161,85,20092,13060,12
Texas Valley Coastal Bend HCS,2277,16,2108,153,10314,4888,587
"Durham, NC HCS",2239,44,2097,98,24365,16856,462
"Muskogee, OK HCS",2236,17,2075,144,10020,5439,228
"Kansas City, MO HCS",2224,30,2098,96,18495,13708,1029
"Washington, DC HCS",2160,58,1986,116,19370,14290,15
Nebraska-W Iowa HCS,2154,30,2000,124,29484,23148,167
"Miami, FL HCS",2109,29,2024,56,23980,15912,48
Southern Arizona HCS,2080,13,1906,161,18515,10878,579
"Columbia, MO HCS",2065,19,1912,134,13385,11075,141
New Jersey HCS,2059,48,1863,148,11228,7184,311
"Oklahoma City, OK HCS",2041,21,1874,146,17693,11796,675
"Boston, MA HCS",2030,29,1871,130,18054,13041,78
"Philadelphia, PA HCS",2016,42,1878,96,20302,14691,457
"Gulf Coast, MS HCS",1984,28,1875,81,16363,8174,159
"Asheville, NC HCS",1969,21,1848,100,10416,6077,586
Connecticut HCS,1950,44,1814,92,24565,19265,<10
"Louisville, KY HCS",1946,27,1825,94,11641,7995,324
"New Orleans, LA HCS",1946,15,1832,99,27079,22809,113
"Fayetteville, AR HCS",1911,19,1786,106,11558,6773,638
"Chicago, IL HCS",1869,16,1769,84,16953,10945,143
New York Harbor HCS,1865,45,1690,130,18896,14206,64
"Richmond, VA HCS",1858,48,1724,86,19767,11899,<10
"Lebanon, PA HCS",1834,33,1687,114,15734,8676,573
"Augusta, GA HCS",1792,22,1685,85,15463,10421,<10
"Palo Alto, CA HCS",1741,22,1627,92,21563,14652,393
"Cincinnati, OH HCS",1707,19,1632,56,11384,6944,231
Central Alabama HCS,1681,32,1591,58,10184,5529,<10
"West Palm Beach, FL HCS",1673,35,1572,66,24180,17379,<10
"Shreveport, LA HCS",1657,9,1549,99,9408,6524,594
"Pittsburgh, PA HCS",1651,30,1533,88,21924,17764,51
