Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4216,174,3845,197,11327,923
"North Chicago, IL HCS",4175,119,4033,23,2244,93
"Phoenix, AZ HCS",3847,219,3439,189,5984,818
"Columbia, SC HCS",3832,228,3441,163,3501,28
"San Antonio, TX HCS",3784,220,3430,134,12346,4558
"Atlanta, GA HCS",3576,253,3219,104,4511,29
"Loma Linda, CA HCS",3491,158,3215,118,4571,34
"Orlando, FL HCS",3415,203,3149,63,18892,6681
"Dallas, TX HCS",3385,246,3010,129,9560,217
"Houston, TX HCS",3345,183,3053,109,7357,868
"Gainesville, FL HCS",3218,190,2905,123,12609,1372
Middle Tennessee HCS,3172,177,2854,141,6035,467
"Temple, TX HCS",3128,253,2795,80,4394,217
"Minneapolis, MN HCS",2887,87,2629,171,10632,317
"Greater Los Angeles, CA HCS",2768,154,2519,95,6361,2231
"Long Beach, CA HCS",2744,146,2510,88,4967,366
"Aurora, CO HCS",2607,63,2464,80,3851,155
"Salisbury, NC HCS",2542,149,2280,113,6695,730
"Milwaukee, WI HCS",2517,86,2354,77,7309,182
"Tampa, FL HCS",2506,120,2284,102,14179,1000
"Bay Pines, FL HCS",2484,119,2287,78,12335,1974
"Mountain Home, TN HCS",2463,98,2217,148,4521,614
"Charleston, SC HCS",2376,170,2158,48,6137,606
"Las Vegas, NV HCS",2304,120,2100,84,6523,1486
N. California HCS,2271,117,2073,81,8403,425
"Indianapolis, IN HCS",2232,109,2020,103,4061,111
"Little Rock, AR HCS",2180,152,1952,76,3675,917
"Hines, IL HCS",2153,60,2015,78,8012,498
Texas Valley Coastal Bend HCS,2150,86,1926,138,2677,287
"San Diego, CA HCS",2142,142,1966,34,6367,71
"Muskogee, OK HCS",2100,127,1850,123,2776,55
"St. Louis, MO HCS",2099,100,1920,79,7004,497
"Kansas City, MO HCS",2086,80,1917,89,7721,970
"Birmingham, AL HCS",2052,121,1829,102,7030,738
Nebraska-W Iowa HCS,1957,81,1766,110,12691,2163
"Fayetteville, NC HCS",1953,124,1773,56,6398,154
"Columbia, MO HCS",1948,73,1752,123,6997,1650
"Durham, NC HCS",1925,115,1734,76,4709,595
Southern Arizona HCS,1902,121,1647,134,4555,40
"Oklahoma City, OK HCS",1899,87,1684,128,4896,352
"Washington, DC HCS",1866,121,1642,103,5312,461
"Miami, FL HCS",1847,82,1720,45,9103,1204
"Philadelphia, PA HCS",1798,65,1645,88,6267,384
"Boston, MA HCS",1793,103,1573,117,4423,324
"New Orleans, LA HCS",1776,65,1621,90,9230,3467
New Jersey HCS,1752,59,1551,142,1967,84
"Chicago, IL HCS",1745,49,1619,77,5737,29
"Gulf Coast, MS HCS",1727,101,1564,62,3282,302
"Louisville, KY HCS",1722,112,1536,74,3483,52
"Asheville, NC HCS",1719,105,1529,85,2817,41
"Fayetteville, AR HCS",1699,107,1501,91,2944,421
Connecticut HCS,1665,107,1483,75,8516,817
"Lebanon, PA HCS",1624,76,1448,100,3738,230
New York Harbor HCS,1617,62,1430,125,7266,1088
"Shreveport, LA HCS",1550,97,1366,87,3648,843
"Richmond, VA HCS",1540,131,1341,68,4370,811
"Augusta, GA HCS",1526,115,1339,72,5169,1742
"Palo Alto, CA HCS",1520,73,1372,75,4918,319
"Cincinnati, OH HCS",1518,90,1383,45,2926,233
"Madison, WI HCS",1468,49,1348,71,3675,60
"Boise, ID HCS",1458,51,1350,57,4334,551
"Dayton, OH HCS",1456,64,1342,50,3934,63
"Salt Lake City, UT HCS",1454,59,1339,56,3633,216
"Pittsburgh, PA HCS",1446,65,1309,72,10183,1169
Central Alabama HCS,1441,86,1314,41,1911,32
"West Palm Beach, FL HCS",1441,68,1316,57,9931,2791
"Ann Arbor, MI HCS",1439,47,1340,52,12109,1397
"Fresno, CA HCS",1407,77,1261,69,3467,125
"Bronx, NY HCS",1401,42,1250,109,2428,55
"Iowa City, IA HCS",1399,56,1280,63,2338,30
"Dublin, GA HCS",1359,66,1255,38,3334,379
New Mexico HCS,1340,62,1197,81,5332,393
"Baltimore, MD HCS",1327,70,1207,50,7138,241
"El Paso, TX HCS",1286,84,1107,95,1893,7
"Fargo, ND HCS",1286,28,1151,107,3871,76
Northern Indiana HCS,1276,43,1178,55,3183,172
"Columbus, OH HCS",1268,59,1159,50,2032,44
"Wichita, KS HCS",1230,67,1094,69,2314,170
Western New York HCS,1220,63,1089,68,6267,405
"Amarillo, TX HCS",1206,40,1115,51,2483,253
Eastern Kansas HCS,1202,54,1117,31,3040,314
"Sioux Falls, SD HCS",1201,56,1079,66,2560,145
"Puget Sound, WA HCS",1198,48,1101,49,5809,127
"Lexington, KY HCS",1194,80,1034,80,7941,503
"St. Cloud, MN HCS",1185,23,1107,55,3627,139
"Hampton, VA HCS",1171,108,1045,18,2118,250
"Memphis, TN HCS",1168,75,1028,65,6515,83
Montana HCS,1129,34,1049,46,2366,48
