Date,Student-Athlete Screening, UHC and Surveillance Testing,Total Student Tests Performed at JMU (Student Athletes + UHC and Surveillance),Employee Tests Performed at UHC,Total Tests Performed at JMU (Students + Employees),All Positive Student Tests Performed at JMU,All Positive Employee Tests Performed at JMU,Total Positive Tests Performed at JMU (Students + Employees),Student Self -Reported Positive Cases,Employee Self-Reported Positive Cases,Cumulative Positive Case Count (Total Positive Tests Performed at JMU + Self-Reports),Quarantine/ Isolation Beds Available,Daily Recovered
2020-07-01-2020-08-16,467,,467,0,467,2,0,2,,,2,143,
2020-08-17,0,0,0,0,0,0,0,0,1,0,1,143,2
2020-08-18,0,0,0,0,0,0,0,0,1,0,1,143,
2020-08-19,26,0,26,0,26,0,0,0,1,0,1,143,
2020-08-20,0,3,3,0,3,0,0,0,2,1,3,143,
2020-08-21,44,1,45,0,45,1,0,1,3,0,4,143,
2020-08-22,0,0,0,0,0,1,0,1,1,0,2,137,
2020-08-23,0,0,0,0,0,0,0,0,1,0,1,136,
2020-08-24,64,15,79,0,79,0,0,0,13,0,13,136,
2020-08-25,66,21,87,0,87,0,0,0,20,1,21,136,1
2020-08-26,68,41,109,0,109,11,0,11,64,0,75,129,1
2020-08-27,67,40,107,0,107,16,0,16,45,1,62,124,1
2020-08-28,70,62,132,0,132,37,0,37,50,0,87,118,3
2020-08-29,0,0,0,0,0,36,0,36,16,0,52,112,4
2020-08-30,0,0,0,0,0,30,0,30,26,0,56,110,2
2020-08-31,11,71,82,1,83,18,0,18,120,0,138,79,1
2020-09-01,0,98,98,0,98,56,0,56,43,0,99,54,13
2020-09-02,52,74,126,0,126,1,0,1,36,0,37,19,21
2020-09-03,0,72,72,0,72,66,0,66,42,0,108,11,75
2020-09-04,48,87,135,0,135,80,0,80,25,0,105,,62
2020-09-05,0,0,0,0,0,54,0,54,18,0,72,,87
2020-09-06,0,0,0,0,0,31,0,31,23,1,55,74,52
2020-09-07,22,76,98,0,98,1,0,1,58,2,61,34,56
2020-09-08,30,93,123,2,125,1,0,1,27,0,28,57,138
2020-09-09,87,88,175,10,185,34,0,34,16,0,50,39,99
2020-09-10,65,62,127,0,127,38,0,38,37,1,76,34,37
2020-09-11,25,60,85,3,88,36,0,36,26,1,63,,108
2020-09-12,0,0,0,0,0,5,0,5,7,0,12,,105
2020-09-13,0,0,0,0,0,13,0,13,9,0,22,56,72
2020-09-14,35,53,88,0,88,13,0,13,29,1,43,54,55
2020-09-15,15,49,64,0,64,0,0,0,11,0,11,66,61
2020-09-16,11,29,40,0,40,5,0,5,11,0,16,75,28
2020-09-17,10,27,37,0,37,6,0,6,10,0,16,82,50
2020-09-18,10,21,31,0,31,10,0,10,2,1,13,,76
2020-09-19,0,0,0,0,0,7,0,7,8,0,15,,63
2020-09-20,0,0,0,0,0,3,0,3,1,0,4,99,12
2020-09-21,22,33,55,0,55,2,0,2,10,0,12,113,22
2020-09-22,1,20,21,0,21,0,0,0,2,4,6,115,43
2020-09-23,7,29,36,0,36,3,0,3,1,0,4,113,11
2020-09-24,7,17,24,0,24,2,0,2,1,0,3,113,16
2020-09-25,7,17,24,2,26,6,0,6,6,3,15,,16
2020-09-26,0,0,0,0,0,2,0,2,0,0,2,,13
2020-09-27,0,0,0,0,0,2,0,2,1,0,3,114,15
2020-09-28,23,19,42,0,42,0,0,0,1,2,3,184,4
2020-09-29,31,25,56,3,59,3,0,3,3,1,7,181,12
2020-09-30,37,22,59,0,59,5,0,5,2,0,7,176,6
2020-10-01,0,23,23,0,23,1,0,1,2,0,3,166,4
2020-10-02,5,21,26,2,28,2,0,2,0,0,2,,3
2020-10-03,0,0,0,0,0,4,0,4,0,0,4,,15
2020-10-04,0,0,0,0,0,2,0,2,0,0,2,295,2
2020-10-05,27,33,60,0,60,4,0,4,0,1,5,291,3
2020-10-06,89,213,302,1,303,0,0,0,0,0,0,291,3
2020-10-07,17,20,37,3,40,5,0,5,0,1,6,291,7
2020-10-08,1,39,40,0,40,4,0,4,3,0,7,288,7
2020-10-09,3,17,20,1,21,0,0,0,1,0,1,,3
2020-10-10,0,6,6,0,6,2,0,2,1,0,3,,2
2020-10-11,0,12,12,0,12,2,0,2,3,0,5,,4
2020-10-12,49,291,340,1,341,4,0,4,0,1,5,406,2
2020-10-13,48,35,83,0,83,2,0,2,4,0,6,406,5
2020-10-14,47,39,86,1,87,5,0,5,2,1,8,407,0
2020-10-15,50,29,79,0,79,4,0,4,1,1,6,407,6
2020-10-16,52,27,79,1,80,3,0,3,1,1,5,407,7
2020-10-17,0,3,3,0,3,1,0,1,1,0,2,,1
2020-10-18,0,3,3,0,3,3,0,3,0,0,3,464,3
2020-10-19,9,343,352,3,355,0,0,0,3,1,4,463,5
2020-10-20,48,40,88,1,89,2,0,2,1,0,3,462,5
2020-10-21,40,36,76,0,76,1,0,1,2,0,3,460,6
2020-10-22,45,17,62,0,62,0,0,0,0,0,0,462,8
2020-10-23,50,19,69,2,71,3,0,3,2,0,5,,6
2020-10-24,0,3,3,0,3,0,0,0,2,0,2,,5
2020-10-25,0,9,9,0,9,0,0,0,0,0,0,464,2
2020-10-26,42,18,60,0,60,0,0,0,0,1,1,461,3
2020-10-27,43,23,66,1,67,0,0,0,2,1,3,461,4
2020-10-28,47,326,373,0,373,1,0,1,0,0,1,461,3
2020-10-29,45,13,58,0,58,1,0,1,0,0,1,467,3
2020-10-30,49,13,62,0,62,1,1,2,1,0,3,,0
2020-10-31,0,2,2,0,2,1,0,1,3,0,4,,5
2020-11-01,0,5,5,0,5,1,0,1,0,0,1,469,2
2020-11-02,35,42,77,0,77,5,0,5,1,0,6,450,0
2020-11-03,42,42,84,1,85,0,0,0,0,0,0,441,1
2020-11-04,33,361,394,0,394,6,0,6,0,0,6,428,3
2020-11-05,46,25,71,0,71,1,0,1,2,0,3,427,1
2020-11-06,47,29,76,2,78,0,0,0,5,0,5,,1
2020-11-07,0,0,0,0,0,0,0,0,0,0,0,,3
2020-11-08,0,6,6,0,6,2,0,2,1,0,3,443,4
2020-11-09,29,21,50,2,52,0,0,0,0,1,1,401,1
2020-11-10,4,34,38,1,39,1,0,1,2,0,3,401,6
2020-11-11,106,337,443,1,444,4,0,4,1,0,5,400,0
2020-11-12,49,12,61,0,61,5,0,5,0,0,5,404,6
2020-11-13,73,24,97,0,97,0,0,0,3,1,4,,3
2020-11-14,0,8,8,0,8,0,0,0,1,0,1,,5
2020-11-15,26,12,38,0,38,0,0,0,0,0,0,421,0
2020-11-16,46,52,98,5,103,6,0,6,1,1,8,428,3
2020-11-17,6,57,63,1,64,5,1,6,0,3,9,428,1
2020-11-18,34,97,131,0,131,2,0,2,1,0,3,430,3
2020-11-19,12,559,571,2,573,2,0,2,3,2,7,435,5
Total,2822,4721,7543,53,7596,735,2,737,886,37,1660,435,1623
