"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-25,Southside,"Not Reported",159,26,14
2020-05-25,"Lord Fairfax","Hispanic or Latino",273,22,4
2020-05-25,"Eastern Shore","Not Hispanic or Latino",698,57,25
2020-05-25,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-25,Fairfax,"Not Reported",2489,112,107
2020-05-25,Richmond,"Hispanic or Latino",321,33,2
2020-05-25,Chesapeake,"Not Reported",95,6,0
2020-05-25,Arlington,"Hispanic or Latino",612,149,11
2020-05-25,"West Piedmont","Not Hispanic or Latino",83,10,4
2020-05-25,Fairfax,"Not Hispanic or Latino",2498,594,200
2020-05-25,Piedmont,"Hispanic or Latino",16,0,0
2020-05-25,Crater,"Not Hispanic or Latino",245,53,7
2020-05-25,Chickahominy,"Not Hispanic or Latino",193,61,24
2020-05-25,"New River","Not Hispanic or Latino",59,12,1
2020-05-25,"Lord Fairfax","Not Reported",332,19,11
2020-05-25,Rappahannock,"Not Reported",437,21,1
2020-05-25,"Central Shenandoah","Not Reported",210,3,5
2020-05-25,"Central Virginia","Not Hispanic or Latino",69,11,3
2020-05-25,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-25,"Cumberland Plateau","Not Hispanic or Latino",18,2,0
2020-05-25,"Western Tidewater","Not Hispanic or Latino",357,61,36
2020-05-25,"New River","Not Reported",31,0,0
2020-05-25,Chesterfield,"Not Reported",809,16,18
2020-05-25,Chesterfield,"Hispanic or Latino",200,8,0
2020-05-25,Hampton,"Not Hispanic or Latino",125,29,3
2020-05-25,Chesapeake,"Not Hispanic or Latino",327,71,13
2020-05-25,Peninsula,"Hispanic or Latino",48,10,1
2020-05-25,Arlington,"Not Reported",749,73,18
2020-05-25,Roanoke,"Not Hispanic or Latino",73,7,8
2020-05-25,"Lord Fairfax","Not Hispanic or Latino",523,62,30
2020-05-25,"Eastern Shore","Hispanic or Latino",146,5,3
2020-05-25,"Mount Rogers","Not Reported",20,2,0
2020-05-25,"Three Rivers","Not Hispanic or Latino",286,24,3
2020-05-25,"Thomas Jefferson","Not Reported",49,0,0
2020-05-25,"Three Rivers","Not Reported",160,9,3
2020-05-25,Arlington,"Not Hispanic or Latino",536,146,72
2020-05-25,Alleghany,"Not Hispanic or Latino",116,17,15
2020-05-25,Loudoun,"Not Reported",954,6,7
2020-05-25,Fairfax,"Hispanic or Latino",4600,529,32
2020-05-25,Peninsula,"Not Reported",138,3,2
2020-05-25,Crater,"Hispanic or Latino",27,1,0
2020-05-25,Piedmont,"Not Hispanic or Latino",313,32,3
2020-05-25,Henrico,"Hispanic or Latino",133,15,3
2020-05-25,Alexandria,"Not Hispanic or Latino",548,96,29
2020-05-25,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-25,Alleghany,"Not Reported",51,3,1
2020-05-25,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-25,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-25,Chesterfield,"Not Hispanic or Latino",303,52,20
2020-05-25,Pittsylvania-Danville,"Not Hispanic or Latino",59,19,3
2020-05-25,"Mount Rogers","Hispanic or Latino",119,0,0
2020-05-25,Richmond,"Not Reported",389,26,1
2020-05-25,Peninsula,"Not Hispanic or Latino",375,100,29
2020-05-25,Chesapeake,"Hispanic or Latino",27,5,1
2020-05-25,Southside,"Hispanic or Latino",2,1,0
2020-05-25,"Thomas Jefferson","Not Hispanic or Latino",330,67,19
2020-05-25,Norfolk,"Not Hispanic or Latino",267,53,6
2020-05-25,Portsmouth,"Not Reported",155,7,2
2020-05-25,Norfolk,"Not Reported",96,1,0
2020-05-25,"Three Rivers","Hispanic or Latino",34,0,0
2020-05-25,"Eastern Shore","Not Reported",103,0,0
2020-05-25,Alleghany,"Hispanic or Latino",12,4,0
2020-05-25,Henrico,"Not Reported",586,19,22
2020-05-25,Henrico,"Not Hispanic or Latino",773,143,93
2020-05-25,Loudoun,"Not Hispanic or Latino",559,94,42
2020-05-25,Hampton,"Not Reported",45,1,0
2020-05-25,"Rappahannock Rapidan","Not Hispanic or Latino",200,26,7
2020-05-25,Alexandria,"Not Reported",387,4,3
2020-05-25,Rappahannock,"Not Hispanic or Latino",395,68,14
2020-05-25,"Western Tidewater","Not Reported",247,3,1
2020-05-25,"Cumberland Plateau","Not Reported",14,0,0
2020-05-25,Alexandria,"Hispanic or Latino",819,75,6
2020-05-25,"Virginia Beach","Not Hispanic or Latino",437,78,18
2020-05-25,"Prince William","Hispanic or Latino",2126,306,24
2020-05-25,"Virginia Beach","Not Reported",133,6,1
2020-05-25,"Central Shenandoah","Hispanic or Latino",633,37,2
2020-05-25,Pittsylvania-Danville,"Hispanic or Latino",7,1,0
2020-05-25,"Mount Rogers","Not Hispanic or Latino",151,18,6
2020-05-25,Piedmont,"Not Reported",316,12,3
2020-05-25,Southside,"Not Hispanic or Latino",94,10,7
2020-05-25,"Thomas Jefferson","Hispanic or Latino",43,1,0
2020-05-25,Pittsylvania-Danville,"Not Reported",17,5,0
2020-05-25,Norfolk,"Hispanic or Latino",69,7,0
2020-05-25,Portsmouth,"Not Hispanic or Latino",111,31,9
2020-05-25,"West Piedmont","Not Reported",47,5,1
2020-05-25,Richmond,"Not Hispanic or Latino",330,75,17
2020-05-25,"West Piedmont","Hispanic or Latino",18,0,0
2020-05-25,"Prince William","Not Reported",2769,16,3
2020-05-25,"Rappahannock Rapidan","Not Reported",329,10,1
2020-05-25,Chickahominy,"Hispanic or Latino",20,2,0
2020-05-25,Lenowisco,"Not Reported",19,4,2
2020-05-25,"New River","Hispanic or Latino",7,1,0
2020-05-25,Crater,"Not Reported",227,28,9
2020-05-25,Chickahominy,"Not Reported",211,14,3
2020-05-25,Loudoun,"Hispanic or Latino",534,50,3
2020-05-25,"Rappahannock Rapidan","Hispanic or Latino",496,37,3
2020-05-25,Roanoke,"Not Reported",40,0,1
2020-05-25,Rappahannock,"Hispanic or Latino",417,48,1
2020-05-25,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-25,"Virginia Beach","Hispanic or Latino",48,6,1
2020-05-25,"Prince William","Not Hispanic or Latino",917,190,81
2020-05-25,"Central Virginia","Not Reported",100,3,0
2020-05-25,"Central Shenandoah","Not Hispanic or Latino",555,70,21
2020-05-25,Hampton,"Hispanic or Latino",11,0,0
2020-05-25,Roanoke,"Hispanic or Latino",27,0,0
