"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-18,Southside,"Not Reported",144,23,11
2020-05-18,"Lord Fairfax","Hispanic or Latino",201,17,4
2020-05-18,"Eastern Shore","Not Hispanic or Latino",640,39,15
2020-05-18,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-18,Fairfax,"Not Reported",2042,98,89
2020-05-18,Richmond,"Hispanic or Latino",227,25,1
2020-05-18,Chesapeake,"Not Reported",96,6,0
2020-05-18,Arlington,"Hispanic or Latino",456,125,8
2020-05-18,"West Piedmont","Not Hispanic or Latino",57,9,3
2020-05-18,Fairfax,"Not Hispanic or Latino",2160,541,173
2020-05-18,Piedmont,"Hispanic or Latino",15,0,0
2020-05-18,Crater,"Not Hispanic or Latino",208,47,7
2020-05-18,Chickahominy,"Not Hispanic or Latino",168,57,22
2020-05-18,"New River","Not Hispanic or Latino",55,12,1
2020-05-18,"Lord Fairfax","Not Reported",270,12,8
2020-05-18,Rappahannock,"Not Reported",353,20,1
2020-05-18,"Central Shenandoah","Not Reported",207,4,5
2020-05-18,"Central Virginia","Not Hispanic or Latino",62,11,2
2020-05-18,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-18,"Cumberland Plateau","Not Hispanic or Latino",16,2,0
2020-05-18,"Western Tidewater","Not Hispanic or Latino",323,55,27
2020-05-18,"New River","Not Reported",30,0,0
2020-05-18,Chesterfield,"Not Reported",670,17,18
2020-05-18,Chesterfield,"Hispanic or Latino",150,4,0
2020-05-18,Hampton,"Not Hispanic or Latino",120,29,3
2020-05-18,Chesapeake,"Not Hispanic or Latino",273,67,9
2020-05-18,Peninsula,"Hispanic or Latino",41,9,1
2020-05-18,Arlington,"Not Reported",753,79,16
2020-05-18,Roanoke,"Not Hispanic or Latino",70,7,7
2020-05-18,"Lord Fairfax","Not Hispanic or Latino",427,51,22
2020-05-18,"Eastern Shore","Hispanic or Latino",139,5,3
2020-05-18,"Mount Rogers","Not Reported",22,2,0
2020-05-18,"Three Rivers","Not Hispanic or Latino",262,20,3
2020-05-18,"Thomas Jefferson","Not Reported",39,0,0
2020-05-18,"Three Rivers","Not Reported",138,10,3
2020-05-18,Arlington,"Not Hispanic or Latino",429,119,53
2020-05-18,Alleghany,"Not Hispanic or Latino",103,17,5
2020-05-18,Loudoun,"Not Reported",562,7,7
2020-05-18,Fairfax,"Hispanic or Latino",3732,476,29
2020-05-18,Peninsula,"Not Reported",99,3,2
2020-05-18,Crater,"Hispanic or Latino",21,1,0
2020-05-18,Piedmont,"Not Hispanic or Latino",252,27,3
2020-05-18,Henrico,"Hispanic or Latino",83,14,3
2020-05-18,Alexandria,"Not Hispanic or Latino",485,86,26
2020-05-18,"Central Virginia","Hispanic or Latino",15,2,1
2020-05-18,Alleghany,"Not Reported",49,2,1
2020-05-18,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-18,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-18,Chesterfield,"Not Hispanic or Latino",282,51,18
2020-05-18,Pittsylvania-Danville,"Not Hispanic or Latino",47,17,2
2020-05-18,"Mount Rogers","Hispanic or Latino",102,0,0
2020-05-18,Richmond,"Not Reported",241,16,1
2020-05-18,Peninsula,"Not Hispanic or Latino",366,100,28
2020-05-18,Chesapeake,"Hispanic or Latino",18,5,1
2020-05-18,Southside,"Hispanic or Latino",2,1,0
2020-05-18,"Thomas Jefferson","Not Hispanic or Latino",311,65,13
2020-05-18,Norfolk,"Not Hispanic or Latino",243,50,5
2020-05-18,Portsmouth,"Not Reported",119,8,2
2020-05-18,Norfolk,"Not Reported",79,1,0
2020-05-18,"Three Rivers","Hispanic or Latino",28,0,0
2020-05-18,"Eastern Shore","Not Reported",109,0,0
