School/Location,Positive COVID-19 Cases,Last Reported Case,Date
Atlee HS,25,2020-12-20,2021-01-04
Battlefield Park ES,5,2020-12-13,2021-01-04
Beaverdam ES,3,2020-11-30,2021-01-04
Bell Creek MS,10,2020-12-12,2021-01-04
Chickahominy MS,13,2020-12-24,2021-01-04
Cold Harbor ES,5,2020-12-24,2021-01-04
Cool Spring ES,12,2020-12-30,2021-01-04
Elmont ES,4,2020-12-14,2021-01-04
The Georgetown School,1,2020-11-14,2021-01-04
The Hanover Center for Trades & Technology,2,2020-12-23,2021-01-04
Hanover HS,40,2020-12-23,2021-01-04
Henry Clay ES,5,2020-12-10,2021-01-04
John M. Gandy ES,10,2020-12-08,2021-01-04
Kersey Creek ES,11,2020-12-02,2021-01-04
Laurel Meadow ES,3,2020-12-23,2021-01-04
Liberty MS,16,2020-12-22,2021-01-04
Mechanicsville ES,2,2020-11-23,2021-01-04
Mechanicsville HS,11,2020-12-27,2021-01-04
Oak Knoll MS,7,2020-12-12,2021-01-04
Patrick Henry HS,6,2020-11-29,2021-01-04
Pearson's Corner ES,9,2020-12-20,2021-01-04
Pole Green ES,6,2020-12-17,2021-01-04
Rural Point ES,3,2020-12-21,2021-01-04
School Board Office,4,2020-12-11,2021-01-04
South Anna ES,2,2020-12-15,2021-01-04
Transportation,11,2020-12-23,2021-01-04
Washington-Henry ES,0,-,2021-01-04
