School/Location,Positive COVID-19 Cases,Last Reported Case,Date
Atlee HS,29,2021-01-08,2021-01-08
Battlefield Park ES,5,2020-12-13,2021-01-08
Beaverdam ES,4,2021-01-05,2021-01-08
Bell Creek MS,13,2021-01-05,2021-01-08
Chickahominy MS,13,2020-12-24,2021-01-08
Cold Harbor ES,5,2020-12-24,2021-01-08
Cool Spring ES,12,2020-12-30,2021-01-08
Elmont ES,5,2021-01-06,2021-01-08
The Georgetown School,1,2020-11-14,2021-01-08
The Hanover Center for Trades & Technology,2,2020-12-23,2021-01-08
Hanover HS,47,2021-01-08,2021-01-08
Henry Clay ES,5,2020-12-10,2021-01-08
John M. Gandy ES,10,2020-12-08,2021-01-08
Kersey Creek ES,12,2021-01-05,2021-01-08
Laurel Meadow ES,3,2020-12-23,2021-01-08
Liberty MS,17,2021-01-08,2021-01-08
Mechanicsville ES,4,2021-01-06,2021-01-08
Mechanicsville HS,16,2021-01-06,2021-01-08
Oak Knoll MS,7,2020-12-12,2021-01-08
Patrick Henry HS,14,2021-01-08,2021-01-08
Pearson's Corner ES,9,2020-12-20,2021-01-08
Pole Green ES,7,2021-01-08,2021-01-08
Rural Point ES,3,2020-12-21,2021-01-08
School Board Office,4,2020-12-11,2021-01-08
South Anna ES,2,2020-12-15,2021-01-08
Transportation,11,2020-12-23,2021-01-08
Washington-Henry ES,0,-,2021-01-08
