"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-09,Southside,157,28,10
2020-05-09,Chesapeake,325,68,9
2020-05-09,"Thomas Jefferson",343,62,13
2020-05-09,Roanoke,93,6,1
2020-05-09,"Eastern Shore",655,32,12
2020-05-09,"Mount Rogers",137,16,4
2020-05-09,Chickahominy,291,65,23
2020-05-09,"New River",87,12,1
2020-05-09,"Central Virginia",156,13,2
2020-05-09,Piedmont,374,29,4
2020-05-09,"Lord Fairfax",694,62,21
2020-05-09,Crater,269,63,14
2020-05-09,Hampton,138,29,3
2020-05-09,Alexandria,1142,139,30
2020-05-09,Fairfax,5686,917,237
2020-05-09,Richmond,512,89,18
2020-05-09,Arlington,1332,260,60
2020-05-09,"Rappahannock Rapidan",492,38,10
2020-05-09,Rappahannock,727,114,12
2020-05-09,Pittsylvania-Danville,56,21,2
2020-05-09,"Prince William",3022,311,51
2020-05-09,"Cumberland Plateau",28,2,0
2020-05-09,Portsmouth,202,38,8
2020-05-09,"Virginia Beach",478,85,17
2020-05-09,"West Piedmont",54,8,1
2020-05-09,"Three Rivers",320,28,6
2020-05-09,Alleghany,133,19,3
2020-05-09,Lenowisco,41,14,3
2020-05-09,Norfolk,290,50,5
2020-05-09,"Western Tidewater",479,55,24
2020-05-09,Henrico,1054,150,109
2020-05-09,"Central Shenandoah",1040,60,23
2020-05-09,Loudoun,1127,109,30
2020-05-09,Chesterfield,848,66,32
2020-05-09,Peninsula,414,106,29
