"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-03,Southside,414,49,30
2020-07-03,Chesapeake,972,143,21
2020-07-03,"Thomas Jefferson",960,99,25
2020-07-03,Roanoke,465,14,10
2020-07-03,"Eastern Shore",1313,113,42
2020-07-03,"Mount Rogers",743,74,32
2020-07-03,Chickahominy,669,111,39
2020-07-03,"New River",252,22,5
2020-07-03,"Central Virginia",418,16,5
2020-07-03,Piedmont,1065,89,13
2020-07-03,"Lord Fairfax",2060,183,69
2020-07-03,Crater,1562,154,38
2020-07-03,Hampton,354,41,5
2020-07-03,Alexandria,2338,238,57
2020-07-03,Fairfax,14089,1668,509
2020-07-03,Richmond,2248,227,30
2020-07-03,Arlington,2500,421,132
2020-07-03,"Rappahannock Rapidan",1457,109,22
2020-07-03,Rappahannock,2489,226,44
2020-07-03,Pittsylvania-Danville,223,41,3
2020-07-03,"Prince William",9306,820,170
2020-07-03,"Cumberland Plateau",65,2,0
2020-07-03,Portsmouth,526,73,18
2020-07-03,"Virginia Beach",1254,121,30
2020-07-03,"West Piedmont",501,45,7
2020-07-03,"Three Rivers",648,50,9
2020-07-03,Alleghany,531,31,15
2020-07-03,Lenowisco,55,17,4
2020-07-03,Norfolk,1000,111,11
2020-07-03,"Western Tidewater",841,88,55
2020-07-03,Henrico,2629,258,157
2020-07-03,"Central Shenandoah",2111,173,40
2020-07-03,Loudoun,4113,279,91
2020-07-03,Chesterfield,3203,149,73
2020-07-03,Peninsula,1019,127,34
