"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-05,Southside,423,50,30
2020-07-05,Chesapeake,1015,147,21
2020-07-05,"Thomas Jefferson",1040,99,25
2020-07-05,Roanoke,479,14,10
2020-07-05,"Eastern Shore",1316,113,42
2020-07-05,"Mount Rogers",765,75,32
2020-07-05,Chickahominy,675,111,39
2020-07-05,"New River",258,22,5
2020-07-05,"Central Virginia",430,16,5
2020-07-05,Piedmont,1065,89,13
2020-07-05,"Lord Fairfax",2089,184,74
2020-07-05,Crater,1590,155,38
2020-07-05,Hampton,369,41,5
2020-07-05,Alexandria,2376,239,57
2020-07-05,Fairfax,14279,1677,511
2020-07-05,Richmond,2276,228,29
2020-07-05,Arlington,2533,421,131
2020-07-05,"Rappahannock Rapidan",1484,109,22
2020-07-05,Rappahannock,2531,228,44
2020-07-05,Pittsylvania-Danville,236,43,3
2020-07-05,"Prince William",9465,823,171
2020-07-05,"Cumberland Plateau",68,2,0
2020-07-05,Portsmouth,549,73,18
2020-07-05,"Virginia Beach",1350,123,30
2020-07-05,"West Piedmont",518,45,7
2020-07-05,"Three Rivers",661,50,9
2020-07-05,Alleghany,543,31,15
2020-07-05,Lenowisco,60,17,4
2020-07-05,Norfolk,1072,114,12
2020-07-05,"Western Tidewater",861,90,56
2020-07-05,Henrico,2681,262,158
2020-07-05,"Central Shenandoah",2140,173,40
2020-07-05,Loudoun,4207,278,90
2020-07-05,Chesterfield,3247,149,73
2020-07-05,Peninsula,1097,127,34
