"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-23,Southside,243,37,21
2020-05-23,Chesapeake,426,82,13
2020-05-23,"Thomas Jefferson",402,68,16
2020-05-23,Roanoke,141,7,9
2020-05-23,"Eastern Shore",932,60,27
2020-05-23,"Mount Rogers",264,20,6
2020-05-23,Chickahominy,396,77,26
2020-05-23,"New River",92,12,1
2020-05-23,"Central Virginia",182,15,4
2020-05-23,Piedmont,644,43,5
2020-05-23,"Lord Fairfax",1065,100,43
2020-05-23,Crater,497,82,14
2020-05-23,Hampton,172,30,3
2020-05-23,Alexandria,1703,175,38
2020-05-23,Fairfax,9044,1208,334
2020-05-23,Richmond,979,130,19
2020-05-23,Arlington,1804,346,95
2020-05-23,"Rappahannock Rapidan",959,71,11
2020-05-23,Rappahannock,1166,133,14
2020-05-23,Pittsylvania-Danville,74,25,3
2020-05-23,"Prince William",5430,501,95
2020-05-23,"Cumberland Plateau",32,2,0
2020-05-23,Portsmouth,253,40,11
2020-05-23,"Virginia Beach",598,90,19
2020-05-23,"West Piedmont",132,15,4
2020-05-23,"Three Rivers",469,33,6
2020-05-23,Alleghany,174,24,14
2020-05-23,Lenowisco,42,15,4
2020-05-23,Norfolk,393,61,6
2020-05-23,"Western Tidewater",593,60,31
2020-05-23,Henrico,1411,176,118
2020-05-23,"Central Shenandoah",1358,106,28
2020-05-23,Loudoun,1831,149,52
2020-05-23,Chesterfield,1305,75,37
2020-05-23,Peninsula,543,113,32
,Peninsula,543,113,32
,,,,
