"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-15,Southside,499,58,31
2020-07-15,Chesapeake,1441,160,23
2020-07-15,"Thomas Jefferson",1298,109,29
2020-07-15,Roanoke,612,15,10
2020-07-15,"Eastern Shore",1320,113,42
2020-07-15,"Mount Rogers",865,83,36
2020-07-15,Chickahominy,744,114,40
2020-07-15,"New River",317,23,6
2020-07-15,"Central Virginia",535,16,6
2020-07-15,Piedmont,1146,110,18
2020-07-15,"Lord Fairfax",2233,194,77
2020-07-15,Crater,1768,175,50
2020-07-15,Hampton,592,42,4
2020-07-15,Alexandria,2486,253,57
2020-07-15,Fairfax,14781,1769,516
2020-07-15,Richmond,2473,245,36
2020-07-15,Arlington,2677,422,134
2020-07-15,"Rappahannock Rapidan",1618,123,25
2020-07-15,Rappahannock,2719,252,46
2020-07-15,Pittsylvania-Danville,335,46,4
2020-07-15,"Prince William",9907,869,185
2020-07-15,"Cumberland Plateau",115,6,0
2020-07-15,Portsmouth,794,89,19
2020-07-15,"Virginia Beach",2137,142,34
2020-07-15,"West Piedmont",671,64,8
2020-07-15,"Three Rivers",824,58,11
2020-07-15,Alleghany,670,32,15
2020-07-15,Lenowisco,95,19,4
2020-07-15,Norfolk,1742,133,18
2020-07-15,"Western Tidewater",1139,102,65
2020-07-15,Henrico,2947,273,175
2020-07-15,"Central Shenandoah",2343,184,46
2020-07-15,Loudoun,4519,301,101
2020-07-15,Chesterfield,3587,177,86
2020-07-15,Peninsula,1578,134,35
