"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-31,Southside,272,38,22
2020-05-31,Chesapeake,521,87,15
2020-05-31,"Thomas Jefferson",525,70,19
2020-05-31,Roanoke,160,9,9
2020-05-31,"Eastern Shore",1146,76,35
2020-05-31,"Mount Rogers",350,34,6
2020-05-31,Chickahominy,488,85,32
2020-05-31,"New River",113,15,1
2020-05-31,"Central Virginia",213,16,4
2020-05-31,Piedmont,720,47,6
2020-05-31,"Lord Fairfax",1390,120,50
2020-05-31,Crater,746,90,18
2020-05-31,Hampton,207,30,3
2020-05-31,Alexandria,1974,190,44
2020-05-31,Fairfax,11230,1330,397
2020-05-31,Richmond,1316,151,24
2020-05-31,Arlington,2116,372,115
2020-05-31,"Rappahannock Rapidan",1162,80,14
2020-05-31,Rappahannock,1568,154,17
2020-05-31,Pittsylvania-Danville,99,27,3
2020-05-31,"Prince William",6930,556,120
2020-05-31,"Cumberland Plateau",35,2,0
2020-05-31,Portsmouth,308,44,11
2020-05-31,"Virginia Beach",708,94,23
2020-05-31,"West Piedmont",199,19,5
2020-05-31,"Three Rivers",518,38,8
2020-05-31,Alleghany,200,24,16
2020-05-31,Lenowisco,43,16,4
2020-05-31,Norfolk,503,69,6
2020-05-31,"Western Tidewater",632,71,39
2020-05-31,Henrico,1820,203,133
2020-05-31,"Central Shenandoah",1538,120,30
2020-05-31,Loudoun,2575,163,62
2020-05-31,Chesterfield,1678,88,52
2020-05-31,Peninsula,604,115,32
