"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-16,Southside,211,34,17
2020-05-16,Chesapeake,380,76,10
2020-05-16,"Thomas Jefferson",378,65,13
2020-05-16,Roanoke,120,7,8
2020-05-16,"Eastern Shore",864,43,17
2020-05-16,"Mount Rogers",225,17,4
2020-05-16,Chickahominy,350,73,26
2020-05-16,"New River",88,12,1
2020-05-16,"Central Virginia",173,16,3
2020-05-16,Piedmont,559,38,5
2020-05-16,"Lord Fairfax",859,75,33
2020-05-16,Crater,378,77,14
2020-05-16,Hampton,158,30,3
2020-05-16,Alexandria,1460,158,34
2020-05-16,Fairfax,7475,1076,285
2020-05-16,Richmond,741,109,18
2020-05-16,Arlington,1560,317,74
2020-05-16,"Rappahannock Rapidan",665,53,11
2020-05-16,Rappahannock,940,123,14
2020-05-16,Pittsylvania-Danville,67,23,2
2020-05-16,"Prince William",4320,405,77
2020-05-16,"Cumberland Plateau",30,2,0
2020-05-16,Portsmouth,222,39,10
2020-05-16,"Virginia Beach",539,86,19
2020-05-16,"West Piedmont",74,12,3
2020-05-16,"Three Rivers",367,30,6
2020-05-16,Alleghany,158,23,6
2020-05-16,Lenowisco,42,15,4
2020-05-16,Norfolk,350,56,5
2020-05-16,"Western Tidewater",537,57,28
2020-05-16,Henrico,1226,170,113
2020-05-16,"Central Shenandoah",1181,86,24
2020-05-16,Loudoun,1430,137,48
2020-05-16,Chesterfield,1078,72,36
2020-05-16,Peninsula,478,112,31
