Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-13,Alexandria,235,23,1
2020-04-13,Alleghany,50,11,2
2020-04-13,Arlington,390,35,11
2020-04-13,Central Shenandoah,171,15,1
2020-04-13,Central Virginia,76,6,1
2020-04-13,Chesapeake,126,31,3
2020-04-13,Chesterfield,226,24,5
2020-04-13,Chickahominy,99,13,4
2020-04-13,Crater,94,12,6
2020-04-13,Cumberland Plateau,7,1,0
2020-04-13,Eastern Shore,19,10,1
2020-04-13,Fairfax,1167,218,21
2020-04-13,Hampton,72,19,1
2020-04-13,Henrico,397,31,33
2020-04-13,Lenowisco,23,6,1
2020-04-13,Lord Fairfax,129,10,0
2020-04-13,Loudoun,324,35,5
2020-04-13,Mount Rogers,51,11,5
2020-04-13,New River,42,6,0
2020-04-13,Norfolk,99,21,1
2020-04-13,Peninsula,273,83,11
2020-04-13,Piedmont,59,11,2
2020-04-13,Pittsylvania-Danville,25,16,1
2020-04-13,Portsmouth,54,18,2
2020-04-13,Prince William,485,53,9
2020-04-13,Rappahannock,171,37,2
2020-04-13,Rappahannock Rapidan,69,12,2
2020-04-13,Richmond,167,18,6
2020-04-13,Roanoke,21,3,0
2020-04-13,Southside,67,12,1
2020-04-13,Thomas Jefferson,142,28,3
2020-04-13,Three Rivers,48,0,0
2020-04-13,Virginia Beach,251,51,5
2020-04-13,West Piedmont,22,1,0
2020-04-13,Western Tidewater,96,22,3
2020-04-14,Alexandria,247,23,2
2020-04-14,Alleghany,49,10,2
2020-04-14,Arlington,401,36,12
2020-04-14,Central Shenandoah,186,15,1
2020-04-14,Central Virginia,77,6,1
2020-04-14,Chesapeake,136,34,3
2020-04-14,Chesterfield,262,24,5
2020-04-14,Chickahominy,115,16,4
2020-04-14,Crater,101,12,6
2020-04-14,Cumberland Plateau,18,1,0
2020-04-14,Eastern Shore,19,10,1
2020-04-14,Fairfax,1207,235,21
2020-04-14,Hampton,73,19,1
2020-04-14,Henrico,432,40,33
2020-04-14,Lenowisco,23,7,1
2020-04-14,Lord Fairfax,144,11,0
2020-04-14,Loudoun,344,37,5
2020-04-14,Mount Rogers,50,12,4
2020-04-14,New River,43,6,0
2020-04-14,Norfolk,97,24,1
2020-04-14,Peninsula,282,83,11
2020-04-14,Piedmont,60,11,2
2020-04-14,Pittsylvania-Danville,26,16,1
2020-04-14,Portsmouth,59,21,4
2020-04-14,Prince William,570,68,10
2020-04-14,Rappahannock,188,38,2
2020-04-14,Rappahannock Rapidan,75,14,2
2020-04-14,Richmond,175,20,7
2020-04-14,Roanoke,21,3,0
2020-04-14,Southside,73,12,1
2020-04-14,Thomas Jefferson,163,29,3
2020-04-14,Three Rivers,50,7,0
2020-04-14,Virginia Beach,252,51,5
2020-04-14,West Piedmont,23,3,0
2020-04-14,Western Tidewater,130,24,3
2020-04-15,Alexandria,254,24,4
2020-04-15,Alleghany,50,10,2
2020-04-15,Arlington,420,44,14
2020-04-15,Central Shenandoah,204,15,1
2020-04-15,Central Virginia,78,6,1
2020-04-15,Chesapeake,140,35,4
2020-04-15,Chesterfield,276,24,7
2020-04-15,Chickahominy,118,18,4
2020-04-15,Crater,103,11,5
2020-04-15,Cumberland Plateau,18,1,0
2020-04-15,Eastern Shore,19,10,1
2020-04-15,Fairfax,1298,256,30
2020-04-15,Hampton,75,19,1
2020-04-15,Henrico,453,46,52
2020-04-15,Lenowisco,24,8,1
2020-04-15,Lord Fairfax,153,14,0
2020-04-15,Loudoun,367,40,6
2020-04-15,Mount Rogers,50,12,4
2020-04-15,New River,44,6,0
2020-04-15,Norfolk,99,26,2
2020-04-15,Peninsula,287,85,12
2020-04-15,Piedmont,68,13,2
2020-04-15,Pittsylvania-Danville,26,16,1
2020-04-15,Portsmouth,59,22,4
2020-04-15,Prince William,603,72,11
2020-04-15,Rappahannock,209,41,2
2020-04-15,Rappahannock Rapidan,80,15,2
2020-04-15,Richmond,177,21,8
2020-04-15,Roanoke,22,4,0
2020-04-15,Southside,73,12,1
2020-04-15,Thomas Jefferson,192,33,4
2020-04-15,Three Rivers,50,7,1
2020-04-15,Virginia Beach,256,54,5
2020-04-15,West Piedmont,23,3,0
2020-04-15,Western Tidewater,132,25,3
2020-04-16,Alexandria,275,32,4
2020-04-16,Alleghany,53,10,2
2020-04-16,Arlington,453,50,15
2020-04-16,Central Shenandoah,226,15,1
2020-04-16,Central Virginia,76,6,1
2020-04-16,Chesapeake,143,35,4
2020-04-16,Chesterfield,290,26,7
2020-04-16,Chickahominy,127,18,4
2020-04-16,Crater,101,12,6
2020-04-16,Cumberland Plateau,18,1,0
2020-04-16,Eastern Shore,23,10,1
2020-04-16,Fairfax,1375,271,31
2020-04-16,Hampton,77,19,1
2020-04-16,Henrico,497,58,57
