"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-16,Southside,"Not Reported",100,11,5
2020-05-16,Chesapeake,White,161,30,3
2020-05-16,"New River",Other,0,0,0
2020-05-16,Norfolk,"Black or African American",189,35,3
2020-05-16,"Central Shenandoah",Other,187,11,1
2020-05-16,Southside,Other,26,1,4
2020-05-16,Pittsylvania-Danville,Other,1,0,0
2020-05-16,"Cumberland Plateau",White,18,2,0
2020-05-16,"Rappahannock Rapidan","Black or African American",31,6,1
2020-05-16,Fairfax,"Not Reported",1869,92,77
2020-05-16,Chesapeake,"Not Reported",49,2,0
2020-05-16,"Thomas Jefferson",White,214,25,8
2020-05-16,Richmond,Other,167,25,1
2020-05-16,Peninsula,"Black or African American",131,31,9
2020-05-16,Henrico,Other,121,12,3
2020-05-16,"Cumberland Plateau","Black or African American",11,0,0
2020-05-16,Loudoun,Other,327,47,7
2020-05-16,Crater,Other,12,2,1
2020-05-16,Arlington,"Black or African American",106,41,16
2020-05-16,Alexandria,"Black or African American",221,44,6
2020-05-16,Richmond,"Black or African American",281,64,16
2020-05-16,"Lord Fairfax","Not Reported",120,2,4
2020-05-16,Fairfax,"Black or African American",498,118,18
2020-05-16,"Thomas Jefferson","Black or African American",105,35,4
2020-05-16,"West Piedmont",White,49,6,2
2020-05-16,Rappahannock,"Not Reported",335,20,0
2020-05-16,"Central Shenandoah","Not Reported",192,6,1
2020-05-16,Peninsula,White,252,72,21
2020-05-16,"Rappahannock Rapidan",White,256,23,8
2020-05-16,"Prince William",White,852,172,52
2020-05-16,"New River","Not Reported",28,0,0
2020-05-16,Chesterfield,"Not Reported",478,3,9
2020-05-16,Alleghany,Other,2,0,0
2020-05-16,Fairfax,Other,3010,523,60
2020-05-16,Henrico,"Not Reported",203,1,1
2020-05-16,"Lord Fairfax",Other,118,11,3
2020-05-16,Piedmont,Other,12,2,0
2020-05-16,Lenowisco,"Black or African American",0,0,0
2020-05-16,Arlington,White,432,94,32
2020-05-16,Hampton,"Black or African American",95,24,3
2020-05-16,Alexandria,White,542,60,23
2020-05-16,Hampton,"Not Reported",21,0,0
2020-05-16,"Mount Rogers",White,186,15,4
2020-05-16,Alexandria,"Not Reported",420,14,4
2020-05-16,Chickahominy,"Black or African American",61,24,7
2020-05-16,Chesapeake,"Black or African American",137,39,5
2020-05-16,"Western Tidewater","Not Reported",159,1,1
2020-05-16,"Cumberland Plateau","Not Reported",1,0,0
2020-05-16,"Western Tidewater",Other,25,1,1
2020-05-16,Loudoun,"Black or African American",79,9,2
