"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations"
2020-05-21,Central,Confirmed,3,0
2020-05-21,Eastern,Confirmed,1,0
2020-05-21,Northern,Confirmed,4,0
2020-05-21,Northwest,Confirmed,9,0
2020-05-20,Central,Confirmed,10,3
2020-05-20,Eastern,Confirmed,3,0
2020-05-20,Northern,Confirmed,10,2
2020-05-20,Northern,Probable,3,0
2020-05-20,Northwest,Confirmed,23,3
2020-05-20,Northwest,Probable,3,0
2020-05-20,Southwest,Probable,2,0
2020-05-19,Central,Confirmed,71,1
2020-05-19,Eastern,Confirmed,16,1
2020-05-19,Northern,Confirmed,27,5
2020-05-19,Northwest,Confirmed,15,6
2020-05-19,Northwest,Probable,4,1
2020-05-19,Southwest,Confirmed,1,0
2020-05-19,Southwest,Probable,1,0
2020-05-18,Central,Confirmed,76,3
2020-05-18,Eastern,Confirmed,18,2
2020-05-18,Eastern,Probable,1,0
2020-05-18,Northern,Confirmed,194,14
2020-05-18,Northern,Probable,1,0
2020-05-18,Northwest,Confirmed,44,4
2020-05-18,Northwest,Probable,6,0
2020-05-18,Southwest,Confirmed,19,2
2020-05-17,Central,Confirmed,62,5
2020-05-17,Eastern,Confirmed,18,6
2020-05-17,Northern,Confirmed,154,25
2020-05-17,Northwest,Confirmed,28,5
2020-05-17,Northwest,Probable,13,0
2020-05-17,Southwest,Confirmed,10,1
2020-05-16,Central,Confirmed,81,2
2020-05-16,Eastern,Confirmed,17,2
2020-05-16,Northern,Confirmed,238,20
2020-05-16,Northern,Probable,4,0
2020-05-16,Northwest,Confirmed,81,4
2020-05-16,Northwest,Probable,9,0
2020-05-16,Southwest,Confirmed,5,0
2020-05-15,Central,Confirmed,107,5
2020-05-15,Central,Probable,2,0
2020-05-15,Eastern,Confirmed,44,1
2020-05-15,Northern,Confirmed,342,21
2020-05-15,Northern,Probable,5,0
2020-05-15,Northwest,Confirmed,115,5
2020-05-15,Northwest,Probable,16,0
2020-05-15,Southwest,Confirmed,18,0
2020-05-14,Central,Confirmed,117,7
2020-05-14,Eastern,Confirmed,51,2
2020-05-14,Eastern,Probable,2,0
2020-05-14,Northern,Confirmed,413,25
2020-05-14,Northern,Probable,4,1
2020-05-14,Northwest,Confirmed,76,11
2020-05-14,Northwest,Probable,5,0
2020-05-14,Southwest,Confirmed,11,0
2020-05-13,Central,Confirmed,166,3
2020-05-13,Eastern,Confirmed,56,4
2020-05-13,Northern,Confirmed,447,25
2020-05-13,Northern,Probable,13,0
2020-05-13,Northwest,Confirmed,96,3
2020-05-13,Northwest,Probable,4,0
2020-05-13,Southwest,Confirmed,19,3
2020-05-13,Southwest,Probable,1,0
2020-05-12,Central,Confirmed,208,4
2020-05-12,Eastern,Confirmed,103,5
2020-05-12,Eastern,Probable,2,1
2020-05-12,Northern,Confirmed,454,33
2020-05-12,Northern,Probable,11,0
2020-05-12,Northwest,Confirmed,103,7
2020-05-12,Northwest,Probable,10,0
2020-05-12,Southwest,Confirmed,33,1
2020-05-11,Central,Confirmed,112,9
2020-05-11,Eastern,Confirmed,45,2
2020-05-11,Eastern,Probable,1,0
2020-05-11,Northern,Confirmed,522,36
2020-05-11,Northern,Probable,16,1
2020-05-11,Northwest,Confirmed,102,8
2020-05-11,Northwest,Probable,5,0
2020-05-11,Southwest,Confirmed,19,1
2020-05-11,Southwest,Probable,1,0
2020-05-10,Central,Confirmed,90,5
2020-05-10,Eastern,Confirmed,26,6
2020-05-10,Eastern,Probable,1,0
2020-05-10,Northern,Confirmed,239,37
2020-05-10,Northern,Probable,9,0
2020-05-10,Northwest,Confirmed,75,8
2020-05-10,Northwest,Probable,5,0
2020-05-10,Southwest,Confirmed,16,4
2020-05-09,Central,Confirmed,68,5
2020-05-09,Eastern,Confirmed,64,4
2020-05-09,Eastern,Probable,1,0
2020-05-09,Northern,Confirmed,278,40
2020-05-09,Northern,Probable,13,0
2020-05-09,Northwest,Confirmed,84,10
2020-05-09,Northwest,Probable,8,0
2020-05-09,Southwest,Confirmed,14,0
2020-05-08,Central,Confirmed,147,9
2020-05-08,Eastern,Confirmed,68,2
2020-05-08,Eastern,Probable,2,0
2020-05-08,Northern,Confirmed,505,42
2020-05-08,Northern,Probable,12,0
2020-05-08,Northwest,Confirmed,90,9
2020-05-08,Northwest,Probable,11,0
2020-05-08,Southwest,Confirmed,21,1
2020-05-07,Central,Confirmed,112,7
2020-05-07,Eastern,Confirmed,64,3
2020-05-07,Eastern,Probable,3,0
2020-05-07,Northern,Confirmed,427,42
2020-05-07,Northern,Probable,17,0
2020-05-07,Northwest,Confirmed,98,8
2020-05-07,Northwest,Probable,3,0
2020-05-07,Southwest,Confirmed,26,0
2020-05-06,Central,Confirmed,88,9
2020-05-06,Eastern,Confirmed,94,5
2020-05-06,Eastern,Probable,8,0
2020-05-06,Northern,Confirmed,533,49
2020-05-06,Northern,Probable,25,0
2020-05-06,Northwest,Confirmed,68,9
2020-05-06,Northwest,Probable,10,0
2020-05-06,Southwest,Confirmed,19,1
2020-05-05,Central,Confirmed,113,11
2020-05-05,Eastern,Confirmed,142,5
2020-05-05,Eastern,Probable,2,0
2020-05-05,Northern,Confirmed,466,49
2020-05-05,Northern,Probable,21,0
2020-05-05,Northwest,Confirmed,88,6
2020-05-05,Northwest,Probable,7,0
2020-05-05,Southwest,Confirmed,20,1
2020-05-04,Central,Confirmed,126,7
2020-05-04,Central,Probable,1,0
2020-05-04,Eastern,Confirmed,127,9
2020-05-04,Eastern,Probable,2,0
2020-05-04,Northern,Confirmed,560,59
2020-05-04,Northern,Probable,32,1
2020-05-04,Northwest,Confirmed,113,12
2020-05-04,Northwest,Probable,5,0
2020-05-04,Southwest,Confirmed,21,3
2020-05-03,Central,Confirmed,65,11
2020-05-03,Eastern,Confirmed,35,7
2020-05-03,Eastern,Probable,2,0
2020-05-03,Northern,Confirmed,318,54
2020-05-03,Northern,Probable,15,0
2020-05-03,Northwest,Confirmed,84,14
2020-05-03,Northwest,Probable,8,0
