"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-26,Southside,"Not Reported",164,26,14
2020-05-26,"Lord Fairfax","Hispanic or Latino",274,22,4
2020-05-26,"Eastern Shore","Not Hispanic or Latino",724,58,25
2020-05-26,Portsmouth,"Hispanic or Latino",8,2,0
2020-05-26,Fairfax,"Not Reported",2584,116,109
2020-05-26,Richmond,"Hispanic or Latino",332,33,2
2020-05-26,Chesapeake,"Not Reported",97,7,0
2020-05-26,Arlington,"Hispanic or Latino",634,149,12
2020-05-26,"West Piedmont","Not Hispanic or Latino",87,10,4
2020-05-26,Fairfax,"Not Hispanic or Latino",2566,597,205
2020-05-26,Piedmont,"Hispanic or Latino",17,0,0
2020-05-26,Crater,"Not Hispanic or Latino",255,53,7
2020-05-26,Chickahominy,"Not Hispanic or Latino",193,61,24
2020-05-26,"New River","Not Hispanic or Latino",60,12,1
2020-05-26,"Lord Fairfax","Not Reported",334,19,11
2020-05-26,Rappahannock,"Not Reported",507,21,1
2020-05-26,"Central Shenandoah","Not Reported",222,3,5
2020-05-26,"Central Virginia","Not Hispanic or Latino",70,12,3
2020-05-26,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-26,"Cumberland Plateau","Not Hispanic or Latino",18,2,0
2020-05-26,"Western Tidewater","Not Hispanic or Latino",358,61,36
2020-05-26,"New River","Not Reported",31,0,0
2020-05-26,Chesterfield,"Not Reported",813,16,18
2020-05-26,Chesterfield,"Hispanic or Latino",206,8,0
2020-05-26,Hampton,"Not Hispanic or Latino",125,29,3
2020-05-26,Chesapeake,"Not Hispanic or Latino",334,72,13
2020-05-26,Peninsula,"Hispanic or Latino",48,10,1
2020-05-26,Arlington,"Not Reported",738,71,18
2020-05-26,Roanoke,"Not Hispanic or Latino",75,9,8
2020-05-26,"Lord Fairfax","Not Hispanic or Latino",527,63,30
2020-05-26,"Eastern Shore","Hispanic or Latino",150,5,3
2020-05-26,"Mount Rogers","Not Reported",20,2,0
2020-05-26,"Three Rivers","Not Hispanic or Latino",286,24,3
2020-05-26,"Thomas Jefferson","Not Reported",58,0,0
2020-05-26,"Three Rivers","Not Reported",168,9,3
2020-05-26,Arlington,"Not Hispanic or Latino",563,147,74
2020-05-26,Alleghany,"Not Hispanic or Latino",119,17,15
2020-05-26,Loudoun,"Not Reported",1050,6,7
2020-05-26,Fairfax,"Hispanic or Latino",4797,550,36
2020-05-26,Peninsula,"Not Reported",148,3,2
2020-05-26,Crater,"Hispanic or Latino",28,1,0
2020-05-26,Piedmont,"Not Hispanic or Latino",315,31,3
2020-05-26,Henrico,"Hispanic or Latino",147,15,3
2020-05-26,Alexandria,"Not Hispanic or Latino",558,96,32
2020-05-26,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-26,Alleghany,"Not Reported",52,3,1
2020-05-26,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-26,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-26,Chesterfield,"Not Hispanic or Latino",308,52,24
2020-05-26,Pittsylvania-Danville,"Not Hispanic or Latino",59,19,3
2020-05-26,"Mount Rogers","Hispanic or Latino",124,0,0
2020-05-26,Richmond,"Not Reported",420,26,1
2020-05-26,Peninsula,"Not Hispanic or Latino",375,100,29
2020-05-26,Chesapeake,"Hispanic or Latino",28,5,1
2020-05-26,Southside,"Hispanic or Latino",2,1,0
2020-05-26,"Thomas Jefferson","Not Hispanic or Latino",340,67,19
2020-05-26,Norfolk,"Not Hispanic or Latino",271,53,6
2020-05-26,Portsmouth,"Not Reported",159,7,2
2020-05-26,Norfolk,"Not Reported",108,1,0
2020-05-26,"Three Rivers","Hispanic or Latino",35,0,0
2020-05-26,"Eastern Shore","Not Reported",105,0,0
2020-05-26,Alleghany,"Hispanic or Latino",13,4,0
2020-05-26,Henrico,"Not Reported",600,19,22
2020-05-26,Henrico,"Not Hispanic or Latino",799,145,93
2020-05-26,Loudoun,"Not Hispanic or Latino",571,96,42
2020-05-26,Hampton,"Not Reported",47,1,0
2020-05-26,"Rappahannock Rapidan","Not Hispanic or Latino",211,26,8
2020-05-26,Alexandria,"Not Reported",396,4,3
2020-05-26,Rappahannock,"Not Hispanic or Latino",413,69,14
2020-05-26,"Western Tidewater","Not Reported",249,3,1
2020-05-26,"Cumberland Plateau","Not Reported",15,0,0
2020-05-26,Alexandria,"Hispanic or Latino",831,75,6
2020-05-26,"Virginia Beach","Not Hispanic or Latino",451,78,20
2020-05-26,"Prince William","Hispanic or Latino",2240,311,27
2020-05-26,"Virginia Beach","Not Reported",138,6,2
2020-05-26,"Central Shenandoah","Hispanic or Latino",644,38,2
