"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths","Health Planning Region"
2020-02-16,Confirmed,1,0,0,Central
2020-02-16,Confirmed,1,1,0,Northern
2020-02-16,Probable,1,0,0,Northern
2020-02-17,Confirmed,2,1,0,Northern
2020-02-17,Probable,1,0,0,Northern
2020-02-18,Confirmed,1,1,0,Central
2020-02-18,Confirmed,1,0,0,Northern
2020-02-18,Confirmed,1,0,0,Northwest
2020-02-19,Confirmed,1,0,0,Central
2020-02-19,Probable,1,0,0,Northern
2020-02-20,Confirmed,1,0,0,Northern
2020-02-23,Confirmed,2,0,0,Northern
2020-02-23,Probable,1,0,0,Northern
2020-02-24,Probable,1,0,0,Central
2020-02-24,Confirmed,2,0,0,Eastern
2020-02-24,Confirmed,4,0,0,Northern
2020-02-24,Probable,2,0,0,Northern
2020-02-25,Probable,2,0,0,Eastern
2020-02-25,Probable,3,0,0,Northern
2020-02-26,Confirmed,2,0,0,Central
2020-02-26,Confirmed,1,0,0,Eastern
2020-02-26,Probable,1,0,0,Northern
2020-02-26,Confirmed,1,1,0,Northwest
2020-02-27,Confirmed,1,0,0,Northern
2020-02-28,Confirmed,1,0,0,Eastern
2020-02-28,Confirmed,3,0,0,Northern
2020-02-28,Probable,1,0,0,Northern
2020-02-28,Confirmed,1,0,0,Northwest
2020-02-29,Confirmed,1,0,0,Central
2020-02-29,Confirmed,1,0,0,Eastern
2020-02-29,Confirmed,1,0,0,Northern
2020-02-29,Probable,2,0,0,Northern
2020-02-29,Confirmed,1,0,0,Northwest
2020-02-29,Confirmed,1,0,0,Southwest
2020-03-01,Confirmed,1,0,0,Central
2020-03-01,Probable,1,0,0,Central
2020-03-01,Confirmed,5,0,0,Eastern
2020-03-01,Probable,2,0,0,Eastern
2020-03-01,Confirmed,5,0,0,Northern
2020-03-01,Probable,1,0,0,Northern
2020-03-01,Confirmed,2,0,0,Northwest
2020-03-01,Probable,3,0,0,Northwest
2020-03-02,Confirmed,6,0,0,Eastern
2020-03-02,Confirmed,7,0,0,Northern
2020-03-02,Probable,3,0,0,Northern
2020-03-02,Confirmed,1,0,0,Northwest
2020-03-02,Probable,1,0,0,Northwest
2020-03-02,Confirmed,1,0,0,Southwest
2020-03-03,Confirmed,2,0,0,Central
2020-03-03,Confirmed,3,0,0,Eastern
2020-03-03,Probable,2,0,0,Eastern
2020-03-03,Confirmed,9,0,0,Northern
2020-03-03,Probable,2,0,0,Northern
2020-03-03,Confirmed,2,0,0,Northwest
2020-03-04,Confirmed,3,0,0,Central
2020-03-04,Confirmed,5,0,0,Eastern
2020-03-04,Probable,1,0,0,Eastern
2020-03-04,Confirmed,8,0,0,Northern
2020-03-04,Probable,4,0,0,Northern
2020-03-04,Confirmed,3,0,0,Northwest
2020-03-04,Confirmed,1,0,0,Southwest
2020-03-05,Probable,2,0,0,Central
2020-03-05,Confirmed,7,0,0,Eastern
2020-03-05,Confirmed,7,2,0,Northern
2020-03-05,Probable,1,0,0,Northern
2020-03-06,Confirmed,3,0,0,Central
2020-03-06,Probable,1,0,0,Central
2020-03-06,Confirmed,6,0,0,Eastern
2020-03-06,Confirmed,15,0,0,Northern
2020-03-06,Probable,3,0,0,Northern
2020-03-06,Confirmed,1,1,0,Northwest
2020-03-07,Confirmed,3,0,0,Central
2020-03-07,Confirmed,6,0,0,Eastern
2020-03-07,Confirmed,14,1,0,Northern
2020-03-07,Probable,2,0,0,Northern
2020-03-07,Probable,1,0,0,Northwest
2020-03-07,Confirmed,1,0,0,Southwest
2020-03-08,Confirmed,1,0,0,Central
2020-03-08,Confirmed,5,0,0,Eastern
2020-03-08,Probable,1,0,0,Eastern
2020-03-08,Confirmed,10,1,0,Northern
2020-03-08,Probable,2,0,0,Northern
2020-03-08,Confirmed,4,0,0,Northwest
2020-03-08,Confirmed,1,0,0,Southwest
2020-03-09,Confirmed,6,0,0,Central
2020-03-09,Probable,1,0,0,Central
2020-03-09,Confirmed,11,2,0,Eastern
2020-03-09,Probable,1,0,0,Eastern
2020-03-09,Confirmed,26,1,0,Northern
