"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-11,Southside,"Not Reported",85,9,2
2020-05-11,Chesapeake,White,135,26,2
2020-05-11,"New River",Other,0,0,0
2020-05-11,Norfolk,"Black or African American",169,31,3
2020-05-11,"Central Shenandoah",Other,178,9,2
2020-05-11,Southside,Other,26,1,2
2020-05-11,Pittsylvania-Danville,Other,0,0,0
2020-05-11,"Cumberland Plateau",White,17,2,0
2020-05-11,"Rappahannock Rapidan","Black or African American",26,6,1
2020-05-11,Fairfax,"Not Reported",1585,86,68
2020-05-11,Chesapeake,"Not Reported",54,3,1
2020-05-11,"Thomas Jefferson",White,203,23,8
2020-05-11,Richmond,Other,99,17,1
2020-05-11,Peninsula,"Black or African American",120,30,9
2020-05-11,Henrico,Other,88,10,3
2020-05-11,"Cumberland Plateau","Black or African American",11,0,0
2020-05-11,Loudoun,Other,250,35,4
2020-05-11,Crater,Other,6,2,1
2020-05-11,Arlington,"Black or African American",94,34,12
2020-05-11,Alexandria,"Black or African American",183,40,6
2020-05-11,Richmond,"Black or African American",259,59,16
2020-05-11,"Lord Fairfax","Not Reported",102,3,3
2020-05-11,Fairfax,"Black or African American",426,109,18
2020-05-11,"Thomas Jefferson","Black or African American",99,33,4
2020-05-11,"West Piedmont",White,38,4,0
2020-05-11,Rappahannock,"Not Reported",273,19,0
2020-05-11,"Central Shenandoah","Not Reported",192,2,1
2020-05-11,Peninsula,White,233,70,20
2020-05-11,"Rappahannock Rapidan",White,206,18,7
2020-05-11,"Prince William",White,671,150,35
2020-05-11,"New River","Not Reported",30,1,0
2020-05-11,Chesterfield,"Not Reported",366,2,8
2020-05-11,Alleghany,Other,2,0,0
2020-05-11,Lenowisco,White,31,13,2
2020-05-11,"Western Tidewater",White,139,21,13
2020-05-11,Hampton,Other,6,2,0
2020-05-11,Alleghany,White,106,18,3
2020-05-11,"Prince William",Other,745,110,8
2020-05-11,Arlington,"Not Reported",698,82,8
2020-05-11,"West Piedmont","Black or African American",9,3,0
2020-05-11,Peninsula,Other,25,6,1
2020-05-11,Norfolk,Other,19,4,0
2020-05-11,"Lord Fairfax","Black or African American",26,3,1
2020-05-11,"Mount Rogers","Not Reported",11,1,0
2020-05-11,"Central Virginia","Black or African American",17,1,0
2020-05-11,"West Piedmont",Other,2,1,1
2020-05-11,Portsmouth,White,44,7,1
2020-05-11,"Thomas Jefferson","Not Reported",15,0,0
2020-05-11,"Three Rivers","Not Reported",85,4,3
2020-05-11,"Virginia Beach","Black or African American",114,17,2
2020-05-11,"Prince William","Black or African American",288,53,14
2020-05-11,Loudoun,"Not Reported",417,3,3
2020-05-11,Loudoun,White,461,70,23
2020-05-11,Peninsula,"Not Reported",65,2,0
2020-05-11,Pittsylvania-Danville,"Black or African American",22,6,0
2020-05-11,Henrico,White,387,63,58
2020-05-11,Richmond,White,103,15,1
2020-05-11,Southside,"Black or African American",25,9,1
2020-05-11,Chickahominy,White,139,35,15
2020-05-11,"Thomas Jefferson",Other,34,6,1
2020-05-11,"Virginia Beach",Other,56,19,2
2020-05-11,"Central Shenandoah","Black or African American",52,3,2
2020-05-11,Chesterfield,White,244,30,17
2020-05-11,"Central Virginia",White,54,8,2
2020-05-11,Rappahannock,White,238,44,10
2020-05-11,"New River",White,54,10,1
2020-05-11,Lenowisco,"Black or African American",0,0,0
2020-05-11,Arlington,White,340,75,25
2020-05-11,Hampton,"Black or African American",89,23,3
2020-05-11,Alexandria,White,424,52,19
2020-05-11,Hampton,"Not Reported",21,0,0
2020-05-11,"Mount Rogers",White,157,15,4
2020-05-11,Alexandria,"Not Reported",408,14,4
2020-05-11,Chickahominy,"Black or African American",55,23,7
2020-05-11,Chesapeake,"Black or African American",121,36,4
2020-05-11,"Western Tidewater","Not Reported",119,2,1
2020-05-11,"Cumberland Plateau","Not Reported",0,0,0
2020-05-11,"Western Tidewater",Other,26,2,1
2020-05-11,Loudoun,"Black or African American",67,8,0
2020-05-11,"Virginia Beach",White,263,47,13
2020-05-11,Chickahominy,Other,11,4,0
2020-05-11,"New River","Black or African American",5,1,0
2020-05-11,"Virginia Beach","Not Reported",72,2,0
2020-05-11,"Rappahannock Rapidan",Other,31,9,0
2020-05-11,Piedmont,"Not Reported",109,3,0
2020-05-11,Portsmouth,Other,16,2,0
2020-05-11,Pittsylvania-Danville,"Not Reported",9,2,0
2020-05-11,"West Piedmont","Not Reported",10,0,0
2020-05-11,Norfolk,White,78,15,2
2020-05-11,Hampton,White,30,4,0
2020-05-11,"Western Tidewater","Black or African American",201,30,9
2020-05-11,"Prince William","Not Reported",1850,26,1
2020-05-11,Fairfax,White,1800,309,118
2020-05-11,Lenowisco,Other,1,0,0
2020-05-11,"Rappahannock Rapidan","Not Reported",271,10,2
2020-05-11,"Three Rivers","Black or African American",105,7,0
2020-05-11,Henrico,"Black or African American",426,78,48
2020-05-11,Lenowisco,"Not Reported",9,1,1
2020-05-11,Chesapeake,Other,30,5,2
2020-05-11,Crater,"Not Reported",70,2,1
2020-05-11,Chickahominy,"Not Reported",94,3,1
2020-05-11,"Eastern Shore","Black or African American",402,23,6
2020-05-11,Alexandria,Other,209,33,1
2020-05-11,Chesterfield,"Black or African American",196,33,7
2020-05-11,Roanoke,"Not Reported",25,0,0
2020-05-11,Rappahannock,"Black or African American",94,20,2
2020-05-11,"Lord Fairfax",White,493,47,17
2020-05-11,"Three Rivers",White,116,15,3
2020-05-11,"Central Virginia","Not Reported",85,3,0
2020-05-11,"Eastern Shore",Other,17,1,1
2020-05-11,Crater,"Black or African American",170,49,7
2020-05-11,"Mount Rogers","Black or African American",0,0,0
2020-05-11,"Central Shenandoah",White,648,47,19
2020-05-11,Southside,White,39,10,5
2020-05-11,"Mount Rogers",Other,14,1,0
2020-05-11,Crater,White,49,16,5
2020-05-11,Alleghany,"Not Reported",39,3,0
2020-05-11,Arlington,Other,267,95,15
2020-05-11,Piedmont,White,126,4,3
2020-05-11,"Cumberland Plateau",Other,1,0,0
2020-05-11,Pittsylvania-Danville,White,25,13,2
2020-05-11,Roanoke,"Black or African American",16,4,0
2020-05-11,Alleghany,"Black or African American",5,1,0
2020-05-11,Richmond,"Not Reported",85,1,0
2020-05-11,"Central Virginia",Other,2,1,0
2020-05-11,Rappahannock,Other,177,35,0
2020-05-11,Roanoke,Other,2,0,0
2020-05-11,Piedmont,"Black or African American",130,21,1
2020-05-11,Chesterfield,Other,67,1,0
2020-05-11,Portsmouth,"Black or African American",97,26,6
2020-05-11,Portsmouth,"Not Reported",51,3,1
2020-05-11,Norfolk,"Not Reported",42,0,0
2020-05-11,"Eastern Shore",White,183,8,5
2020-05-11,"Eastern Shore","Not Reported",92,0,0
2020-05-11,Roanoke,White,63,3,1
2020-05-11,"Three Rivers",Other,21,2,0
2020-05-11,Fairfax,Other,2465,457,46
2020-05-11,Henrico,"Not Reported",182,1,1
2020-05-11,"Lord Fairfax",Other,92,9,0
2020-05-11,Piedmont,Other,8,1,0
