"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
5/24/2020,20105,70,586
5/24/2020,20106,27,101
5/24/2020,20109,692,2071
5/24/2020,20110,885,2382
5/24/2020,20111,567,1678
5/24/2020,20112,127,841
5/24/2020,20115,26,141
5/24/2020,20117,7,56
5/24/2020,20118,Suppressed*,33
5/24/2020,20119,21,112
5/24/2020,20120,193,969
5/24/2020,20121,137,673
5/24/2020,20124,37,296
5/24/2020,20129,7,29
5/24/2020,20130,0,7
5/24/2020,20132,35,339
5/24/2020,20135,5,68
5/24/2020,20136,113,699
5/24/2020,20137,5,39
5/24/2020,20139,Suppressed*,7
5/24/2020,20141,11,130
5/24/2020,20143,Suppressed*,23
5/24/2020,20144,Suppressed*,17
5/24/2020,20147,241,1616
5/24/2020,20148,93,858
5/24/2020,20151,161,575
5/24/2020,20152,119,562
5/24/2020,20155,157,920
5/24/2020,20158,10,79
5/24/2020,20164,545,1640
5/24/2020,20165,154,839
5/24/2020,20166,84,421
5/24/2020,20169,70,547
5/24/2020,20170,543,1517
5/24/2020,20171,208,882
5/24/2020,20175,94,698
5/24/2020,20176,290,1295
5/24/2020,20180,9,153
5/24/2020,20181,28,249
5/24/2020,20184,Suppressed*,29
5/24/2020,20186,51,406
5/24/2020,20187,45,386
5/24/2020,20190,147,695
5/24/2020,20191,203,851
5/24/2020,20194,25,249
5/24/2020,20197,Suppressed*,52
5/24/2020,20198,Suppressed*,41
5/24/2020,22003,804,2348
5/24/2020,22015,283,1123
5/24/2020,22025,81,506
5/24/2020,22026,133,684
5/24/2020,22027,41,82
5/24/2020,22030,255,1387
5/24/2020,22031,251,1070
5/24/2020,22032,95,655
5/24/2020,22033,159,910
5/24/2020,22035,0,6
5/24/2020,22039,47,380
5/24/2020,22041,523,1540
5/24/2020,22042,490,1477
5/24/2020,22043,166,639
5/24/2020,22044,186,532
5/24/2020,22046,124,514
5/24/2020,22060,12,98
5/24/2020,22066,49,395
5/24/2020,22079,219,1030
5/24/2020,22101,93,812
5/24/2020,22102,83,679
5/24/2020,22124,39,362
5/24/2020,22125,Suppressed*,28
5/24/2020,22134,14,57
5/24/2020,22150,563,1557
5/24/2020,22151,200,648
5/24/2020,22152,148,698
5/24/2020,22153,116,723
5/24/2020,22172,96,385
5/24/2020,22180,132,672
5/24/2020,22181,38,306
5/24/2020,22182,83,597
5/24/2020,22191,1019,3666
5/24/2020,22192,430,2228
5/24/2020,22193,964,3565
5/24/2020,22201,173,993
5/24/2020,22202,162,698
5/24/2020,22203,250,757
5/24/2020,22204,739,2191
5/24/2020,22205,107,572
5/24/2020,22206,140,645
5/24/2020,22207,212,1030
5/24/2020,22209,62,374
5/24/2020,22211,Suppressed*,14
5/24/2020,22213,14,77
5/24/2020,22214,0,2
5/24/2020,22301,59,407
5/24/2020,22302,180,612
5/24/2020,22303,132,558
5/24/2020,22304,513,1862
5/24/2020,22305,487,1162
5/24/2020,22306,597,1596
5/24/2020,22307,47,313
5/24/2020,22308,53,256
5/24/2020,22309,428,1302
5/24/2020,22310,207,838
5/24/2020,22311,320,934
5/24/2020,22312,352,1168
5/24/2020,22314,155,970
5/24/2020,22315,76,596
5/24/2020,22401,106,699
5/24/2020,22405,82,775
5/24/2020,22406,62,598
5/24/2020,22407,243,1579
5/24/2020,22408,76,684
5/24/2020,22427,Suppressed*,68
5/24/2020,22432,Suppressed*,17
5/24/2020,22433,Suppressed*,6
5/24/2020,22435,Suppressed*,59
5/24/2020,22436,0,12
5/24/2020,22437,Suppressed*,18
5/24/2020,22438,Suppressed*,7
5/24/2020,22443,13,164
5/24/2020,22448,Suppressed*,19
5/24/2020,22454,Suppressed*,35
5/24/2020,22460,Suppressed*,26
5/24/2020,22469,6,43
5/24/2020,22473,13,124
5/24/2020,22476,Suppressed*,6
5/24/2020,22480,0,25
5/24/2020,22482,Suppressed*,88
5/24/2020,22485,53,585
5/24/2020,22488,Suppressed*,25
5/24/2020,22503,5,127
5/24/2020,22504,0,6
5/24/2020,22508,34,343
5/24/2020,22509,Suppressed*,1
5/24/2020,22511,Suppressed*,27
5/24/2020,22514,Suppressed*,31
5/24/2020,22520,27,130
5/24/2020,22529,0,7
5/24/2020,22530,0,2
5/24/2020,22534,Suppressed*,47
5/24/2020,22535,0,14
5/24/2020,22538,0,7
5/24/2020,22539,Suppressed*,56
5/24/2020,22542,Suppressed*,43
5/24/2020,22546,27,297
5/24/2020,22548,0,3
5/24/2020,22551,58,483
5/24/2020,22553,22,337
5/24/2020,22554,291,1553
5/24/2020,22556,136,718
5/24/2020,22560,32,178
5/24/2020,22567,Suppressed*,94
5/24/2020,22572,262,491
5/24/2020,22576,0,32
5/24/2020,22578,Suppressed*,48
5/24/2020,22579,Suppressed*,4
5/24/2020,22580,7,106
5/24/2020,22601,146,316
5/24/2020,22602,106,224
5/24/2020,22603,44,115
5/24/2020,22610,7,15
5/24/2020,22611,12,94
5/24/2020,22620,Suppressed*,24
5/24/2020,22623,Suppressed*,0
5/24/2020,22624,Suppressed*,11
5/24/2020,22625,6,16
5/24/2020,22627,0,11
5/24/2020,22630,88,204
5/24/2020,22637,Suppressed*,6
5/24/2020,22639,0,6
5/24/2020,22640,Suppressed*,5
5/24/2020,22641,0,1
5/24/2020,22642,15,56
5/24/2020,22643,0,5
5/24/2020,22644,44,40
5/24/2020,22645,16,32
5/24/2020,22646,0,4
5/24/2020,22650,Suppressed*,12
5/24/2020,22652,Suppressed*,17
5/24/2020,22654,Suppressed*,5
5/24/2020,22655,66,142
5/24/2020,22656,11,40
5/24/2020,22657,38,99
5/24/2020,22660,7,10
5/24/2020,22663,5,9
5/24/2020,22664,124,141
5/24/2020,22701,500,1194
5/24/2020,22709,0,17
5/24/2020,22711,0,1
5/24/2020,22712,74,307
5/24/2020,22713,6,31
5/24/2020,22714,15,39
5/24/2020,22715,Suppressed*,19
5/24/2020,22716,Suppressed*,10
5/24/2020,22718,Suppressed*,12
5/24/2020,22719,0,5
5/24/2020,22720,0,15
5/24/2020,22722,0,1
5/24/2020,22723,0,3
5/24/2020,22724,10,45
5/24/2020,22726,22,45
5/24/2020,22727,18,137
5/24/2020,22728,6,64
5/24/2020,22729,Suppressed*,10
5/24/2020,22730,0,2
5/24/2020,22731,Suppressed*,6
5/24/2020,22732,Suppressed*,8
5/24/2020,22733,12,42
5/24/2020,22734,20,101
5/24/2020,22735,Suppressed*,43
5/24/2020,22736,Suppressed*,13
5/24/2020,22737,5,56
5/24/2020,22738,Suppressed*,26
5/24/2020,22740,Suppressed*,27
5/24/2020,22741,0,5
5/24/2020,22742,15,57
5/24/2020,22743,0,1
5/24/2020,22747,0,18
5/24/2020,22749,0,4
5/24/2020,22801,513,1255
5/24/2020,22802,408,1120
5/24/2020,22807,Suppressed*,3
5/24/2020,22810,Suppressed*,16
5/24/2020,22811,Suppressed*,18
5/24/2020,22812,17,198
5/24/2020,22815,58,218
5/24/2020,22820,0,2
5/24/2020,22821,16,109
5/24/2020,22824,54,77
5/24/2020,22827,42,281
5/24/2020,22830,14,40
5/24/2020,22831,Suppressed*,17
5/24/2020,22832,Suppressed*,20
5/24/2020,22834,Suppressed*,23
5/24/2020,22835,121,274
5/24/2020,22840,7,82
5/24/2020,22841,12,67
5/24/2020,22842,52,101
5/24/2020,22843,Suppressed*,35
5/24/2020,22844,31,111
5/24/2020,22845,0,3
5/24/2020,22846,6,50
5/24/2020,22847,Suppressed*,13
5/24/2020,22849,11,102
5/24/2020,22850,6,27
5/24/2020,22851,51,121
5/24/2020,22853,39,134
5/24/2020,22901,97,1130
5/24/2020,22902,32,678
5/24/2020,22903,49,835
5/24/2020,22904,0,6
5/24/2020,22911,16,485
5/24/2020,22920,Suppressed*,57
5/24/2020,22922,Suppressed*,49
5/24/2020,22923,9,118
5/24/2020,22931,0,9
5/24/2020,22932,13,215
5/24/2020,22935,Suppressed*,25
5/24/2020,22936,Suppressed*,108
5/24/2020,22937,Suppressed*,41
5/24/2020,22938,Suppressed*,26
5/24/2020,22939,5,84
5/24/2020,22940,Suppressed*,23
5/24/2020,22942,8,297
5/24/2020,22943,0,10
5/24/2020,22946,Suppressed*,5
5/24/2020,22947,Suppressed*,99
5/24/2020,22948,0,2
5/24/2020,22949,0,41
5/24/2020,22952,0,39
5/24/2020,22958,Suppressed*,36
5/24/2020,22959,Suppressed*,66
5/24/2020,22960,27,348
5/24/2020,22963,24,452
5/24/2020,22964,0,4
5/24/2020,22967,Suppressed*,30
5/24/2020,22968,10,252
5/24/2020,22969,Suppressed*,35
5/24/2020,22971,0,44
5/24/2020,22972,Suppressed*,16
5/24/2020,22973,7,177
5/24/2020,22974,5,139
5/24/2020,22976,0,9
5/24/2020,22980,43,560
5/24/2020,22989,0,4
5/24/2020,23002,19,314
5/24/2020,23004,10,49
5/24/2020,23005,37,447
5/24/2020,23009,14,147
5/24/2020,23011,Suppressed*,25
5/24/2020,23015,9,99
5/24/2020,23021,0,6
5/24/2020,23022,6,42
5/24/2020,23023,Suppressed*,5
5/24/2020,23024,25,176
5/24/2020,23025,0,9
5/24/2020,23027,Suppressed*,44
5/24/2020,23030,17,139
5/24/2020,23032,0,3
5/24/2020,23035,Suppressed*,20
5/24/2020,23038,8,50
5/24/2020,23039,Suppressed*,27
5/24/2020,23040,8,128
5/24/2020,23043,Suppressed*,17
5/24/2020,23045,0,2
5/24/2020,23047,Suppressed*,32
5/24/2020,23050,Suppressed*,9
5/24/2020,23055,38,65
5/24/2020,23056,0,0
5/24/2020,23059,45,639
5/24/2020,23060,102,837
5/24/2020,23061,17,313
5/24/2020,23062,5,57
5/24/2020,23063,54,203
5/24/2020,23064,0,2
5/24/2020,23065,Suppressed*,32
5/24/2020,23066,0,4
5/24/2020,23068,0,6
5/24/2020,23069,8,68
5/24/2020,23070,0,6
5/24/2020,23071,Suppressed*,23
5/24/2020,23072,7,199
5/24/2020,23075,112,354
5/24/2020,23076,0,13
5/24/2020,23079,0,2
5/24/2020,23083,Suppressed*,52
5/24/2020,23084,6,71
5/24/2020,23085,Suppressed*,9
5/24/2020,23086,Suppressed*,51
5/24/2020,23089,8,130
5/24/2020,23091,0,13
5/24/2020,23092,0,6
5/24/2020,23093,27,425
5/24/2020,23102,7,56
5/24/2020,23103,15,120
5/24/2020,23106,Suppressed*,26
5/24/2020,23108,0,1
5/24/2020,23109,Suppressed*,37
5/24/2020,23110,0,14
5/24/2020,23111,79,819
5/24/2020,23112,102,1100
5/24/2020,23113,71,678
5/24/2020,23114,38,436
5/24/2020,23115,Suppressed*,8
5/24/2020,23116,100,822
5/24/2020,23117,12,267
5/24/2020,23119,Suppressed*,4
5/24/2020,23120,27,255
5/24/2020,23123,16,109
5/24/2020,23124,5,88
5/24/2020,23125,0,1
5/24/2020,23126,0,6
5/24/2020,23128,Suppressed*,21
5/24/2020,23129,0,3
5/24/2020,23130,Suppressed*,6
5/24/2020,23138,0,5
5/24/2020,23139,29,470
5/24/2020,23140,16,157
5/24/2020,23141,9,161
5/24/2020,23146,6,42
5/24/2020,23148,Suppressed*,30
5/24/2020,23149,6,59
5/24/2020,23150,53,318
5/24/2020,23153,Suppressed*,24
5/24/2020,23156,Suppressed*,28
5/24/2020,23160,Suppressed*,9
5/24/2020,23161,0,1
5/24/2020,23163,0,1
5/24/2020,23168,8,209
5/24/2020,23169,0,15
5/24/2020,23173,0,1
5/24/2020,23175,Suppressed*,22
5/24/2020,23176,0,7
5/24/2020,23177,0,14
5/24/2020,23180,0,4
5/24/2020,23181,Suppressed*,135
5/24/2020,23185,139,1236
5/24/2020,23187,0,14
5/24/2020,23188,125,1206
5/24/2020,23192,11,116
5/24/2020,23219,14,110
5/24/2020,23220,64,567
5/24/2020,23221,22,264
5/24/2020,23222,89,619
5/24/2020,23223,244,1453
5/24/2020,23224,428,1478
5/24/2020,23225,223,1412
5/24/2020,23226,112,464
5/24/2020,23227,79,665
5/24/2020,23228,129,976
5/24/2020,23229,107,780
5/24/2020,23230,12,180
5/24/2020,23231,114,844
5/24/2020,23233,109,746
5/24/2020,23234,369,1501
5/24/2020,23235,107,1009
5/24/2020,23236,62,748
5/24/2020,23237,123,667
5/24/2020,23238,228,907
5/24/2020,23250,0,2
5/24/2020,23294,61,421
5/24/2020,23301,60,140
5/24/2020,23302,Suppressed*,8
5/24/2020,23303,14,55
5/24/2020,23304,Suppressed*,7
5/24/2020,23306,23,73
5/24/2020,23307,12,43
5/24/2020,23308,39,115
5/24/2020,23310,18,107
5/24/2020,23313,Suppressed*,4
5/24/2020,23314,10,184
5/24/2020,23315,Suppressed*,39
5/24/2020,23316,11,43
5/24/2020,23320,146,1706
5/24/2020,23321,46,765
5/24/2020,23322,84,1044
5/24/2020,23323,67,759
5/24/2020,23324,49,504
5/24/2020,23325,40,462
5/24/2020,23336,9,68
5/24/2020,23337,0,11
5/24/2020,23347,15,39
5/24/2020,23350,60,182
5/24/2020,23354,9,20
5/24/2020,23356,Suppressed*,34
5/24/2020,23357,32,64
5/24/2020,23358,0,2
5/24/2020,23359,12,26
5/24/2020,23389,Suppressed*,4
5/24/2020,23395,15,41
5/24/2020,23398,Suppressed*,9
5/24/2020,23401,Suppressed*,17
5/24/2020,23405,10,36
5/24/2020,23407,45,87
5/24/2020,23408,Suppressed*,5
5/24/2020,23409,Suppressed*,6
5/24/2020,23410,50,141
5/24/2020,23413,74,223
5/24/2020,23414,23,53
5/24/2020,23415,35,121
5/24/2020,23416,11,47
5/24/2020,23417,51,167
5/24/2020,23418,43,105
5/24/2020,23420,64,162
5/24/2020,23421,122,566
5/24/2020,23422,Suppressed*,16
5/24/2020,23423,Suppressed*,10
5/24/2020,23426,5,6
5/24/2020,23427,5,10
5/24/2020,23430,32,356
5/24/2020,23432,7,30
5/24/2020,23433,0,28
5/24/2020,23434,169,1467
5/24/2020,23435,109,760
5/24/2020,23436,0,18
5/24/2020,23437,6,120
5/24/2020,23438,Suppressed*,58
5/24/2020,23440,0,4
5/24/2020,23441,18,53
5/24/2020,23442,20,76
5/24/2020,23451,48,1066
5/24/2020,23452,91,1627
5/24/2020,23453,52,837
5/24/2020,23454,90,1472
5/24/2020,23455,41,1161
5/24/2020,23456,65,1287
5/24/2020,23457,5,90
5/24/2020,23459,Suppressed*,63
5/24/2020,23460,0,16
5/24/2020,23461,0,10
5/24/2020,23462,125,1787
5/24/2020,23464,83,1582
5/24/2020,23480,Suppressed*,15
5/24/2020,23486,0,5
5/24/2020,23487,61,170
5/24/2020,23488,8,23
5/24/2020,23502,43,601
5/24/2020,23503,43,652
5/24/2020,23504,51,953
5/24/2020,23505,37,577
5/24/2020,23507,8,171
5/24/2020,23508,24,308
5/24/2020,23509,32,329
5/24/2020,23510,48,456
5/24/2020,23511,0,54
5/24/2020,23513,46,738
5/24/2020,23517,6,111
5/24/2020,23518,44,787
5/24/2020,23523,12,184
5/24/2020,23551,0,1
5/24/2020,23601,25,588
5/24/2020,23602,50,747
5/24/2020,23603,Suppressed*,57
5/24/2020,23604,Suppressed*,27
5/24/2020,23605,17,272
5/24/2020,23606,37,537
5/24/2020,23607,25,373
5/24/2020,23608,74,775
5/24/2020,23651,Suppressed*,10
5/24/2020,23661,16,249
5/24/2020,23662,7,200
5/24/2020,23663,12,240
5/24/2020,23664,7,167
5/24/2020,23665,Suppressed*,35
5/24/2020,23666,76,995
5/24/2020,23669,56,728
5/24/2020,23690,0,56
5/24/2020,23691,0,9
5/24/2020,23692,16,325
5/24/2020,23693,12,316
5/24/2020,23696,0,59
5/24/2020,23701,112,822
5/24/2020,23702,19,245
5/24/2020,23703,56,627
5/24/2020,23704,42,608
5/24/2020,23707,28,330
5/24/2020,23708,Suppressed*,130
5/24/2020,23709,0,116
5/24/2020,23801,10,113
5/24/2020,23803,102,950
5/24/2020,23805,38,472
5/24/2020,23806,0,2
5/24/2020,23821,Suppressed*,32
5/24/2020,23824,11,167
5/24/2020,23827,Suppressed*,31
5/24/2020,23828,Suppressed*,15
5/24/2020,23829,79,473
5/24/2020,23830,Suppressed*,40
5/24/2020,23831,92,777
5/24/2020,23832,158,973
5/24/2020,23833,Suppressed*,28
5/24/2020,23834,110,678
5/24/2020,23836,27,259
5/24/2020,23837,49,117
5/24/2020,23838,27,286
5/24/2020,23839,0,26
5/24/2020,23840,Suppressed*,45
5/24/2020,23841,7,77
5/24/2020,23842,8,114
5/24/2020,23843,0,7
5/24/2020,23844,Suppressed*,10
5/24/2020,23845,0,6
5/24/2020,23846,0,19
5/24/2020,23847,88,398
5/24/2020,23850,0,31
5/24/2020,23851,38,562
5/24/2020,23856,Suppressed*,10
5/24/2020,23857,Suppressed*,16
5/24/2020,23860,78,872
5/24/2020,23866,Suppressed*,61
5/24/2020,23867,21,80
5/24/2020,23868,12,90
5/24/2020,23872,Suppressed*,58
5/24/2020,23874,0,30
5/24/2020,23875,24,281
5/24/2020,23876,0,3
5/24/2020,23878,Suppressed*,31
5/24/2020,23879,5,14
5/24/2020,23881,Suppressed*,42
5/24/2020,23882,6,63
5/24/2020,23883,Suppressed*,52
5/24/2020,23884,Suppressed*,0
5/24/2020,23885,Suppressed*,62
5/24/2020,23887,0,4
5/24/2020,23888,Suppressed*,53
5/24/2020,23889,Suppressed*,9
5/24/2020,23890,41,153
5/24/2020,23891,64,113
5/24/2020,23893,Suppressed*,6
5/24/2020,23894,0,10
5/24/2020,23897,Suppressed*,11
5/24/2020,23898,6,43
5/24/2020,23899,Suppressed*,14
5/24/2020,23901,83,553
5/24/2020,23915,Suppressed*,16
5/24/2020,23917,10,60
5/24/2020,23919,5,34
