Report Date,ZIP Code,Number of Cases,Number of Testing Encounters
5/10/2020,20105,56,396
5/10/2020,20106,20,79
5/10/2020,20109,426,1077
5/10/2020,20110,440,1213
5/10/2020,20111,314,879
5/10/2020,20112,84,504
5/10/2020,20115,16,99
5/10/2020,20117,7,43
5/10/2020,20118,Suppressed*,38
5/10/2020,20119,10,70
5/10/2020,20120,112,687
5/10/2020,20121,80,413
5/10/2020,20124,28,242
5/10/2020,20129,7,26
5/10/2020,20130,0,8
5/10/2020,20132,20,240
5/10/2020,20135,5,48
5/10/2020,20136,73,473
5/10/2020,20137,Suppressed*,18
5/10/2020,20139,Suppressed*,5
5/10/2020,20141,7,92
5/10/2020,20143,0,21
5/10/2020,20144,Suppressed*,11
5/10/2020,20147,174,978
5/10/2020,20148,76,625
5/10/2020,20151,84,344
5/10/2020,20152,57,373
5/10/2020,20155,102,630
5/10/2020,20158,6,59
5/10/2020,20164,315,904
5/10/2020,20165,112,583
5/10/2020,20166,56,255
5/10/2020,20169,41,388
5/10/2020,20170,278,869
5/10/2020,20171,157,619
5/10/2020,20175,59,537
5/10/2020,20176,166,868
5/10/2020,20180,6,116
5/10/2020,20181,20,156
5/10/2020,20184,Suppressed*,28
5/10/2020,20186,35,312
5/10/2020,20187,34,283
5/10/2020,20190,101,440
5/10/2020,20191,131,584
5/10/2020,20194,16,179
5/10/2020,20197,Suppressed*,47
5/10/2020,20198,Suppressed*,32
5/10/2020,22003,528,1487
5/10/2020,22015,213,796
5/10/2020,22025,53,328
5/10/2020,22026,87,399
5/10/2020,22027,39,66
5/10/2020,22030,138,907
5/10/2020,22031,164,709
5/10/2020,22032,79,473
5/10/2020,22033,110,618
5/10/2020,22035,0,4
5/10/2020,22039,38,277
5/10/2020,22041,352,828
5/10/2020,22042,290,935
5/10/2020,22043,111,456
5/10/2020,22044,124,349
5/10/2020,22046,94,389
5/10/2020,22060,11,74
5/10/2020,22066,33,373
5/10/2020,22079,150,715
5/10/2020,22101,76,720
5/10/2020,22102,70,561
5/10/2020,22124,29,273
5/10/2020,22125,0,12
5/10/2020,22134,11,43
5/10/2020,22150,403,969
5/10/2020,22151,141,439
5/10/2020,22152,104,483
5/10/2020,22153,87,504
5/10/2020,22172,67,228
5/10/2020,22180,69,462
5/10/2020,22181,24,232
5/10/2020,22182,55,444
5/10/2020,22191,622,2094
5/10/2020,22192,266,1395
5/10/2020,22193,552,1964
5/10/2020,22201,130,799
5/10/2020,22202,110,545
5/10/2020,22203,173,521
5/10/2020,22204,524,1495
5/10/2020,22205,75,420
5/10/2020,22206,100,477
5/10/2020,22207,184,837
5/10/2020,22209,46,293
5/10/2020,22211,Suppressed*,9
5/10/2020,22213,10,61
5/10/2020,22214,0,2
5/10/2020,22301,39,324
5/10/2020,22302,114,436
5/10/2020,22303,82,402
5/10/2020,22304,341,1313
5/10/2020,22305,360,672
5/10/2020,22306,366,1008
5/10/2020,22307,38,239
5/10/2020,22308,25,174
5/10/2020,22309,295,836
5/10/2020,22310,160,643
5/10/2020,22311,211,607
5/10/2020,22312,239,780
5/10/2020,22314,122,797
5/10/2020,22315,58,445
5/10/2020,22401,58,472
5/10/2020,22405,51,484
5/10/2020,22406,40,384
5/10/2020,22407,147,969
5/10/2020,22408,47,467
5/10/2020,22427,Suppressed*,47
5/10/2020,22432,0,12
5/10/2020,22433,Suppressed*,3
5/10/2020,22435,Suppressed*,43
5/10/2020,22436,0,9
5/10/2020,22437,Suppressed*,16
5/10/2020,22438,Suppressed*,3
5/10/2020,22443,10,88
5/10/2020,22448,Suppressed*,9
5/10/2020,22454,Suppressed*,15
5/10/2020,22460,Suppressed*,15
5/10/2020,22469,Suppressed*,28
5/10/2020,22473,Suppressed*,74
5/10/2020,22476,Suppressed*,1
5/10/2020,22480,0,18
5/10/2020,22482,Suppressed*,56
5/10/2020,22485,40,340
5/10/2020,22488,Suppressed*,16
5/10/2020,22503,Suppressed*,75
5/10/2020,22504,0,2
5/10/2020,22508,20,189
5/10/2020,22511,Suppressed*,10
5/10/2020,22514,Suppressed*,24
5/10/2020,22520,25,90
5/10/2020,22529,0,5
5/10/2020,22530,0,1
5/10/2020,22534,0,27
5/10/2020,22535,0,8
5/10/2020,22538,0,6
5/10/2020,22539,Suppressed*,43
5/10/2020,22542,0,22
5/10/2020,22546,24,193
5/10/2020,22548,0,3
5/10/2020,22551,43,303
5/10/2020,22553,14,225
5/10/2020,22554,187,1050
5/10/2020,22556,95,506
5/10/2020,22560,19,110
5/10/2020,22567,Suppressed*,56
5/10/2020,22572,179,314
5/10/2020,22576,0,27
5/10/2020,22578,0,34
5/10/2020,22579,0,3
5/10/2020,22580,5,76
5/10/2020,22601,71,178
5/10/2020,22602,66,168
5/10/2020,22603,29,83
5/10/2020,22610,8,11
5/10/2020,22611,9,70
5/10/2020,22620,Suppressed*,12
5/10/2020,22623,Suppressed*,0
5/10/2020,22624,Suppressed*,11
5/10/2020,22625,Suppressed*,11
5/10/2020,22627,0,8
5/10/2020,22630,63,139
5/10/2020,22637,0,5
5/10/2020,22639,0,2
5/10/2020,22640,Suppressed*,4
5/10/2020,22641,0,1
5/10/2020,22642,13,42
5/10/2020,22643,0,5
5/10/2020,22644,26,28
5/10/2020,22645,14,27
5/10/2020,22646,0,3
5/10/2020,22650,Suppressed*,12
5/10/2020,22652,Suppressed*,10
5/10/2020,22654,Suppressed*,7
5/10/2020,22655,37,112
5/10/2020,22656,Suppressed*,35
5/10/2020,22657,25,80
5/10/2020,22660,5,10
5/10/2020,22663,Suppressed*,4
5/10/2020,22664,63,85
5/10/2020,22701,220,605
5/10/2020,22709,0,15
5/10/2020,22712,42,192
5/10/2020,22713,5,16
5/10/2020,22714,Suppressed*,17
5/10/2020,22715,Suppressed*,14
5/10/2020,22716,0,5
5/10/2020,22718,Suppressed*,8
5/10/2020,22719,0,3
5/10/2020,22720,0,6
5/10/2020,22723,0,2
5/10/2020,22724,6,29
5/10/2020,22726,Suppressed*,11
5/10/2020,22727,12,85
5/10/2020,22728,Suppressed*,37
5/10/2020,22729,0,5
5/10/2020,22730,0,1
5/10/2020,22731,0,3
5/10/2020,22732,Suppressed*,6
5/10/2020,22733,6,27
5/10/2020,22734,14,59
5/10/2020,22735,Suppressed*,20
5/10/2020,22736,Suppressed*,7
5/10/2020,22737,Suppressed*,31
5/10/2020,22738,Suppressed*,19
5/10/2020,22740,Suppressed*,22
5/10/2020,22741,0,5
5/10/2020,22742,6,33
5/10/2020,22747,0,11
5/10/2020,22749,0,1
5/10/2020,22801,400,796
5/10/2020,22802,339,755
5/10/2020,22807,Suppressed*,2
5/10/2020,22810,Suppressed*,7
5/10/2020,22811,Suppressed*,9
5/10/2020,22812,12,116
5/10/2020,22815,44,137
5/10/2020,22820,0,1
5/10/2020,22821,13,53
5/10/2020,22824,38,43
5/10/2020,22827,28,174
5/10/2020,22830,13,27
5/10/2020,22831,Suppressed*,7
5/10/2020,22832,Suppressed*,12
5/10/2020,22834,0,13
5/10/2020,22835,76,181
5/10/2020,22840,Suppressed*,55
5/10/2020,22841,7,36
5/10/2020,22842,40,64
5/10/2020,22843,Suppressed*,23
5/10/2020,22844,23,73
5/10/2020,22846,6,40
5/10/2020,22847,Suppressed*,9
5/10/2020,22849,10,70
5/10/2020,22850,Suppressed*,19
5/10/2020,22851,37,89
5/10/2020,22853,33,96
5/10/2020,22901,81,876
5/10/2020,22902,24,510
5/10/2020,22903,39,633
5/10/2020,22904,0,5
5/10/2020,22911,14,334
5/10/2020,22920,Suppressed*,30
5/10/2020,22922,Suppressed*,34
5/10/2020,22923,5,85
5/10/2020,22931,0,7
5/10/2020,22932,10,144
5/10/2020,22935,Suppressed*,17
5/10/2020,22936,Suppressed*,82
5/10/2020,22937,Suppressed*,32
5/10/2020,22938,Suppressed*,15
5/10/2020,22939,Suppressed*,48
5/10/2020,22940,Suppressed*,19
5/10/2020,22942,5,199
5/10/2020,22943,0,7
5/10/2020,22946,Suppressed*,3
5/10/2020,22947,Suppressed*,76
5/10/2020,22948,0,1
5/10/2020,22949,0,22
5/10/2020,22952,0,23
5/10/2020,22958,Suppressed*,23
5/10/2020,22959,Suppressed*,41
5/10/2020,22960,16,237
5/10/2020,22963,24,318
5/10/2020,22964,0,1
5/10/2020,22967,0,18
5/10/2020,22968,7,162
5/10/2020,22969,Suppressed*,23
5/10/2020,22971,0,36
5/10/2020,22972,Suppressed*,15
5/10/2020,22973,Suppressed*,124
5/10/2020,22974,6,107
5/10/2020,22976,0,7
5/10/2020,22980,29,330
5/10/2020,22989,0,2
5/10/2020,23002,16,216
5/10/2020,23004,9,34
5/10/2020,23005,22,203
5/10/2020,23009,9,91
5/10/2020,23011,Suppressed*,19
5/10/2020,23015,Suppressed*,60
5/10/2020,23021,0,4
5/10/2020,23022,5,27
5/10/2020,23023,Suppressed*,5
5/10/2020,23024,18,110
5/10/2020,23025,0,6
5/10/2020,23027,Suppressed*,23
5/10/2020,23030,14,76
5/10/2020,23032,0,1
5/10/2020,23035,Suppressed*,15
5/10/2020,23038,6,28
5/10/2020,23039,Suppressed*,18
5/10/2020,23040,6,76
5/10/2020,23043,Suppressed*,11
5/10/2020,23045,0,2
5/10/2020,23047,0,16
5/10/2020,23050,Suppressed*,6
5/10/2020,23055,36,54
5/10/2020,23056,0,2
5/10/2020,23059,38,458
5/10/2020,23060,67,556
5/10/2020,23061,16,244
5/10/2020,23062,Suppressed*,47
5/10/2020,23063,53,163
5/10/2020,23064,0,2
5/10/2020,23065,Suppressed*,18
5/10/2020,23066,0,3
5/10/2020,23068,0,4
5/10/2020,23069,Suppressed*,43
5/10/2020,23070,0,5
5/10/2020,23071,Suppressed*,12
5/10/2020,23072,6,152
5/10/2020,23075,102,243
5/10/2020,23076,0,9
5/10/2020,23079,0,1
5/10/2020,23083,Suppressed*,33
5/10/2020,23084,5,54
5/10/2020,23085,Suppressed*,4
5/10/2020,23086,Suppressed*,27
5/10/2020,23089,8,102
5/10/2020,23091,0,8
5/10/2020,23092,0,5
5/10/2020,23093,23,291
5/10/2020,23102,6,29
5/10/2020,23103,13,95
5/10/2020,23106,Suppressed*,12
5/10/2020,23109,Suppressed*,24
5/10/2020,23110,0,14
5/10/2020,23111,56,532
5/10/2020,23112,79,736
5/10/2020,23113,58,468
5/10/2020,23114,30,309
5/10/2020,23115,0,4
5/10/2020,23116,69,593
5/10/2020,23117,6,162
5/10/2020,23119,Suppressed*,0
5/10/2020,23120,20,199
5/10/2020,23123,16,74
5/10/2020,23124,Suppressed*,58
5/10/2020,23126,0,4
5/10/2020,23128,Suppressed*,17
5/10/2020,23129,0,2
5/10/2020,23130,Suppressed*,4
5/10/2020,23138,0,3
5/10/2020,23139,19,369
5/10/2020,23140,14,95
5/10/2020,23141,10,99
5/10/2020,23146,5,31
5/10/2020,23148,0,18
5/10/2020,23149,Suppressed*,51
5/10/2020,23150,25,188
5/10/2020,23153,Suppressed*,20
5/10/2020,23156,Suppressed*,18
5/10/2020,23160,0,7
5/10/2020,23161,0,1
5/10/2020,23163,0,1
5/10/2020,23168,8,178
5/10/2020,23169,0,11
5/10/2020,23173,0,1
5/10/2020,23175,Suppressed*,16
5/10/2020,23176,0,1
5/10/2020,23177,0,11
5/10/2020,23180,0,2
5/10/2020,23181,0,93
5/10/2020,23185,114,1088
5/10/2020,23187,0,13
5/10/2020,23188,119,1098
5/10/2020,23192,10,79
5/10/2020,23219,12,80
5/10/2020,23220,51,397
5/10/2020,23221,14,185
5/10/2020,23222,63,400
5/10/2020,23223,180,961
5/10/2020,23224,165,784
5/10/2020,23225,131,822
5/10/2020,23226,66,310
5/10/2020,23227,46,421
5/10/2020,23228,77,600
5/10/2020,23229,55,501
5/10/2020,23230,10,115
5/10/2020,23231,93,587
5/10/2020,23233,96,564
5/10/2020,23234,171,735
5/10/2020,23235,81,680
5/10/2020,23236,46,507
5/10/2020,23237,64,387
5/10/2020,23238,209,527
5/10/2020,23250,0,2
5/10/2020,23294,34,287
5/10/2020,23301,46,91
5/10/2020,23302,Suppressed*,6
5/10/2020,23303,9,25
5/10/2020,23304,Suppressed*,5
5/10/2020,23306,15,42
5/10/2020,23307,9,28
5/10/2020,23308,31,69
5/10/2020,23310,15,71
5/10/2020,23313,Suppressed*,3
5/10/2020,23314,7,128
5/10/2020,23315,Suppressed*,20
5/10/2020,23316,8,32
5/10/2020,23320,116,1075
5/10/2020,23321,44,508
5/10/2020,23322,59,684
5/10/2020,23323,50,492
5/10/2020,23324,28,317
5/10/2020,23325,31,265
5/10/2020,23336,Suppressed*,35
5/10/2020,23337,0,7
5/10/2020,23347,7,22
5/10/2020,23350,42,118
5/10/2020,23354,8,17
5/10/2020,23356,Suppressed*,22
5/10/2020,23357,21,38
5/10/2020,23359,8,16
5/10/2020,23389,0,2
5/10/2020,23395,9,20
5/10/2020,23398,Suppressed*,7
5/10/2020,23401,Suppressed*,10
5/10/2020,23405,9,26
5/10/2020,23407,27,44
5/10/2020,23408,Suppressed*,1
5/10/2020,23409,Suppressed*,2
5/10/2020,23410,37,89
5/10/2020,23413,59,182
5/10/2020,23414,17,31
5/10/2020,23415,29,75
5/10/2020,23416,6,24
5/10/2020,23417,33,109
5/10/2020,23418,27,64
5/10/2020,23420,47,109
5/10/2020,23421,86,202
5/10/2020,23422,Suppressed*,12
5/10/2020,23423,Suppressed*,8
5/10/2020,23426,5,6
5/10/2020,23427,Suppressed*,5
5/10/2020,23430,26,246
5/10/2020,23432,Suppressed*,20
5/10/2020,23433,0,26
5/10/2020,23434,114,982
5/10/2020,23435,92,484
5/10/2020,23436,0,14
5/10/2020,23437,5,66
5/10/2020,23438,Suppressed*,39
5/10/2020,23440,0,2
5/10/2020,23441,12,26
5/10/2020,23442,13,37
5/10/2020,23451,40,727
5/10/2020,23452,72,1103
5/10/2020,23453,47,569
5/10/2020,23454,72,1020
5/10/2020,23455,33,788
5/10/2020,23456,55,896
5/10/2020,23457,Suppressed*,52
5/10/2020,23459,Suppressed*,19
5/10/2020,23460,0,6
5/10/2020,23461,0,5
5/10/2020,23462,98,1140
5/10/2020,23464,67,1070
5/10/2020,23480,Suppressed*,9
5/10/2020,23486,0,3
5/10/2020,23487,58,116
5/10/2020,23488,8,17
5/10/2020,23502,39,424
5/10/2020,23503,27,430
5/10/2020,23504,48,775
5/10/2020,23505,28,374
5/10/2020,23507,7,131
5/10/2020,23508,20,209
5/10/2020,23509,25,218
5/10/2020,23510,46,386
5/10/2020,23511,0,24
5/10/2020,23513,21,417
5/10/2020,23517,5,71
5/10/2020,23518,29,526
5/10/2020,23523,6,112
5/10/2020,23551,0,1
5/10/2020,23601,20,324
5/10/2020,23602,33,520
5/10/2020,23603,Suppressed*,40
5/10/2020,23604,0,23
5/10/2020,23605,12,174
5/10/2020,23606,20,362
5/10/2020,23607,19,201
5/10/2020,23608,50,558
5/10/2020,23651,Suppressed*,7
5/10/2020,23661,14,166
5/10/2020,23662,7,146
5/10/2020,23663,10,161
5/10/2020,23664,7,114
5/10/2020,23665,Suppressed*,25
5/10/2020,23666,64,677
5/10/2020,23669,44,519
5/10/2020,23690,0,43
5/10/2020,23691,0,5
5/10/2020,23692,9,270
5/10/2020,23693,11,264
5/10/2020,23696,0,46
5/10/2020,23701,97,542
5/10/2020,23702,13,145
5/10/2020,23703,40,396
5/10/2020,23704,30,363
5/10/2020,23707,19,204
5/10/2020,23708,Suppressed*,65
5/10/2020,23709,0,59
5/10/2020,23801,10,91
5/10/2020,23803,58,539
5/10/2020,23805,21,270
5/10/2020,23821,Suppressed*,27
5/10/2020,23824,7,138
5/10/2020,23827,Suppressed*,13
5/10/2020,23828,0,4
5/10/2020,23829,78,454
5/10/2020,23830,Suppressed*,24
5/10/2020,23831,52,391
5/10/2020,23832,123,626
5/10/2020,23833,0,21
5/10/2020,23834,87,402
5/10/2020,23836,19,157
5/10/2020,23837,44,47
5/10/2020,23838,25,201
5/10/2020,23839,0,16
5/10/2020,23840,Suppressed*,30
5/10/2020,23841,Suppressed*,48
5/10/2020,23842,6,80
5/10/2020,23843,0,2
5/10/2020,23844,Suppressed*,6
5/10/2020,23845,0,4
5/10/2020,23846,0,14
5/10/2020,23847,72,304
5/10/2020,23850,0,21
5/10/2020,23851,26,206
5/10/2020,23856,Suppressed*,5
5/10/2020,23857,Suppressed*,6
5/10/2020,23860,44,473
5/10/2020,23866,Suppressed*,35
5/10/2020,23867,17,52
5/10/2020,23868,11,58
5/10/2020,23872,Suppressed*,44
5/10/2020,23874,0,11
5/10/2020,23875,18,172
5/10/2020,23876,0,2
5/10/2020,23878,Suppressed*,15
5/10/2020,23879,5,13
5/10/2020,23881,Suppressed*,19
5/10/2020,23882,5,45
5/10/2020,23883,Suppressed*,40
5/10/2020,23884,Suppressed*,0
5/10/2020,23885,Suppressed*,36
5/10/2020,23887,0,3
5/10/2020,23888,Suppressed*,37
5/10/2020,23889,Suppressed*,7
5/10/2020,23890,Suppressed*,46
5/10/2020,23891,22,100
5/10/2020,23893,Suppressed*,5
5/10/2020,23894,0,5
5/10/2020,23897,Suppressed*,3
5/10/2020,23898,5,27
5/10/2020,23899,Suppressed*,8
5/10/2020,23901,56,303
5/10/2020,23915,Suppressed*,13
5/10/2020,23917,10,48
5/10/2020,23919,Suppressed*,23
5/10/2020,23920,Suppressed*,28
5/10/2020,23921,7,65
5/10/2020,23922,6,113
5/10/2020,23923,5,41
5/10/2020,23924,16,95
5/10/2020,23927,58,167
5/10/2020,23930,Suppressed*,126
5/10/2020,23934,Suppressed*,17
5/10/2020,23936,210,193
5/10/2020,23937,Suppressed*,40
5/10/2020,23938,0,4
5/10/2020,23942,Suppressed*,28
5/10/2020,23944,Suppressed*,46
5/10/2020,23947,0,74
5/10/2020,23950,8,52
5/10/2020,23952,0,5
5/10/2020,23954,Suppressed*,41
5/10/2020,23958,8,78
5/10/2020,23959,0,23
5/10/2020,23960,Suppressed*,48
5/10/2020,23962,Suppressed*,16
5/10/2020,23963,0,6
5/10/2020,23964,0,20
5/10/2020,23966,Suppressed*,48
5/10/2020,23967,0,15
5/10/2020,23968,Suppressed*,11
5/10/2020,23970,11,90
5/10/2020,23974,Suppressed*,93
5/10/2020,23976,0,7
5/10/2020,24011,0,6
5/10/2020,24012,24,151
5/10/2020,24013,Suppressed*,35
5/10/2020,24014,47,95
5/10/2020,24015,11,57
5/10/2020,24016,Suppressed*,50
5/10/2020,24017,13,126
5/10/2020,24018,23,207
5/10/2020,24019,8,138
5/10/2020,24053,0,24
5/10/2020,24054,Suppressed*,33
5/10/2020,24055,Suppressed*,84
5/10/2020,24058,0,3
5/10/2020,24059,0,4
5/10/2020,24060,34,454
5/10/2020,24064,0,22
5/10/2020,24065,Suppressed*,25
5/10/2020,24066,Suppressed*,11
5/10/2020,24067,Suppressed*,7
5/10/2020,24069,0,16
5/10/2020,24070,0,8
5/10/2020,24072,0,10
5/10/2020,24073,18,352
5/10/2020,24076,0,5
5/10/2020,24077,Suppressed*,3
5/10/2020,24078,Suppressed*,64
5/10/2020,24079,0,13
5/10/2020,24082,0,3
5/10/2020,24083,6,17
5/10/2020,24084,6,137
5/10/2020,24085,6,6
5/10/2020,24087,6,45
5/10/2020,24088,0,8
5/10/2020,24089,Suppressed*,24
5/10/2020,24090,9,20
5/10/2020,24091,Suppressed*,54
5/10/2020,24092,0,8
5/10/2020,24093,0,1
5/10/2020,24095,Suppressed*,17
5/10/2020,24101,Suppressed*,27
5/10/2020,24102,0,2
5/10/2020,24104,Suppressed*,39
5/10/2020,24105,0,2
5/10/2020,24112,12,215
5/10/2020,24120,0,7
5/10/2020,24121,Suppressed*,67
5/10/2020,24122,Suppressed*,11
5/10/2020,24124,Suppressed*,34
5/10/2020,24127,Suppressed*,26
5/10/2020,24128,Suppressed*,18
