"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-27,Norfolk,0-9,8,0,0
2020-05-27,"Cumberland Plateau",40-49,5,0,0
2020-05-27,"Eastern Shore",10-19,42,0,0
2020-05-27,"Mount Rogers",10-19,26,0,0
2020-05-27,"Rappahannock Rapidan",0-9,50,1,0
2020-05-27,"Three Rivers",0-9,6,1,0
2020-05-27,Henrico,40-49,226,14,1
2020-05-27,Alexandria,50-59,236,35,8
2020-05-27,Arlington,0-9,32,2,0
2020-05-27,Chickahominy,Missing,7,0,0
2020-05-27,"New River",20-29,27,0,0
2020-05-27,"Virginia Beach",20-29,87,2,0
2020-05-27,Chesapeake,50-59,86,16,1
2020-05-27,Alleghany,80+,25,7,6
2020-05-27,Fairfax,10-19,493,14,0
2020-05-27,Chesapeake,60-69,68,18,4
2020-05-27,"West Piedmont",Missing,1,0,0
2020-05-27,Peninsula,80+,46,23,15
2020-05-27,Crater,40-49,87,11,1
2020-05-27,Chesapeake,40-49,74,12,0
2020-05-27,"Thomas Jefferson",20-29,56,0,0
2020-05-27,"Lord Fairfax",20-29,195,3,0
2020-05-27,Norfolk,20-29,95,1,0
2020-05-27,Arlington,30-39,359,41,0
2020-05-27,"West Piedmont",60-69,23,1,0
2020-05-27,Henrico,50-59,212,22,6
2020-05-27,"West Piedmont",50-59,37,4,1
2020-05-27,"Cumberland Plateau",20-29,1,0,0
2020-05-27,Alexandria,70-79,88,32,14
2020-05-27,Portsmouth,20-29,46,2,0
2020-05-27,"Western Tidewater",30-39,62,4,0
2020-05-27,"Central Shenandoah",0-9,36,0,0
2020-05-27,Henrico,80+,263,54,58
2020-05-27,Alexandria,0-9,99,1,0
2020-05-27,Pittsylvania-Danville,40-49,19,5,0
2020-05-27,Henrico,20-29,180,8,0
2020-05-27,Roanoke,60-69,10,1,0
2020-05-27,Peninsula,30-39,69,6,1
2020-05-27,Alleghany,60-69,26,6,1
2020-05-27,"Prince William",70-79,192,53,30
2020-05-27,Norfolk,60-69,45,14,1
2020-05-27,Southside,40-49,20,5,0
2020-05-27,Chesterfield,30-39,265,1,0
2020-05-27,Loudoun,70-79,92,29,10
