"Report Date","ZIP Code","Number of Cases","Number of Testing Encounters"
2020-05-17,20105,64,552
2020-05-17,20106,27,104
2020-05-17,20109,585,1541
2020-05-17,20110,675,1753
2020-05-17,20111,452,1240
2020-05-17,20112,109,727
2020-05-17,20115,22,136
2020-05-17,20117,7,65
2020-05-17,20118,Suppressed*,54
2020-05-17,20119,14,91
2020-05-17,20120,151,937
2020-05-17,20121,107,564
2020-05-17,20124,34,336
2020-05-17,20129,7,30
2020-05-17,20130,0,8
2020-05-17,20132,26,332
2020-05-17,20135,5,58
2020-05-17,20136,85,666
2020-05-17,20137,Suppressed*,30
2020-05-17,20139,Suppressed*,5
2020-05-17,20141,7,149
2020-05-17,20143,0,23
2020-05-17,20144,Suppressed*,18
2020-05-17,20147,204,1637
2020-05-17,20148,84,862
2020-05-17,20151,117,499
2020-05-17,20152,64,510
2020-05-17,20155,136,879
2020-05-17,20158,9,80
2020-05-17,20164,432,1240
2020-05-17,20165,130,812
2020-05-17,20166,74,357
2020-05-17,20169,53,565
2020-05-17,20170,410,1231
2020-05-17,20171,190,871
2020-05-17,20175,72,738
2020-05-17,20176,223,1254
2020-05-17,20180,9,166
2020-05-17,20181,23,219
2020-05-17,20184,Suppressed*,30
2020-05-17,20186,38,393
2020-05-17,20187,37,375
2020-05-17,20190,127,651
2020-05-17,20191,165,819
2020-05-17,20194,20,271
2020-05-17,20197,Suppressed*,62
2020-05-17,20198,Suppressed*,48
2020-05-17,22003,682,1995
2020-05-17,22015,259,1097
2020-05-17,22025,68,437
2020-05-17,22026,107,524
2020-05-17,22027,39,90
2020-05-17,22030,204,1319
2020-05-17,22031,210,975
2020-05-17,22032,86,634
2020-05-17,22033,140,872
2020-05-17,22035,0,5
2020-05-17,22039,46,396
2020-05-17,22041,455,1133
2020-05-17,22042,417,1267
2020-05-17,22043,145,633
2020-05-17,22044,166,464
2020-05-17,22046,102,529
2020-05-17,22060,12,84
2020-05-17,22066,37,541
2020-05-17,22079,196,956
2020-05-17,22101,92,1011
2020-05-17,22102,76,768
2020-05-17,22124,35,409
2020-05-17,22125,Suppressed*,22
2020-05-17,22134,13,53
2020-05-17,22150,495,1264
2020-05-17,22151,177,578
2020-05-17,22152,129,667
2020-05-17,22153,106,666
2020-05-17,22172,77,296
2020-05-17,22180,107,666
2020-05-17,22181,30,326
2020-05-17,22182,65,642
2020-05-17,22191,853,2883
2020-05-17,22192,342,1797
2020-05-17,22193,764,2749
2020-05-17,22201,147,1084
2020-05-17,22202,129,712
2020-05-17,22203,204,712
2020-05-17,22204,637,1984
2020-05-17,22205,88,594
2020-05-17,22206,114,634
2020-05-17,22207,194,1124
2020-05-17,22209,52,403
2020-05-17,22211,Suppressed*,11
2020-05-17,22213,10,86
2020-05-17,22214,0,2
2020-05-17,22301,54,439
2020-05-17,22302,151,621
2020-05-17,22303,111,544
2020-05-17,22304,436,1737
2020-05-17,22305,424,884
2020-05-17,22306,485,1299
2020-05-17,22307,45,323
2020-05-17,22308,32,272
2020-05-17,22309,378,1097
2020-05-17,22310,189,846
2020-05-17,22311,268,799
2020-05-17,22312,308,1028
2020-05-17,22314,138,1075
2020-05-17,22315,67,585
2020-05-17,22401,86,641
2020-05-17,22405,62,679
2020-05-17,22406,54,520
2020-05-17,22407,187,1331
2020-05-17,22408,61,611
2020-05-17,22427,Suppressed*,59
2020-05-17,22432,Suppressed*,14
2020-05-17,22433,Suppressed*,6
2020-05-17,22435,Suppressed*,51
2020-05-17,22436,0,10
2020-05-17,22437,Suppressed*,17
2020-05-17,22438,Suppressed*,4
2020-05-17,22443,11,136
2020-05-17,22448,Suppressed*,19
2020-05-17,22454,Suppressed*,26
2020-05-17,22460,Suppressed*,20
2020-05-17,22469,Suppressed*,34
2020-05-17,22473,10,98
2020-05-17,22476,Suppressed*,4
2020-05-17,22480,0,24
2020-05-17,22482,Suppressed*,67
2020-05-17,22485,47,536
2020-05-17,22488,Suppressed*,21
2020-05-17,22503,Suppressed*,99
2020-05-17,22504,0,3
2020-05-17,22508,23,266
2020-05-17,22511,Suppressed*,14
