"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-26,Southside,376,46,28
2020-06-26,Chesapeake,846,124,18
2020-06-26,"Thomas Jefferson",868,87,19
2020-06-26,Roanoke,360,14,10
2020-06-26,"Eastern Shore",1306,110,42
2020-06-26,"Mount Rogers",673,70,27
2020-06-26,Chickahominy,627,106,35
2020-06-26,"New River",195,22,5
2020-06-26,"Central Virginia",353,16,5
2020-06-26,Piedmont,992,82,10
2020-06-26,"Lord Fairfax",1902,164,64
2020-06-26,Crater,1427,140,21
2020-06-26,Hampton,296,39,5
2020-06-26,Alexandria,2287,237,56
2020-06-26,Fairfax,13778,1616,477
2020-06-26,Richmond,2133,212,30
2020-06-26,Arlington,2449,417,132
2020-06-26,"Rappahannock Rapidan",1428,107,18
2020-06-26,Rappahannock,2374,217,41
2020-06-26,Pittsylvania-Danville,179,37,3
2020-06-26,"Prince William",8905,785,159
2020-06-26,"Cumberland Plateau",41,2,0
2020-06-26,Portsmouth,449,67,16
2020-06-26,"Virginia Beach",1082,117,28
2020-06-26,"West Piedmont",401,38,7
2020-06-26,"Three Rivers",623,48,9
2020-06-26,Alleghany,358,31,14
2020-06-26,Lenowisco,49,16,4
2020-06-26,Norfolk,822,97,8
2020-06-26,"Western Tidewater",763,82,46
2020-06-26,Henrico,2543,244,141
2020-06-26,"Central Shenandoah",1973,160,34
2020-06-26,Loudoun,3806,261,86
2020-06-26,Chesterfield,3001,134,68
2020-06-26,Peninsula,905,126,34
