"﻿Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Deaths","Number of Outbreak Associated Cases"
5/29/2020,State,Virginia,"Educational Setting",9,0,46
5/29/2020,State,Virginia,"Congregate Setting",89,21,1501
5/29/2020,State,Virginia,"Correctional Facility",25,5,1208
5/29/2020,State,Virginia,"Long Term Care Facilities",207,774,4757
5/29/2020,State,Virginia,"Healthcare Setting",23,4,111
5/29/2020,"Health District",Portsmouth,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chickahominy,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Loudoun,"Long Term Care Facilities",11,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Shenandoah","Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Prince William","Long Term Care Facilities",13,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Henrico,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alexandria,"Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alexandria,"Long Term Care Facilities",9,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Southside,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Piedmont,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Richmond,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Hampton,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Peninsula,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Richmond,"Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alleghany,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Thomas Jefferson","Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Peninsula,"Long Term Care Facilities",8,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Thomas Jefferson","Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chickahominy,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Virginia Beach","Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesapeake,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Rappahannock Rapidan","Congregate Setting",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Fairfax,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Crater,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Virginia","Congregate Setting",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Prince William","Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Lord Fairfax","Healthcare Setting",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Three Rivers","Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Piedmont,"Correctional Facility",5,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Virginia Beach","Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Norfolk,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Shenandoah","Congregate Setting",6,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Portsmouth,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Virginia Beach","Congregate Setting",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Roanoke,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Southside,"Long Term Care Facilities",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Mount Rogers","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Fairfax,"Long Term Care Facilities",54,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesterfield,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alleghany,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Fairfax,"Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Pittsylvania-Danville,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Shenandoah","Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Richmond,"Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Rappahannock Rapidan","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Rappahannock,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Virginia","Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Arlington,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alleghany,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Crater,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Hampton,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Loudoun,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Peninsula,"Congregate Setting",7,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Western Tidewater","Congregate Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Rappahannock,"Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","New River","Congregate Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Rappahannock,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Rappahannock Rapidan","Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Lenowisco,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Thomas Jefferson","Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesterfield,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","West Piedmont","Congregate Setting",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Crater,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Arlington,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Peninsula,"Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chickahominy,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Western Tidewater","Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesapeake,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
