"﻿Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/1/2020,24471,9,98
7/1/2020,24323,Suppressed*,26
7/1/2020,24646,0,16
7/1/2020,24354,24,876
7/1/2020,23894,Suppressed*,47
7/1/2020,22401,241,2279
7/1/2020,22182,123,1487
7/1/2020,24630,0,179
7/1/2020,23140,22,468
7/1/2020,23839,Suppressed*,62
7/1/2020,24477,30,523
7/1/2020,20176,763,4879
7/1/2020,20137,16,131
7/1/2020,24649,0,55
7/1/2020,22947,8,303
7/1/2020,23851,49,1691
7/1/2020,22601,333,10938
7/1/2020,22509,Suppressed*,6
7/1/2020,22015,381,2639
7/1/2020,23690,Suppressed*,149
7/1/2020,24348,10,187
7/1/2020,22637,Suppressed*,53
7/1/2020,20139,Suppressed*,16
7/1/2020,24176,6,43
7/1/2020,23314,18,443
7/1/2020,24421,5,148
7/1/2020,20198,6,121
7/1/2020,22976,0,16
7/1/2020,22435,5,162
7/1/2020,24605,8,472
7/1/2020,24340,9,148
7/1/2020,23221,46,1246
7/1/2020,23336,10,171
7/1/2020,22044,270,1266
7/1/2020,24065,5,99
7/1/2020,22851,72,256
7/1/2020,22181,65,772
7/1/2020,24014,80,494
7/1/2020,23237,377,2550
7/1/2020,24266,6,299
7/1/2020,24531,14,348
7/1/2020,23942,14,118
7/1/2020,23883,5,117
7/1/2020,23231,194,3108
7/1/2020,24078,54,414
7/1/2020,23460,Suppressed*,37
7/1/2020,24102,Suppressed*,32
7/1/2020,22611,26,431
7/1/2020,23967,Suppressed*,64
7/1/2020,23923,8,165
7/1/2020,24378,Suppressed*,41
7/1/2020,24416,16,324
7/1/2020,24375,0,35
7/1/2020,24651,0,406
7/1/2020,22576,0,99
7/1/2020,22066,78,966
7/1/2020,23486,Suppressed*,8
7/1/2020,23701,164,1993
7/1/2020,24011,0,14809
7/1/2020,23806,Suppressed*,172
7/1/2020,23551,0,10
7/1/2020,23875,53,877
7/1/2020,23821,Suppressed*,209
7/1/2020,23846,Suppressed*,51
7/1/2020,23156,5,76
7/1/2020,20169,102,1439
7/1/2020,24541,42,1346
7/1/2020,23898,11,138
7/1/2020,23876,0,15
7/1/2020,22640,Suppressed*,13
7/1/2020,23669,95,2611
7/1/2020,22035,Suppressed*,39
7/1/2020,24301,17,672
7/1/2020,23917,12,284
7/1/2020,23503,106,1602
7/1/2020,22939,12,474
7/1/2020,24216,10,111
7/1/2020,24538,5,231
7/1/2020,24473,0,28
7/1/2020,20166,204,1190
7/1/2020,22041,748,3362
7/1/2020,24631,0,37
7/1/2020,22193,1551,8014
7/1/2020,20135,10,195
7/1/2020,22201,226,2333
7/1/2020,23434,248,4272
7/1/2020,20144,Suppressed*,48
7/1/2020,23303,19,129
7/1/2020,24350,Suppressed*,36
7/1/2020,23395,18,93
7/1/2020,24598,5,77
7/1/2020,20120,355,2449
7/1/2020,22812,38,537
7/1/2020,20180,29,496
7/1/2020,24079,Suppressed*,38
7/1/2020,22134,19,131
7/1/2020,23059,101,2203
7/1/2020,24374,0,39
7/1/2020,23461,Suppressed*,79
7/1/2020,24016,23,390
7/1/2020,22508,59,908
7/1/2020,23139,62,1473
7/1/2020,23837,54,287
7/1/2020,22802,531,2548
7/1/2020,24445,0,60
7/1/2020,23021,0,12
7/1/2020,24503,42,1100
7/1/2020,22952,5,131
7/1/2020,22042,818,3505
7/1/2020,22973,13,639
7/1/2020,24258,0,36
7/1/2020,24382,23,859
7/1/2020,22656,22,135
7/1/2020,22211,Suppressed*,20
7/1/2020,20191,318,1951
7/1/2020,24211,10,750
7/1/2020,23930,32,494
7/1/2020,20110,1510,6670
7/1/2020,22438,Suppressed*,46
7/1/2020,22844,45,285
7/1/2020,23602,91,2406
7/1/2020,24589,0,118
7/1/2020,24603,13,31
7/1/2020,22719,0,12
7/1/2020,23102,10,196
7/1/2020,22315,111,1544
7/1/2020,23228,318,3122
7/1/2020,24517,8,356
7/1/2020,22749,0,16
7/1/2020,22902,180,2015
7/1/2020,24248,Suppressed*,89
7/1/2020,22650,Suppressed*,21
7/1/2020,23888,12,146
7/1/2020,24151,39,704
7/1/2020,20117,9,144
7/1/2020,20170,1046,3981
7/1/2020,22967,Suppressed*,97
7/1/2020,23976,Suppressed*,27
7/1/2020,23229,264,3171
7/1/2020,23603,9,138
7/1/2020,23513,128,1920
7/1/2020,24558,10,354
7/1/2020,23032,0,17
7/1/2020,22204,1002,5397
7/1/2020,22191,1650,8032
7/1/2020,24139,9,43
7/1/2020,23845,0,39
7/1/2020,23056,0,4
7/1/2020,23150,102,1056
7/1/2020,22949,0,110
7/1/2020,24013,22,171
7/1/2020,20121,245,1664
7/1/2020,24459,6,29
7/1/2020,23462,244,4598
7/1/2020,20190,217,1914
7/1/2020,24601,0,2
7/1/2020,20106,40,274
7/1/2020,24595,0,10
7/1/2020,23422,7,44
7/1/2020,22824,89,253
7/1/2020,23966,13,204
7/1/2020,22932,23,523
7/1/2020,22202,212,1748
