"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-19,Southside,228,34,18
2020-05-19,Chesapeake,396,78,10
2020-05-19,"Thomas Jefferson",387,66,13
2020-05-19,Roanoke,135,7,8
2020-05-19,"Eastern Shore",905,51,20
2020-05-19,"Mount Rogers",237,18,5
2020-05-19,Chickahominy,371,74,26
2020-05-19,"New River",88,12,1
2020-05-19,"Central Virginia",178,16,3
2020-05-19,Piedmont,586,39,5
2020-05-19,"Lord Fairfax",935,88,35
2020-05-19,Crater,450,80,14
2020-05-19,Hampton,164,30,3
2020-05-19,Alexandria,1544,168,34
2020-05-19,Fairfax,8111,1128,299
2020-05-19,Richmond,811,118,19
2020-05-19,Arlington,1688,331,79
2020-05-19,"Rappahannock Rapidan",801,59,11
2020-05-19,Rappahannock,1033,124,14
2020-05-19,Pittsylvania-Danville,70,23,2
2020-05-19,"Prince William",4816,448,81
2020-05-19,"Cumberland Plateau",32,2,0
2020-05-19,Portsmouth,237,39,10
2020-05-19,"Virginia Beach",559,87,19
2020-05-19,"West Piedmont",101,13,3
2020-05-19,"Three Rivers",437,30,6
2020-05-19,Alleghany,167,23,6
2020-05-19,Lenowisco,42,15,4
2020-05-19,Norfolk,370,57,6
2020-05-19,"Western Tidewater",557,57,31
2020-05-19,Henrico,1299,171,114
2020-05-19,"Central Shenandoah",1227,94,27
2020-05-19,Loudoun,1527,140,48
2020-05-19,Chesterfield,1145,72,36
2020-05-19,Peninsula,511,112,31
