"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
2020-05-28,20105,79,714
2020-05-28,20106,29,117
2020-05-28,20109,810,2415
2020-05-28,20110,1053,2780
2020-05-28,20111,650,1955
2020-05-28,20112,149,969
2020-05-28,20115,29,168
2020-05-28,20117,7,69
2020-05-28,20118,Suppressed*,39
2020-05-28,20119,21,128
2020-05-28,20120,230,1199
2020-05-28,20121,169,800
2020-05-28,20124,44,367
2020-05-28,20129,7,29
2020-05-28,20130,0,7
2020-05-28,20132,43,408
2020-05-28,20135,5,86
2020-05-28,20136,137,796
2020-05-28,20137,10,47
2020-05-28,20139,Suppressed*,9
2020-05-28,20141,13,174
2020-05-28,20143,Suppressed*,29
2020-05-28,20144,Suppressed*,18
2020-05-28,20147,286,1965
2020-05-28,20148,113,1062
2020-05-28,20151,198,745
2020-05-28,20152,134,719
2020-05-28,20155,177,1091
2020-05-28,20158,12,97
2020-05-28,20164,720,2111
2020-05-28,20165,193,1074
2020-05-28,20166,109,545
2020-05-28,20169,78,639
2020-05-28,20170,678,1887
2020-05-28,20171,226,1052
2020-05-28,20175,124,875
2020-05-28,20176,385,1669
2020-05-28,20180,17,189
2020-05-28,20181,32,289
2020-05-28,20184,Suppressed*,34
2020-05-28,20186,54,470
2020-05-28,20187,53,450
2020-05-28,20190,172,797
2020-05-28,20191,233,994
2020-05-28,20194,27,294
2020-05-28,20197,Suppressed*,58
2020-05-28,20198,5,45
2020-05-28,22003,975,3139
2020-05-28,22015,318,1344
2020-05-28,22025,94,610
2020-05-28,22026,161,816
2020-05-28,22027,41,86
2020-05-28,22030,306,1620
2020-05-28,22031,294,1272
2020-05-28,22032,107,788
2020-05-28,22033,196,1087
2020-05-28,22035,0,6
2020-05-28,22039,51,438
2020-05-28,22041,604,2085
2020-05-28,22042,597,1899
2020-05-28,22043,183,766
2020-05-28,22044,209,680
2020-05-28,22046,159,643
2020-05-28,22060,13,116
2020-05-28,22066,58,457
2020-05-28,22079,248,1228
2020-05-28,22101,108,936
2020-05-28,22102,91,788
2020-05-28,22124,51,429
2020-05-28,22125,Suppressed*,34
2020-05-28,22134,15,64
2020-05-28,22150,625,1862
2020-05-28,22151,236,790
2020-05-28,22152,164,872
2020-05-28,22153,127,847
2020-05-28,22172,121,465
2020-05-28,22180,161,784
2020-05-28,22181,42,338
2020-05-28,22182,94,684
2020-05-28,22191,1159,4289
2020-05-28,22192,494,2594
2020-05-28,22193,1115,4260
2020-05-28,22201,181,1180
2020-05-28,22202,169,829
2020-05-28,22203,281,1061
2020-05-28,22204,808,2999
2020-05-28,22205,113,874
2020-05-28,22206,150,814
2020-05-28,22207,237,1218
2020-05-28,22209,70,460
2020-05-28,22211,Suppressed*,15
2020-05-28,22213,15,94
2020-05-28,22214,0,2
2020-05-28,22301,64,575
2020-05-28,22302,191,851
2020-05-28,22303,162,694
2020-05-28,22304,557,2722
2020-05-28,22305,523,1614
2020-05-28,22306,679,1943
2020-05-28,22307,51,364
2020-05-28,22308,57,302
2020-05-28,22309,479,1553
2020-05-28,22310,240,1048
2020-05-28,22311,364,1250
2020-05-28,22312,419,1618
2020-05-28,22314,162,1284
2020-05-28,22315,82,735
2020-05-28,22401,126,789
2020-05-28,22405,93,876
2020-05-28,22406,70,691
2020-05-28,22407,301,1801
2020-05-28,22408,98,793
2020-05-28,22427,5,79
2020-05-28,22432,Suppressed*,21
2020-05-28,22433,Suppressed*,7
2020-05-28,22435,Suppressed*,64
2020-05-28,22436,0,13
2020-05-28,22437,Suppressed*,19
2020-05-28,22438,Suppressed*,7
2020-05-28,22443,18,196
2020-05-28,22448,Suppressed*,22
2020-05-28,22454,Suppressed*,36
2020-05-28,22460,Suppressed*,32
2020-05-28,22469,9,57
2020-05-28,22473,18,144
2020-05-28,22476,Suppressed*,6
2020-05-28,22480,0,25
2020-05-28,22482,Suppressed*,94
2020-05-28,22485,61,654
2020-05-28,22488,Suppressed*,27
2020-05-28,22503,5,142
