"Report Date","ZIP Code","Number of Cases","Number of Testing Encounters"
2020-05-11,20105,57,409
2020-05-11,20106,21,83
2020-05-11,20109,469,1142
2020-05-11,20110,491,1291
2020-05-11,20111,354,929
2020-05-11,20112,88,537
2020-05-11,20115,17,101
2020-05-11,20117,7,43
2020-05-11,20118,Suppressed*,42
2020-05-11,20119,11,74
2020-05-11,20120,120,715
2020-05-11,20121,83,433
2020-05-11,20124,28,247
2020-05-11,20129,7,26
2020-05-11,20130,0,8
2020-05-11,20132,20,248
2020-05-11,20135,5,48
2020-05-11,20136,78,491
2020-05-11,20137,Suppressed*,19
2020-05-11,20139,Suppressed*,5
2020-05-11,20141,7,100
2020-05-11,20143,0,21
2020-05-11,20144,Suppressed*,12
2020-05-11,20147,179,1013
2020-05-11,20148,78,648
2020-05-11,20151,90,357
2020-05-11,20152,59,388
2020-05-11,20155,115,663
2020-05-11,20158,6,60
2020-05-11,20164,329,943
2020-05-11,20165,116,616
2020-05-11,20166,56,268
2020-05-11,20169,43,408
2020-05-11,20170,308,925
2020-05-11,20171,161,655
2020-05-11,20175,60,552
2020-05-11,20176,171,893
2020-05-11,20180,6,119
2020-05-11,20181,20,161
2020-05-11,20184,Suppressed*,28
2020-05-11,20186,36,324
2020-05-11,20187,35,296
2020-05-11,20190,105,462
2020-05-11,20191,140,610
2020-05-11,20194,17,186
2020-05-11,20197,Suppressed*,49
2020-05-11,20198,Suppressed*,34
2020-05-11,22003,547,1565
2020-05-11,22015,221,839
2020-05-11,22025,57,350
2020-05-11,22026,91,428
2020-05-11,22027,39,67
2020-05-11,22030,143,969
2020-05-11,22031,173,738
2020-05-11,22032,83,495
2020-05-11,22033,113,654
2020-05-11,22035,0,4
2020-05-11,22039,39,292
2020-05-11,22041,374,866
2020-05-11,22042,309,986
2020-05-11,22043,118,480
2020-05-11,22044,130,373
2020-05-11,22046,94,409
2020-05-11,22060,11,76
2020-05-11,22066,34,385
2020-05-11,22079,157,758
2020-05-11,22101,78,759
2020-05-11,22102,71,599
2020-05-11,22124,30,283
2020-05-11,22125,0,12
2020-05-11,22134,13,45
2020-05-11,22150,415,1012
2020-05-11,22151,145,467
2020-05-11,22152,108,522
2020-05-11,22153,95,526
2020-05-11,22172,72,241
2020-05-11,22180,76,489
2020-05-11,22181,26,246
2020-05-11,22182,59,472
2020-05-11,22191,679,2265
2020-05-11,22192,284,1471
2020-05-11,22193,609,2132
2020-05-11,22201,133,860
2020-05-11,22202,110,566
2020-05-11,22203,178,559
2020-05-11,22204,542,1602
2020-05-11,22205,80,451
2020-05-11,22206,101,496
2020-05-11,22207,183,875
2020-05-11,22209,47,310
2020-05-11,22211,Suppressed*,10
2020-05-11,22213,10,67
2020-05-11,22214,0,2
2020-05-11,22301,41,343
2020-05-11,22302,114,457
2020-05-11,22303,84,423
2020-05-11,22304,352,1383
2020-05-11,22305,370,706
2020-05-11,22306,401,1047
2020-05-11,22307,40,258
2020-05-11,22308,26,185
2020-05-11,22309,311,882
2020-05-11,22310,166,667
2020-05-11,22311,219,636
2020-05-11,22312,250,813
2020-05-11,22314,123,830
2020-05-11,22315,60,471
2020-05-11,22401,58,508
2020-05-11,22405,52,537
2020-05-11,22406,44,414
2020-05-11,22407,150,1044
2020-05-11,22408,51,501
2020-05-11,22427,Suppressed*,49
2020-05-11,22432,0,13
2020-05-11,22433,Suppressed*,4
2020-05-11,22435,Suppressed*,45
2020-05-11,22436,0,9
2020-05-11,22437,Suppressed*,16
2020-05-11,22438,Suppressed*,3
2020-05-11,22443,10,108
2020-05-11,22448,Suppressed*,10
2020-05-11,22454,Suppressed*,18
2020-05-11,22460,Suppressed*,18
2020-05-11,22469,Suppressed*,32
2020-05-11,22473,Suppressed*,79
2020-05-11,22476,Suppressed*,3
2020-05-11,22480,0,20
2020-05-11,22482,Suppressed*,63
2020-05-11,22485,41,445
2020-05-11,22488,Suppressed*,17
2020-05-11,22503,Suppressed*,87
2020-05-11,22504,0,2
2020-05-11,22508,20,205
2020-05-11,22511,Suppressed*,12
2020-05-11,22514,Suppressed*,25
2020-05-11,22520,25,102
2020-05-11,22529,0,5
2020-05-11,22530,0,1
2020-05-11,22534,0,30
2020-05-11,22535,0,9
2020-05-11,22538,0,8
2020-05-11,22539,Suppressed*,47
2020-05-11,22542,0,22
2020-05-11,22546,24,206
2020-05-11,22548,0,3
2020-05-11,22551,45,328
2020-05-11,22553,14,246
2020-05-11,22554,191,1118
2020-05-11,22556,96,549
2020-05-11,22560,19,132
2020-05-11,22567,Suppressed*,63
2020-05-11,22572,180,359
2020-05-11,22576,0,30
2020-05-11,22578,0,39
2020-05-11,22579,0,3
2020-05-11,22580,5,85
2020-05-11,22601,71,185
2020-05-11,22602,67,179
2020-05-11,22603,29,84
2020-05-11,22610,8,11
2020-05-11,22611,9,72
2020-05-11,22620,Suppressed*,12
2020-05-11,22623,Suppressed*,0
2020-05-11,22624,Suppressed*,12
2020-05-11,22625,Suppressed*,12
2020-05-11,22627,0,9
2020-05-11,22630,63,145
2020-05-11,22637,0,7
2020-05-11,22639,0,2
2020-05-11,22640,Suppressed*,4
2020-05-11,22641,0,1
2020-05-11,22642,14,44
2020-05-11,22643,0,5
2020-05-11,22644,28,29
2020-05-11,22645,14,29
2020-05-11,22646,0,5
2020-05-11,22650,Suppressed*,13
2020-05-11,22652,Suppressed*,11
2020-05-11,22654,Suppressed*,8
2020-05-11,22655,38,129
2020-05-11,22656,Suppressed*,37
2020-05-11,22657,25,81
2020-05-11,22660,5,10
2020-05-11,22663,Suppressed*,4
2020-05-11,22664,64,95
2020-05-11,22701,228,673
2020-05-11,22709,0,15
2020-05-11,22712,44,208
2020-05-11,22713,5,18
2020-05-11,22714,5,20
2020-05-11,22715,Suppressed*,14
2020-05-11,22716,0,5
2020-05-11,22718,Suppressed*,10
2020-05-11,22719,0,3
2020-05-11,22720,0,6
2020-05-11,22723,0,2
2020-05-11,22724,6,31
2020-05-11,22726,Suppressed*,12
2020-05-11,22727,12,92
2020-05-11,22728,Suppressed*,41
2020-05-11,22729,0,5
2020-05-11,22730,0,1
2020-05-11,22731,0,4
2020-05-11,22732,Suppressed*,6
2020-05-11,22733,6,28
2020-05-11,22734,15,64
2020-05-11,22735,Suppressed*,22
2020-05-11,22736,Suppressed*,7
2020-05-11,22737,Suppressed*,33
2020-05-11,22738,Suppressed*,22
2020-05-11,22740,Suppressed*,22
2020-05-11,22741,0,5
2020-05-11,22742,6,33
2020-05-11,22743,0,1
2020-05-11,22747,0,12
2020-05-11,22749,0,2
2020-05-11,22801,413,832
2020-05-11,22802,343,779
2020-05-11,22807,Suppressed*,2
2020-05-11,22810,Suppressed*,10
2020-05-11,22811,Suppressed*,10
2020-05-11,22812,12,126
2020-05-11,22815,45,140
2020-05-11,22820,0,1
2020-05-11,22821,13,61
2020-05-11,22824,39,49
2020-05-11,22827,28,186
2020-05-11,22830,13,28
2020-05-11,22831,Suppressed*,9
2020-05-11,22832,Suppressed*,13
2020-05-11,22834,0,15
2020-05-11,22835,76,187
2020-05-11,22840,Suppressed*,55
2020-05-11,22841,7,38
2020-05-11,22842,40,72
2020-05-11,22843,Suppressed*,25
2020-05-11,22844,24,77
2020-05-11,22846,6,44
2020-05-11,22847,Suppressed*,9
2020-05-11,22849,10,73
2020-05-11,22850,Suppressed*,19
2020-05-11,22851,38,93
2020-05-11,22853,35,102
2020-05-11,22901,84,898
2020-05-11,22902,25,525
2020-05-11,22903,39,652
2020-05-11,22904,0,5
2020-05-11,22911,14,346
2020-05-11,22920,Suppressed*,32
2020-05-11,22922,Suppressed*,35
2020-05-11,22923,5,88
2020-05-11,22931,0,7
2020-05-11,22932,10,152
2020-05-11,22935,Suppressed*,18
2020-05-11,22936,Suppressed*,84
2020-05-11,22937,Suppressed*,35
2020-05-11,22938,Suppressed*,15
2020-05-11,22939,Suppressed*,52
2020-05-11,22940,Suppressed*,20
2020-05-11,22942,6,219
2020-05-11,22943,0,7
2020-05-11,22946,Suppressed*,4
2020-05-11,22947,Suppressed*,77
2020-05-11,22948,0,1
2020-05-11,22949,0,23
2020-05-11,22952,0,23
2020-05-11,22958,Suppressed*,24
2020-05-11,22959,Suppressed*,42
2020-05-11,22960,16,252
2020-05-11,22963,24,333
2020-05-11,22964,0,3
2020-05-11,22967,0,19
2020-05-11,22968,7,165
2020-05-11,22969,Suppressed*,24
2020-05-11,22971,0,37
2020-05-11,22972,Suppressed*,16
2020-05-11,22973,Suppressed*,131
2020-05-11,22974,6,111
2020-05-11,22976,0,7
2020-05-11,22980,29,336
2020-05-11,22989,0,2
2020-05-11,23002,16,226
2020-05-11,23004,9,35
2020-05-11,23005,22,212
2020-05-11,23009,10,103
2020-05-11,23011,Suppressed*,21
2020-05-11,23015,Suppressed*,67
2020-05-11,23021,0,4
2020-05-11,23022,5,27
2020-05-11,23023,Suppressed*,5
2020-05-11,23024,18,125
2020-05-11,23025,0,6
2020-05-11,23027,Suppressed*,31
2020-05-11,23030,14,92
2020-05-11,23032,0,1
2020-05-11,23035,Suppressed*,19
2020-05-11,23038,6,30
2020-05-11,23039,Suppressed*,19
2020-05-11,23040,6,84
2020-05-11,23043,Suppressed*,13
2020-05-11,23045,0,2
2020-05-11,23047,0,16
2020-05-11,23050,Suppressed*,8
2020-05-11,23055,36,56
2020-05-11,23056,0,2
2020-05-11,23059,38,482
2020-05-11,23060,71,589
2020-05-11,23061,16,265
2020-05-11,23062,Suppressed*,50
2020-05-11,23063,53,171
2020-05-11,23064,0,2
2020-05-11,23065,Suppressed*,22
2020-05-11,23066,0,3
2020-05-11,23068,0,4
2020-05-11,23069,Suppressed*,47
2020-05-11,23070,0,5
2020-05-11,23071,Suppressed*,13
2020-05-11,23072,6,166
2020-05-11,23075,102,252
2020-05-11,23076,0,10
2020-05-11,23079,0,1
2020-05-11,23083,Suppressed*,34
2020-05-11,23084,5,60
2020-05-11,23085,Suppressed*,4
