"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-28,Norfolk,0-9,31,1,0
2020-06-28,"Cumberland Plateau",40-49,11,0,0
2020-06-28,"Eastern Shore",10-19,57,1,0
2020-06-28,"Mount Rogers",10-19,51,0,0
2020-06-28,"Rappahannock Rapidan",0-9,70,1,0
2020-06-28,"Three Rivers",0-9,9,1,0
2020-06-28,Henrico,40-49,379,25,1
2020-06-28,Alexandria,50-59,299,48,10
2020-06-28,Arlington,0-9,43,2,0
2020-06-28,Chickahominy,Missing,12,0,0
2020-06-28,"New River",20-29,55,0,0
2020-06-28,"Virginia Beach",20-29,251,4,0
2020-06-28,Chesapeake,50-59,136,19,1
2020-06-28,Alleghany,80+,23,8,5
2020-06-28,Fairfax,10-19,795,23,0
2020-06-28,Chesapeake,60-69,114,29,5
2020-06-28,"West Piedmont",Missing,0,0,0
2020-06-28,Peninsula,80+,50,24,15
2020-06-28,Crater,40-49,208,14,1
2020-06-28,Chesapeake,40-49,137,19,0
2020-06-28,"Thomas Jefferson",20-29,150,1,0
2020-06-28,"Lord Fairfax",20-29,334,5,0
2020-06-28,Norfolk,20-29,228,3,0
2020-06-28,Arlington,30-39,446,43,0
2020-06-28,"West Piedmont",60-69,46,5,0
2020-06-28,Henrico,50-59,315,34,8
2020-06-28,"West Piedmont",50-59,89,10,1
2020-06-28,"Cumberland Plateau",20-29,4,0,0
2020-06-28,Alexandria,70-79,100,38,19
2020-06-28,Portsmouth,20-29,92,5,0
2020-06-28,"Western Tidewater",30-39,111,6,0
2020-06-28,"Central Shenandoah",0-9,55,0,0
2020-06-28,Henrico,80+,311,66,70
2020-06-28,Alexandria,0-9,127,2,0
2020-06-28,Pittsylvania-Danville,40-49,42,6,0
2020-06-28,Henrico,20-29,353,14,0
2020-06-28,Roanoke,60-69,29,3,0
2020-06-28,Peninsula,30-39,154,7,1
2020-06-28,Alleghany,60-69,40,7,1
2020-06-28,"Prince William",70-79,288,80,40
2020-06-28,Norfolk,60-69,79,24,1
2020-06-28,Southside,40-49,47,5,0
2020-06-28,Chesterfield,30-39,604,4,0
2020-06-28,Loudoun,70-79,140,42,14
2020-06-28,"Central Virginia",40-49,49,0,0
2020-06-28,"New River",Missing,0,0,0
2020-06-28,Chickahominy,20-29,82,0,0
2020-06-28,"New River",0-9,5,0,0
2020-06-28,"Cumberland Plateau",0-9,1,0,0
2020-06-28,"Three Rivers",70-79,32,7,4
2020-06-28,"Rappahannock Rapidan",40-49,288,19,2
2020-06-28,Hampton,0-9,11,0,0
2020-06-28,Piedmont,50-59,181,19,0
2020-06-28,Rappahannock,20-29,408,11,0
2020-06-28,"West Piedmont",20-29,53,1,0
2020-06-28,Arlington,70-79,172,72,32
2020-06-28,Chickahominy,50-59,113,22,1
2020-06-28,Alleghany,40-49,53,1,0
2020-06-28,"Prince William",50-59,1402,180,14
2020-06-28,"Mount Rogers",0-9,35,1,0
2020-06-28,"Eastern Shore",0-9,19,1,0
2020-06-28,"Thomas Jefferson",60-69,81,18,2
2020-06-28,Pittsylvania-Danville,70-79,21,10,0
2020-06-28,Chesterfield,80+,133,27,39
2020-06-28,Richmond,0-9,97,4,0
2020-06-28,Chesapeake,80+,59,21,11
2020-06-28,Peninsula,40-49,125,7,1
2020-06-28,Henrico,0-9,103,1,0
2020-06-28,Lenowisco,80+,0,0,0
2020-06-28,Piedmont,60-69,131,19,2
2020-06-28,"West Piedmont",0-9,15,1,0
2020-06-28,"Rappahannock Rapidan",70-79,38,12,7
2020-06-28,"Central Shenandoah",70-79,122,38,12
2020-06-28,Chesapeake,30-39,157,8,0
2020-06-28,Chickahominy,0-9,13,0,0
2020-06-28,"Prince William",0-9,312,7,0
2020-06-28,"Eastern Shore",50-59,276,19,5
2020-06-28,"Mount Rogers",50-59,89,5,1
2020-06-28,Loudoun,10-19,392,0,0
2020-06-28,Southside,80+,79,12,12
2020-06-28,"Central Virginia",80+,16,2,0
2020-06-28,Rappahannock,Missing,20,0,0
2020-06-28,"Rappahannock Rapidan",30-39,295,16,1
2020-06-28,"New River",50-59,30,4,0
2020-06-28,Richmond,80+,36,18,8
2020-06-28,"Mount Rogers",20-29,109,0,0
2020-06-28,"Eastern Shore",20-29,198,6,0
2020-06-28,Hampton,10-19,16,0,0
2020-06-28,Portsmouth,0-9,13,1,0
2020-06-28,Crater,70-79,129,29,9
2020-06-28,Chesterfield,40-49,552,15,2
2020-06-28,Alexandria,Missing,11,0,0
2020-06-28,Southside,30-39,51,1,0
2020-06-28,"Prince William",Missing,134,2,0
2020-06-28,Hampton,60-69,41,11,2
2020-06-28,Fairfax,20-29,2155,70,3
2020-06-28,"Thomas Jefferson",0-9,38,1,0
2020-06-28,Lenowisco,40-49,7,2,0
2020-06-28,"Central Virginia",10-19,39,1,0
