"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-17,Confirmed,7,1,0
2020-05-17,Probable,1,0,0
2020-05-16,Confirmed,15,3,5
2020-05-16,Probable,1,0,0
2020-05-15,Confirmed,98,12,2
2020-05-15,Probable,4,0,0
2020-05-14,Confirmed,335,25,8
2020-05-14,Probable,7,0,1
2020-05-13,Confirmed,494,33,7
2020-05-13,Probable,12,0,1
2020-05-12,Confirmed,747,39,14
2020-05-12,Probable,16,0,0
2020-05-11,Confirmed,654,43,25
2020-05-11,Probable,16,1,0
2020-05-10,Confirmed,351,50,21
2020-05-10,Probable,13,0,0
2020-05-09,Confirmed,452,48,12
2020-05-09,Probable,20,0,0
2020-05-08,Confirmed,731,55,27
2020-05-08,Probable,21,0,0
2020-05-07,Confirmed,661,55,26
2020-05-07,Probable,17,0,0
2020-05-06,Confirmed,703,66,19
2020-05-06,Probable,40,0,1
2020-05-05,Confirmed,772,66,32
2020-05-05,Probable,31,0,1
2020-05-04,Confirmed,879,79,20
2020-05-04,Probable,38,1,0
2020-05-03,Confirmed,490,75,17
2020-05-03,Probable,24,0,2
2020-05-02,Confirmed,594,59,27
2020-05-02,Probable,22,2,1
2020-05-01,Confirmed,965,79,19
2020-05-01,Probable,55,0,0
2020-04-30,Confirmed,799,71,36
2020-04-30,Probable,49,0,0
2020-04-29,Confirmed,778,66,21
2020-04-29,Probable,39,2,2
2020-04-28,Confirmed,770,73,30
2020-04-28,Probable,36,1,0
2020-04-27,Confirmed,834,79,21
2020-04-27,Probable,38,2,0
2020-04-26,Confirmed,594,55,24
2020-04-26,Probable,25,0,3
2020-04-25,Confirmed,572,53,21
2020-04-25,Probable,42,1,3
2020-04-24,Confirmed,823,75,25
2020-04-24,Probable,45,0,2
2020-04-23,Confirmed,728,61,19
2020-04-23,Probable,41,0,2
2020-04-22,Confirmed,684,64,26
2020-04-22,Probable,39,0,0
2020-04-21,Confirmed,624,91,27
2020-04-21,Probable,27,2,2
2020-04-20,Confirmed,794,82,16
2020-04-20,Probable,57,1,3
2020-04-19,Confirmed,440,58,33
2020-04-19,Probable,29,1,0
2020-04-18,Confirmed,402,63,21
2020-04-18,Probable,23,1,0
2020-04-17,Confirmed,639,61,28
2020-04-17,Probable,41,1,2
2020-04-16,Confirmed,578,70,29
2020-04-16,Probable,19,0,0
2020-04-15,Confirmed,483,75,22
2020-04-15,Probable,24,0,0
2020-04-14,Confirmed,566,59,24
2020-04-14,Probable,31,0,0
2020-04-13,Confirmed,612,86,25
2020-04-13,Probable,47,2,2
