"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-01,Southside,"Not Reported",4,0,0
2020-07-01,Chesapeake,Female,530,74,9
2020-07-01,Richmond,Female,1057,99,7
2020-07-01,Roanoke,Male,203,7,3
2020-07-01,Fairfax,"Not Reported",109,3,3
2020-07-01,"Thomas Jefferson",Female,498,52,11
2020-07-01,Chesapeake,"Not Reported",1,0,0
2020-07-01,"Cumberland Plateau",Male,25,1,0
2020-07-01,"Eastern Shore",Female,658,58,23
2020-07-01,"Lord Fairfax","Not Reported",8,0,0
2020-07-01,Rappahannock,"Not Reported",9,1,0
2020-07-01,"Central Shenandoah","Not Reported",1,0,0
2020-07-01,Peninsula,Male,466,64,13
2020-07-01,Norfolk,Male,462,56,8
2020-07-01,Alexandria,Female,1189,107,30
2020-07-01,Lenowisco,Male,26,8,3
2020-07-01,Pittsylvania-Danville,Female,116,21,2
2020-07-01,"New River","Not Reported",3,0,0
2020-07-01,Chesterfield,"Not Reported",77,0,2
2020-07-01,Loudoun,Male,1995,153,32
2020-07-01,"Rappahannock Rapidan",Female,709,44,8
2020-07-01,Piedmont,Female,302,41,4
2020-07-01,Richmond,Male,1116,121,20
2020-07-01,Crater,Female,619,81,19
2020-07-01,Portsmouth,Female,237,40,10
2020-07-01,Arlington,"Not Reported",1,0,0
2020-07-01,"Mount Rogers","Not Reported",2,0,0
2020-07-01,"Thomas Jefferson","Not Reported",1,0,0
2020-07-01,"Three Rivers","Not Reported",18,0,0
2020-07-01,Hampton,Male,153,26,3
2020-07-01,Alleghany,Male,227,21,5
2020-07-01,Roanoke,Female,229,7,7
2020-07-01,Loudoun,"Not Reported",17,0,1
2020-07-01,Fairfax,Female,7060,710,250
2020-07-01,"Western Tidewater",Male,396,54,28
2020-07-01,Peninsula,"Not Reported",4,0,0
2020-07-01,"New River",Male,122,14,4
2020-07-01,"Central Shenandoah",Male,947,79,18
2020-07-01,Southside,Male,163,25,11
2020-07-01,Chesterfield,Male,1542,70,35
2020-07-01,Arlington,Female,1227,190,64
2020-07-01,Rappahannock,Male,1151,121,26
2020-07-01,"Central Virginia",Male,204,9,4
2020-07-01,Alleghany,"Not Reported",3,0,0
2020-07-01,Henrico,Male,1167,135,72
2020-07-01,"Thomas Jefferson",Male,439,42,11
2020-07-01,"Lord Fairfax",Male,965,90,34
2020-07-01,"Three Rivers",Male,430,18,2
2020-07-01,Richmond,"Not Reported",40,2,2
2020-07-01,Pittsylvania-Danville,Male,91,20,1
2020-07-01,Portsmouth,"Not Reported",3,0,0
2020-07-01,Norfolk,"Not Reported",0,0,0
2020-07-01,Chesapeake,Male,394,63,11
2020-07-01,Chickahominy,Female,354,54,18
2020-07-01,"Prince William",Male,4554,439,96
2020-07-01,"Eastern Shore","Not Reported",9,0,0
2020-07-01,"Eastern Shore",Male,645,54,19
2020-07-01,"Rappahannock Rapidan",Male,733,64,12
2020-07-01,Henrico,"Not Reported",8,0,1
2020-07-01,"Cumberland Plateau",Female,37,1,0
2020-07-01,"West Piedmont",Male,226,20,4
2020-07-01,Hampton,"Not Reported",2,0,0
2020-07-01,Alexandria,"Not Reported",6,0,0
2020-07-01,"Western Tidewater","Not Reported",2,0,0
2020-07-01,"Cumberland Plateau","Not Reported",0,0,0
2020-07-01,"Virginia Beach",Male,555,64,15
2020-07-01,Alleghany,Female,260,10,10
2020-07-01,Lenowisco,Female,27,9,1
2020-07-01,"Virginia Beach","Not Reported",9,0,0
2020-07-01,"Western Tidewater",Female,412,33,22
2020-07-01,"Mount Rogers",Male,327,50,17
2020-07-01,"Lord Fairfax",Female,1041,85,33
2020-07-01,Piedmont,"Not Reported",2,0,0
2020-07-01,Alexandria,Male,1130,130,27
2020-07-01,Pittsylvania-Danville,"Not Reported",2,0,0
2020-07-01,"West Piedmont","Not Reported",5,0,0
2020-07-01,Loudoun,Female,2035,126,54
2020-07-01,Hampton,Female,181,15,2
2020-07-01,Henrico,Female,1428,122,73
2020-07-01,"Prince William","Not Reported",68,1,0
2020-07-01,Chickahominy,Male,287,55,19
2020-07-01,"Rappahannock Rapidan","Not Reported",2,1,1
2020-07-01,Peninsula,Female,525,62,21
2020-07-01,Lenowisco,"Not Reported",0,0,0
2020-07-01,Crater,"Not Reported",13,1,0
2020-07-01,Chickahominy,"Not Reported",4,0,0
2020-07-01,Portsmouth,Male,257,29,6
2020-07-01,"New River",Female,113,8,1
2020-07-01,Rappahannock,Female,1295,101,17
2020-07-01,"Central Virginia",Female,181,7,1
2020-07-01,Roanoke,"Not Reported",6,0,0
2020-07-01,"West Piedmont",Female,249,21,3
2020-07-01,"Mount Rogers",Female,396,24,13
2020-07-01,Piedmont,Male,719,46,7
2020-07-01,Chesterfield,Female,1521,68,35
2020-07-01,Fairfax,Male,6817,927,250
2020-07-01,Crater,Male,878,70,13
2020-07-01,"Central Virginia","Not Reported",0,0,0
2020-07-01,"Prince William",Female,4553,363,72
2020-07-01,"Virginia Beach",Female,639,55,14
2020-07-01,Norfolk,Female,472,51,2
2020-07-01,"Three Rivers",Female,200,31,7
2020-07-01,Arlington,Male,1256,228,68
2020-07-01,"Central Shenandoah",Female,1111,86,19
2020-07-01,Southside,Female,235,24,17
