"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-04,Southside,140,25,10
2020-05-04,Chesapeake,284,63,9
2020-05-04,"Thomas Jefferson",319,60,13
2020-05-04,Roanoke,81,5,0
2020-05-04,"Eastern Shore",564,26,7
2020-05-04,"Mount Rogers",114,16,4
2020-05-04,Chickahominy,264,53,19
2020-05-04,"New River",78,10,1
2020-05-04,"Central Virginia",147,8,1
2020-05-04,Piedmont,248,23,3
2020-05-04,"Lord Fairfax",511,42,5
2020-05-04,Crater,256,59,14
2020-05-04,Hampton,128,28,1
2020-05-04,Alexandria,940,110,26
2020-05-04,Fairfax,4684,784,204
2020-05-04,Richmond,419,72,16
2020-05-04,Arlington,1139,194,47
2020-05-04,"Rappahannock Rapidan",397,32,7
2020-05-04,Rappahannock,595,96,11
2020-05-04,Pittsylvania-Danville,52,20,2
2020-05-04,"Prince William",2507,266,35
2020-05-04,"Cumberland Plateau",27,2,0
2020-05-04,Portsmouth,183,35,8
2020-05-04,"Virginia Beach",439,83,15
2020-05-04,"West Piedmont",46,6,1
2020-05-04,"Three Rivers",256,23,2
2020-05-04,Alleghany,121,16,3
2020-05-04,Lenowisco,41,14,2
2020-05-04,Norfolk,239,45,4
2020-05-04,"Western Tidewater",439,50,18
2020-05-04,Henrico,964,137,105
2020-05-04,"Central Shenandoah",861,46,18
2020-05-04,Loudoun,961,96,18
2020-05-04,Chesterfield,673,53,30
2020-05-04,Peninsula,375,102,25
,,,,
,,,,
