"﻿Lab Report Date","Number of People Tested","Positive Results"
2020-03-16,307,11
2020-03-17,177,17
2020-03-18,336,16
2020-03-19,582,77
2020-03-20,592,53
2020-03-21,908,64
2020-03-22,506,24
2020-03-23,703,73
2020-03-24,1003,105
2020-03-25,1078,122
2020-03-26,1359,163
2020-03-27,1911,214
2020-03-28,1635,188
2020-03-29,1248,194
2020-03-30,1617,225
2020-03-31,1775,320
2020-04-01,2285,348
2020-04-02,1818,319
2020-04-03,2421,335
2020-04-04,2240,420
2020-04-05,3677,479
2020-04-06,2765,395
2020-04-07,2199,382
2020-04-08,2287,436
2020-04-09,2802,521
2020-04-10,2563,417
2020-04-11,2127,444
2020-04-12,2102,411
2020-04-13,1228,349
2020-04-14,1595,368
2020-04-15,2627,538
2020-04-16,2963,620
2020-04-17,2783,547
2020-04-18,2595,531
2020-04-19,2439,561
2020-04-20,1611,443
2020-04-21,2488,537
2020-04-22,4764,881
2020-04-23,5372,945
2020-04-24,3649,773
2020-04-25,4428,813
2020-04-26,3681,832
2020-04-27,2586,594
2020-04-28,4176,777
2020-04-29,6736,1222
2020-04-30,5666,911
2020-05-01,6838,1181
2020-05-02,6444,923
2020-05-03,4948,951
2020-05-04,2527,484
2020-05-05,5728,1024
2020-05-06,8987,1226
2020-05-07,7301,1099
2020-05-08,7281,1012
2020-05-09,7540,1045
2020-05-10,5315,662
2020-05-11,504,95
