"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-04,Southside,420,50,30
2020-07-04,Chesapeake,1003,147,21
2020-07-04,"Thomas Jefferson",1025,99,25
2020-07-04,Roanoke,476,14,10
2020-07-04,"Eastern Shore",1314,113,42
2020-07-04,"Mount Rogers",749,74,32
2020-07-04,Chickahominy,669,111,39
2020-07-04,"New River",255,22,5
2020-07-04,"Central Virginia",430,16,5
2020-07-04,Piedmont,1065,89,13
2020-07-04,"Lord Fairfax",2068,183,71
2020-07-04,Crater,1583,154,38
2020-07-04,Hampton,360,41,5
2020-07-04,Alexandria,2357,239,57
2020-07-04,Fairfax,14197,1674,510
2020-07-04,Richmond,2262,226,29
2020-07-04,Arlington,2519,421,131
2020-07-04,"Rappahannock Rapidan",1466,109,22
2020-07-04,Rappahannock,2518,227,44
2020-07-04,Pittsylvania-Danville,227,42,3
2020-07-04,"Prince William",9354,822,171
2020-07-04,"Cumberland Plateau",66,2,0
2020-07-04,Portsmouth,539,73,18
2020-07-04,"Virginia Beach",1300,123,30
2020-07-04,"West Piedmont",506,45,7
2020-07-04,"Three Rivers",649,50,9
2020-07-04,Alleghany,537,31,15
2020-07-04,Lenowisco,56,17,4
2020-07-04,Norfolk,1067,113,12
2020-07-04,"Western Tidewater",849,89,55
2020-07-04,Henrico,2663,261,158
2020-07-04,"Central Shenandoah",2130,173,40
2020-07-04,Loudoun,4175,279,91
2020-07-04,Chesterfield,3201,149,73
2020-07-04,Peninsula,1054,127,34
