"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-21,Roanoke,"Black or African American",17,4,2
2020-05-21,Alleghany,"Black or African American",5,1,0
2020-05-21,Richmond,"Not Reported",200,3,0
2020-05-21,"Central Virginia",Other,2,1,0
2020-05-21,Rappahannock,Other,259,38,1
2020-05-21,Roanoke,Other,2,0,0
2020-05-21,Piedmont,"Black or African American",189,24,1
2020-05-21,Chesterfield,Other,137,1,0
2020-05-21,Portsmouth,"Black or African American",117,27,7
2020-05-21,Portsmouth,"Not Reported",58,2,2
2020-05-21,Norfolk,"Not Reported",48,0,0
2020-05-21,"Eastern Shore",White,241,12,12
2020-05-21,"Eastern Shore","Not Reported",108,1,0
2020-05-21,Roanoke,White,73,3,6
2020-05-21,"Three Rivers",Other,37,3,0
2020-05-21,Fairfax,Other,3625,582,67
2020-05-21,Henrico,"Not Reported",232,1,1
2020-05-21,"Lord Fairfax",Other,145,16,5
2020-05-21,Piedmont,Other,14,3,0
2020-05-21,Lenowisco,"Black or African American",0,0,0
2020-05-21,Arlington,White,538,112,41
2020-05-21,Hampton,"Black or African American",98,24,3
2020-05-21,Alexandria,White,598,63,23
2020-05-21,Hampton,"Not Reported",25,0,0
2020-05-21,"Mount Rogers",White,210,17,6
2020-05-21,Alexandria,"Not Reported",463,14,5
2020-05-21,Chickahominy,"Black or African American",67,25,7
2020-05-21,Chesapeake,"Black or African American",147,40,5
2020-05-21,"Western Tidewater","Not Reported",179,2,1
2020-05-21,"Cumberland Plateau","Not Reported",1,0,0
2020-05-21,"Western Tidewater",Other,25,1,2
2020-05-21,Loudoun,"Black or African American",84,10,2
2020-05-21,"Virginia Beach",White,300,48,14
2020-05-21,"Prince William",Other,1079,154,9
2020-05-21,Arlington,"Not Reported",730,77,10
2020-05-21,"West Piedmont","Black or African American",28,5,0
2020-05-21,Peninsula,Other,27,6,1
2020-05-21,Norfolk,Other,26,4,0
2020-05-21,"Lord Fairfax","Black or African American",37,3,1
2020-05-21,"Mount Rogers","Not Reported",19,1,0
2020-05-21,"Central Virginia","Black or African American",19,2,1
2020-05-21,"West Piedmont",Other,12,1,1
2020-05-21,Portsmouth,White,54,9,2
2020-05-21,"Thomas Jefferson","Not Reported",20,0,0
2020-05-21,"Three Rivers","Not Reported",104,4,3
2020-05-21,"Virginia Beach","Black or African American",139,17,3
2020-05-21,"Prince William","Black or African American",387,76,18
2020-05-21,Loudoun,"Not Reported",680,4,6
2020-05-21,Loudoun,White,562,84,34
2020-05-21,Peninsula,"Not Reported",84,3,0
2020-05-21,Pittsylvania-Danville,"Black or African American",26,6,0
2020-05-21,Henrico,White,458,69,61
2020-05-21,Richmond,White,166,18,3
2020-05-21,Southside,"Black or African American",42,10,2
2020-05-21,Chickahominy,White,173,44,18
2020-05-21,"Thomas Jefferson",Other,45,5,1
2020-05-21,"Virginia Beach",Other,66,19,2
2020-05-21,"Central Shenandoah","Black or African American",63,3,2
2020-05-21,Chesterfield,White,334,34,20
2020-05-21,"Central Virginia",White,70,9,2
2020-05-21,Rappahannock,White,333,48,10
2020-05-21,"New River",White,56,11,1
2020-05-21,"Mount Rogers",Other,23,1,0
2020-05-21,Crater,White,84,17,5
2020-05-21,Alleghany,"Not Reported",46,3,0
2020-05-21,Arlington,Other,371,109,17
2020-05-21,Piedmont,White,152,7,3
2020-05-21,"Cumberland Plateau",Other,0,0,0
2020-05-21,Pittsylvania-Danville,White,34,14,2
2020-05-21,"Three Rivers",White,153,16,3
2020-05-21,"Central Virginia","Not Reported",88,3,0
2020-05-21,"Eastern Shore",Other,26,2,1
2020-05-21,Crater,"Black or African American",258,59,7
2020-05-21,"Mount Rogers","Black or African American",2,0,0
2020-05-21,"Central Shenandoah",White,841,82,24
2020-05-21,Southside,White,55,12,6
2020-05-21,Southside,"Not Reported",109,11,8
2020-05-21,Chesapeake,White,190,34,6
2020-05-21,"New River",Other,0,0,0
2020-05-21,Norfolk,"Black or African American",198,37,4
2020-05-21,"Central Shenandoah",Other,205,13,1
2020-05-21,Southside,Other,29,1,5
2020-05-21,Pittsylvania-Danville,Other,1,0,0
2020-05-21,"Cumberland Plateau",White,19,2,0
2020-05-21,"Rappahannock Rapidan","Black or African American",39,10,1
2020-05-21,Fairfax,"Not Reported",2165,98,85
2020-05-21,Chesapeake,"Not Reported",37,2,0
2020-05-21,"Thomas Jefferson",White,222,27,8
2020-05-21,Richmond,Other,210,32,1
2020-05-21,Peninsula,"Black or African American",138,31,9
2020-05-21,Henrico,Other,151,12,3
2020-05-21,"Cumberland Plateau","Black or African American",12,0,0
2020-05-21,Loudoun,Other,374,49,7
2020-05-21,Crater,Other,17,2,1
2020-05-21,Arlington,"Black or African American",124,48,21
2020-05-21,Alexandria,"Black or African American",238,49,8
2020-05-21,Richmond,"Black or African American",312,70,16
2020-05-21,"Lord Fairfax","Not Reported",142,2,4
2020-05-21,Fairfax,"Black or African American",559,126,22
2020-05-21,"Thomas Jefferson","Black or African American",107,36,4
2020-05-21,"West Piedmont",White,62,6,2
2020-05-21,Rappahannock,"Not Reported",393,22,0
2020-05-21,"Central Shenandoah","Not Reported",205,6,1
2020-05-21,Peninsula,White,270,73,21
2020-05-21,"Rappahannock Rapidan",White,361,31,8
2020-05-21,"Prince William",White,1072,226,59
2020-05-21,"New River","Not Reported",29,0,0
2020-05-21,Chesterfield,"Not Reported",546,3,9
2020-05-21,Alleghany,Other,2,0,0
2020-05-21,Lenowisco,White,34,14,3
2020-05-21,"Western Tidewater",White,145,22,16
2020-05-21,Hampton,Other,7,2,0
2020-05-21,Alleghany,White,117,20,6
2020-05-21,Chickahominy,Other,14,5,0
2020-05-21,"New River","Black or African American",5,1,0
2020-05-21,"Virginia Beach","Not Reported",79,3,0
