Report Date,FIPS,Locality,Health District,Total Cases
2020-04-10,51001,Accomack,Eastern Shore,12
2020-04-10,51005,Alleghany,Alleghany,2
2020-04-10,51007,Amelia,Piedmont,9
2020-04-10,51017,Bath,Central Shenandoah,0
2020-04-10,51023,Botetourt,Alleghany,21
2020-04-10,51041,Chesterfield,Chesterfield,179
2020-04-10,51045,Craig,Alleghany,2
2020-04-10,51051,Dickenson,Cumberland Plateau,0
2020-04-10,51059,Fairfax,Fairfax,777
2020-04-10,51061,Fauquier,Rappahannock Rapidan,23
2020-04-10,51063,Floyd,New River,0
2020-04-10,51065,Fluvanna,Thomas Jefferson,15
2020-04-10,51067,Franklin County,West Piedmont,13
2020-04-10,51069,Frederick,Lord Fairfax,62
2020-04-10,51071,Giles,New River,2
2020-04-10,51073,Gloucester,Three Rivers,18
2020-04-10,51075,Goochland,Chickahominy,26
2020-04-10,51089,Henry,West Piedmont,5
2020-04-10,51095,James City,Peninsula,125
2020-04-10,51099,King George,Rappahannock,14
2020-04-10,51101,King William,Three Rivers,2
2020-04-10,51103,Lancaster,Three Rivers,1
2020-04-10,51107,Loudoun,Loudoun,274
2020-04-10,51117,Mecklenburg,Southside,48
2020-04-10,51121,Montgomery,New River,18
2020-04-10,51125,Nelson,Thomas Jefferson,4
2020-04-10,51135,Nottoway,Piedmont,3
2020-04-10,51137,Orange,Rappahannock Rapidan,14
2020-04-10,51139,Page,Lord Fairfax,5
2020-04-10,51147,Prince Edward,Piedmont,5
2020-04-10,51157,Rappahannock,Rappahannock Rapidan,1
2020-04-10,51159,Richmond County,Three Rivers,5
2020-04-10,51161,Roanoke County,Alleghany,13
2020-04-10,51169,Scott,Lenowisco,3
2020-04-10,51171,Shenandoah,Lord Fairfax,15
2020-04-10,51173,Smyth,Mount Rogers,9
2020-04-10,51175,Southampton,Western Tidewater,5
2020-04-10,51177,Spotsylvania,Rappahannock,43
2020-04-10,51179,Stafford,Rappahannock,60
2020-04-10,51181,Surry,Crater,3
2020-04-10,51183,Sussex,Crater,8
2020-04-10,51191,Washington,Mount Rogers,17
2020-04-10,51195,Wise,Lenowisco,8
2020-04-10,51530,Buena Vista City,Central Shenandoah,4
2020-04-10,51540,Charlottesville,Thomas Jefferson,28
2020-04-10,51570,Colonial Heights,Chesterfield,4
2020-04-10,51580,Covington,Alleghany,1
2020-04-10,51595,Emporia,Crater,5
