"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-29,Southside,392,48,28
2020-06-29,Chesapeake,887,130,20
2020-06-29,"Thomas Jefferson",916,88,19
2020-06-29,Roanoke,403,14,10
2020-06-29,"Eastern Shore",1308,110,42
2020-06-29,"Mount Rogers",700,72,29
2020-06-29,Chickahominy,639,107,36
2020-06-29,"New River",230,22,5
2020-06-29,"Central Virginia",371,16,5
2020-06-29,Piedmont,1008,84,10
2020-06-29,"Lord Fairfax",1965,172,66
2020-06-29,Crater,1466,143,28
2020-06-29,Hampton,316,41,5
2020-06-29,Alexandria,2317,238,57
2020-06-29,Fairfax,13966,1627,493
2020-06-29,Richmond,2195,218,30
2020-06-29,Arlington,2466,418,132
2020-06-29,"Rappahannock Rapidan",1434,107,20
2020-06-29,Rappahannock,2442,219,42
2020-06-29,Pittsylvania-Danville,199,41,3
2020-06-29,"Prince William",9022,793,160
2020-06-29,"Cumberland Plateau",61,2,0
2020-06-29,Portsmouth,471,68,16
2020-06-29,"Virginia Beach",1145,118,29
2020-06-29,"West Piedmont",438,38,7
2020-06-29,"Three Rivers",641,49,9
2020-06-29,Alleghany,420,31,14
2020-06-29,Lenowisco,50,16,4
2020-06-29,Norfolk,889,104,9
2020-06-29,"Western Tidewater",786,83,46
2020-06-29,Henrico,2584,251,141
2020-06-29,"Central Shenandoah",2042,165,36
2020-06-29,Loudoun,3968,271,87
2020-06-29,Chesterfield,3091,134,68
2020-06-29,Peninsula,961,126,34
