"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-15,Southside,"Not Reported",139,22,10
2020-05-15,"Lord Fairfax","Hispanic or Latino",193,16,4
2020-05-15,"Eastern Shore","Not Hispanic or Latino",602,37,13
2020-05-15,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-15,Fairfax,"Not Reported",1881,98,88
2020-05-15,Richmond,"Hispanic or Latino",171,22,1
2020-05-15,Chesapeake,"Not Reported",96,6,0
2020-05-15,Arlington,"Hispanic or Latino",394,115,6
2020-05-15,"West Piedmont","Not Hispanic or Latino",50,7,2
2020-05-15,Fairfax,"Not Hispanic or Latino",2002,516,167
2020-05-15,Piedmont,"Hispanic or Latino",15,0,0
2020-05-15,Crater,"Not Hispanic or Latino",185,47,7
2020-05-15,Chickahominy,"Not Hispanic or Latino",159,54,22
2020-05-15,"New River","Not Hispanic or Latino",55,12,1
2020-05-15,"Lord Fairfax","Not Reported",216,11,7
2020-05-15,Rappahannock,"Not Reported",311,20,1
2020-05-15,"Central Shenandoah","Not Reported",213,4,5
2020-05-15,"Central Virginia","Not Hispanic or Latino",62,11,2
2020-05-15,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-15,"Cumberland Plateau","Not Hispanic or Latino",15,2,0
2020-05-15,"Western Tidewater","Not Hispanic or Latino",310,55,27
2020-05-15,"New River","Not Reported",30,0,0
2020-05-15,Chesterfield,"Not Reported",641,17,18
2020-05-15,Chesterfield,"Hispanic or Latino",127,4,0
2020-05-15,Hampton,"Not Hispanic or Latino",108,28,3
2020-05-15,Chesapeake,"Not Hispanic or Latino",265,65,9
2020-05-15,Peninsula,"Hispanic or Latino",38,9,1
2020-05-15,Arlington,"Not Reported",755,78,15
2020-05-15,Roanoke,"Not Hispanic or Latino",70,7,1
2020-05-15,"Lord Fairfax","Not Hispanic or Latino",406,48,21
2020-05-15,"Eastern Shore","Hispanic or Latino",129,4,3
2020-05-15,"Mount Rogers","Not Reported",18,2,0
2020-05-15,"Three Rivers","Not Hispanic or Latino",206,20,3
2020-05-15,"Thomas Jefferson","Not Reported",34,0,0
2020-05-15,"Three Rivers","Not Reported",130,10,3
2020-05-15,Arlington,"Not Hispanic or Latino",385,113,50
2020-05-15,Alleghany,"Not Hispanic or Latino",102,17,3
2020-05-15,Loudoun,"Not Reported",486,6,7
2020-05-15,Fairfax,"Hispanic or Latino",3362,436,25
2020-05-15,Peninsula,"Not Reported",86,3,2
2020-05-15,Crater,"Hispanic or Latino",18,1,0
2020-05-15,Piedmont,"Not Hispanic or Latino",237,26,3
2020-05-15,Henrico,"Hispanic or Latino",82,15,3
2020-05-15,Alexandria,"Not Hispanic or Latino",459,82,25
2020-05-15,"Central Virginia","Hispanic or Latino",15,2,1
2020-05-15,Alleghany,"Not Reported",44,2,1
2020-05-15,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-15,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-15,Chesterfield,"Not Hispanic or Latino",275,51,18
2020-05-15,Pittsylvania-Danville,"Not Hispanic or Latino",46,17,2
2020-05-15,"Mount Rogers","Hispanic or Latino",84,0,0
2020-05-15,Richmond,"Not Reported",193,13,1
2020-05-15,Peninsula,"Not Hispanic or Latino",350,99,28
2020-05-15,Chesapeake,"Hispanic or Latino",18,5,1
2020-05-15,Southside,"Hispanic or Latino",2,1,0
2020-05-15,"Thomas Jefferson","Not Hispanic or Latino",307,64,13
2020-05-15,Norfolk,"Not Hispanic or Latino",240,50,5
