"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-04,Southside,"Not Reported",4,0,0
2020-07-04,Chesapeake,Female,573,80,10
2020-07-04,Richmond,Female,1086,102,8
2020-07-04,Roanoke,Male,219,7,3
2020-07-04,Fairfax,"Not Reported",105,3,3
2020-07-04,"Thomas Jefferson",Female,537,53,13
2020-07-04,Chesapeake,"Not Reported",1,0,0
2020-07-04,"Cumberland Plateau",Male,27,1,0
2020-07-04,"Eastern Shore",Female,659,59,23
2020-07-04,"Lord Fairfax","Not Reported",7,0,0
2020-07-04,Rappahannock,"Not Reported",6,1,0
2020-07-04,"Central Shenandoah","Not Reported",1,0,0
2020-07-04,Peninsula,Male,490,64,13
2020-07-04,Norfolk,Male,515,60,9
2020-07-04,Alexandria,Female,1210,109,30
2020-07-04,Lenowisco,Male,28,8,3
2020-07-04,Pittsylvania-Danville,Female,129,22,2
2020-07-04,"New River","Not Reported",3,0,0
2020-07-04,Chesterfield,"Not Reported",77,0,2
2020-07-04,Loudoun,Male,2066,154,34
2020-07-04,"Rappahannock Rapidan",Female,722,44,9
2020-07-04,Piedmont,Female,306,41,4
2020-07-04,Richmond,Male,1136,122,19
2020-07-04,Crater,Female,663,81,22
2020-07-04,Portsmouth,Female,261,43,11
2020-07-04,Arlington,"Not Reported",1,0,0
2020-07-04,"Mount Rogers","Not Reported",2,0,0
2020-07-04,"Thomas Jefferson","Not Reported",0,0,0
2020-07-04,"Three Rivers","Not Reported",18,0,0
2020-07-04,Hampton,Male,160,26,3
2020-07-04,Alleghany,Male,248,21,5
2020-07-04,Roanoke,Female,250,7,7
2020-07-04,Loudoun,"Not Reported",19,0,1
2020-07-04,Fairfax,Female,7187,727,251
2020-07-04,"Western Tidewater",Male,416,55,30
2020-07-04,Peninsula,"Not Reported",4,0,0
2020-07-04,"New River",Male,131,14,4
2020-07-04,"Central Shenandoah",Male,984,81,19
2020-07-04,Southside,Male,171,25,12
2020-07-04,Chesterfield,Male,1571,78,35
2020-07-04,Arlington,Female,1243,191,63
2020-07-04,Rappahannock,Male,1185,124,26
2020-07-04,"Central Virginia",Male,220,9,4
2020-07-04,Alleghany,"Not Reported",3,0,0
2020-07-04,Henrico,Male,1194,138,77
2020-07-04,"Thomas Jefferson",Male,488,46,12
2020-07-04,"Lord Fairfax",Male,988,95,36
2020-07-04,"Three Rivers",Male,432,18,2
2020-07-04,Richmond,"Not Reported",40,2,2
2020-07-04,Pittsylvania-Danville,Male,96,20,1
2020-07-04,Portsmouth,"Not Reported",3,0,0
2020-07-04,Norfolk,"Not Reported",0,0,0
2020-07-04,Chesapeake,Male,429,67,11
2020-07-04,Chickahominy,Female,370,56,19
2020-07-04,"Prince William",Male,4648,451,99
2020-07-04,"Eastern Shore","Not Reported",9,0,0
2020-07-04,"Eastern Shore",Male,646,54,19
2020-07-04,"Rappahannock Rapidan",Male,742,64,12
2020-07-04,Henrico,"Not Reported",11,0,1
2020-07-04,"Cumberland Plateau",Female,39,1,0
2020-07-04,"West Piedmont",Male,237,22,4
2020-07-04,Hampton,"Not Reported",3,0,0
2020-07-04,Alexandria,"Not Reported",6,0,0
2020-07-04,"Western Tidewater","Not Reported",2,0,0
2020-07-04,"Cumberland Plateau","Not Reported",0,0,0
2020-07-04,"Virginia Beach",Male,600,65,16
2020-07-04,Alleghany,Female,286,10,10
2020-07-04,Lenowisco,Female,28,9,1
2020-07-04,"Virginia Beach","Not Reported",9,0,0
2020-07-04,"Western Tidewater",Female,431,34,25
2020-07-04,"Mount Rogers",Male,339,50,18
2020-07-04,"Lord Fairfax",Female,1073,88,35
2020-07-04,Piedmont,"Not Reported",5,0,0
2020-07-04,Alexandria,Male,1141,130,27
2020-07-04,Pittsylvania-Danville,"Not Reported",2,0,0
2020-07-04,"West Piedmont","Not Reported",5,0,0
2020-07-04,Loudoun,Female,2090,125,56
2020-07-04,Hampton,Female,197,15,2
2020-07-04,Henrico,Female,1458,123,80
2020-07-04,"Prince William","Not Reported",66,1,0
2020-07-04,Chickahominy,Male,296,55,20
2020-07-04,"Rappahannock Rapidan","Not Reported",2,1,1
2020-07-04,Peninsula,Female,560,63,21
2020-07-04,Lenowisco,"Not Reported",0,0,0
2020-07-04,Crater,"Not Reported",13,1,0
2020-07-04,Chickahominy,"Not Reported",3,0,0
2020-07-04,Portsmouth,Male,275,30,7
2020-07-04,"New River",Female,121,8,1
2020-07-04,Rappahannock,Female,1327,102,18
2020-07-04,"Central Virginia",Female,210,7,1
2020-07-04,Roanoke,"Not Reported",7,0,0
2020-07-04,"West Piedmont",Female,264,23,3
2020-07-04,"Mount Rogers",Female,408,24,14
2020-07-04,Piedmont,Male,754,48,9
2020-07-04,Chesterfield,Female,1553,71,36
2020-07-04,Fairfax,Male,6905,944,256
2020-07-04,Crater,Male,907,72,16
2020-07-04,"Central Virginia","Not Reported",0,0,0
2020-07-04,"Prince William",Female,4640,370,72
2020-07-04,"Virginia Beach",Female,691,58,14
2020-07-04,Norfolk,Female,552,53,3
2020-07-04,"Three Rivers",Female,199,32,7
2020-07-04,Arlington,Male,1275,230,68
2020-07-04,"Central Shenandoah",Female,1145,92,21
2020-07-04,Southside,Female,245,25,18
