"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-17,Southside,"Not Reported",103,11,5
2020-05-17,Chesapeake,White,162,30,3
2020-05-17,"New River",Other,0,0,0
2020-05-17,Norfolk,"Black or African American",188,35,3
2020-05-17,"Central Shenandoah",Other,187,11,1
2020-05-17,Southside,Other,26,1,4
2020-05-17,Pittsylvania-Danville,Other,1,0,0
2020-05-17,"Cumberland Plateau",White,18,2,0
2020-05-17,"Rappahannock Rapidan","Black or African American",31,6,1
2020-05-17,Fairfax,"Not Reported",1913,92,77
2020-05-17,Chesapeake,"Not Reported",51,2,0
2020-05-17,"Thomas Jefferson",White,216,25,8
2020-05-17,Richmond,Other,171,25,1
2020-05-17,Peninsula,"Black or African American",136,31,9
2020-05-17,Henrico,Other,124,12,3
2020-05-17,"Cumberland Plateau","Black or African American",11,0,0
2020-05-17,Loudoun,Other,327,48,7
2020-05-17,Crater,Other,12,2,1
2020-05-17,Arlington,"Black or African American",108,41,16
2020-05-17,Alexandria,"Black or African American",221,44,6
2020-05-17,Richmond,"Black or African American",287,65,16
2020-05-17,"Lord Fairfax","Not Reported",126,2,4
2020-05-17,Fairfax,"Black or African American",518,119,19
2020-05-17,"Thomas Jefferson","Black or African American",105,35,4
2020-05-17,"West Piedmont",White,49,6,2
2020-05-17,Rappahannock,"Not Reported",347,21,0
2020-05-17,"Central Shenandoah","Not Reported",194,6,1
2020-05-17,Peninsula,White,258,72,21
2020-05-17,"Rappahannock Rapidan",White,268,25,8
2020-05-17,"Prince William",White,872,181,52
2020-05-17,"New River","Not Reported",28,0,0
2020-05-17,Chesterfield,"Not Reported",484,3,9
2020-05-17,Alleghany,Other,2,0,0
2020-05-17,Lenowisco,White,32,14,3
2020-05-17,"Western Tidewater",White,144,22,14
2020-05-17,Hampton,Other,7,2,0
2020-05-17,Alleghany,White,110,19,6
2020-05-17,"Prince William",Other,945,137,8
2020-05-17,Arlington,"Not Reported",700,78,10
2020-05-17,"West Piedmont","Black or African American",15,5,0
2020-05-17,Peninsula,Other,27,6,1
2020-05-17,Norfolk,Other,22,4,0
2020-05-17,"Lord Fairfax","Black or African American",29,3,1
2020-05-17,"Mount Rogers","Not Reported",18,1,0
