"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-15,Central,Confirmed,3,0,0
2020-06-15,Northern,Confirmed,1,1,2
2020-06-15,Northwest,Confirmed,7,0,0
2020-06-15,Southwest,Confirmed,1,0,0
2020-06-14,Central,Confirmed,4,1,1
2020-06-14,Eastern,Confirmed,3,1,0
2020-06-14,Northern,Confirmed,7,2,0
2020-06-14,Northwest,Confirmed,5,3,1
2020-06-14,Southwest,Confirmed,2,0,0
2020-06-13,Central,Confirmed,15,1,0
2020-06-13,Eastern,Confirmed,18,3,1
2020-06-13,Northern,Confirmed,13,1,1
2020-06-13,Northwest,Confirmed,10,2,0
2020-06-13,Northwest,Probable,2,0,0
2020-06-12,Central,Confirmed,38,8,0
2020-06-12,Eastern,Confirmed,34,6,0
2020-06-12,Eastern,Probable,1,0,0
2020-06-12,Northern,Confirmed,46,11,0
2020-06-12,Northern,Probable,1,0,0
2020-06-12,Northwest,Confirmed,51,3,1
2020-06-12,Northwest,Probable,3,0,0
2020-06-12,Southwest,Confirmed,16,0,0
2020-06-11,Central,Confirmed,68,2,0
2020-06-11,Eastern,Confirmed,42,1,1
2020-06-11,Eastern,Probable,1,0,0
2020-06-11,Northern,Confirmed,72,7,2
2020-06-11,Northern,Probable,1,0,0
2020-06-11,Northwest,Confirmed,30,2,1
2020-06-11,Northwest,Probable,1,0,0
2020-06-11,Southwest,Confirmed,17,1,0
2020-06-10,Central,Confirmed,98,4,1
2020-06-10,Eastern,Confirmed,64,1,0
2020-06-10,Northern,Confirmed,129,8,2
2020-06-10,Northwest,Confirmed,43,6,3
2020-06-10,Northwest,Probable,6,0,0
2020-06-10,Southwest,Confirmed,34,2,1
2020-06-10,Southwest,Probable,0,0,1
2020-06-09,Central,Confirmed,120,5,1
2020-06-09,Eastern,Confirmed,67,3,1
2020-06-09,Northern,Confirmed,124,4,3
2020-06-09,Northern,Probable,2,1,0
2020-06-09,Northwest,Confirmed,57,6,2
2020-06-09,Northwest,Probable,6,0,0
2020-06-09,Southwest,Confirmed,33,4,1
2020-06-08,Central,Confirmed,92,4,1
2020-06-08,Eastern,Confirmed,55,2,1
2020-06-08,Northern,Confirmed,153,7,2
2020-06-08,Northern,Probable,4,0,1
2020-06-08,Northwest,Confirmed,70,1,1
2020-06-08,Northwest,Probable,7,0,0
2020-06-08,Southwest,Confirmed,30,3,1
2020-06-07,Central,Confirmed,43,2,1
2020-06-07,Eastern,Confirmed,35,2,2
2020-06-07,Eastern,Probable,1,0,0
2020-06-07,Northern,Confirmed,94,9,4
2020-06-07,Northern,Probable,2,0,0
2020-06-07,Northwest,Confirmed,43,0,3
2020-06-07,Northwest,Probable,6,0,0
2020-06-07,Southwest,Confirmed,14,3,2
2020-06-07,Southwest,Probable,1,1,0
2020-06-06,Central,Confirmed,77,3,0
2020-06-06,Eastern,Confirmed,23,2,0
2020-06-06,Northern,Confirmed,107,13,3
2020-06-06,Northern,Probable,2,0,0
2020-06-06,Northwest,Confirmed,45,4,1
2020-06-06,Northwest,Probable,2,0,0
2020-06-06,Southwest,Confirmed,29,3,0
2020-06-05,Central,Confirmed,91,7,0
2020-06-05,Eastern,Confirmed,67,2,1
2020-06-05,Eastern,Probable,2,0,0
2020-06-05,Northern,Confirmed,178,17,3
2020-06-05,Northern,Probable,3,0,0
2020-06-05,Northwest,Confirmed,70,4,1
2020-06-05,Northwest,Probable,12,0,0
2020-06-05,Southwest,Confirmed,37,2,1
2020-06-04,Central,Confirmed,122,8,1
2020-06-04,Eastern,Confirmed,41,8,1
2020-06-04,Northern,Confirmed,186,15,2
2020-06-04,Northern,Probable,1,0,0
2020-06-04,Northwest,Confirmed,80,3,0
2020-06-04,Northwest,Probable,9,0,1
2020-06-04,Southwest,Confirmed,24,4,1
2020-06-03,Central,Confirmed,129,7,2
2020-06-03,Eastern,Confirmed,47,3,2
2020-06-03,Northern,Confirmed,239,16,8
2020-06-03,Northern,Probable,3,0,0
2020-06-03,Northwest,Confirmed,62,4,2
2020-06-03,Northwest,Probable,5,0,0
2020-06-03,Southwest,Confirmed,39,1,0
2020-06-02,Central,Confirmed,173,7,0
2020-06-02,Eastern,Confirmed,47,1,1
2020-06-02,Northern,Confirmed,230,19,8
2020-06-02,Northern,Probable,4,0,1
2020-06-02,Northwest,Confirmed,95,5,1
2020-06-02,Northwest,Probable,11,0,0
2020-06-02,Southwest,Confirmed,35,1,2
2020-06-01,Central,Confirmed,168,9,0
2020-06-01,Central,Probable,0,1,0
2020-06-01,Eastern,Confirmed,51,4,1
2020-06-01,Northern,Confirmed,347,16,6
2020-06-01,Northern,Probable,9,0,0
2020-06-01,Northwest,Confirmed,104,6,1
2020-06-01,Northwest,Probable,6,0,0
2020-06-01,Southwest,Confirmed,46,2,0
2020-06-01,Southwest,Probable,1,0,0
2020-05-31,Central,Confirmed,121,7,0
2020-05-31,Eastern,Confirmed,36,1,0
2020-05-31,Eastern,Probable,2,0,0
2020-05-31,Northern,Confirmed,162,15,6
2020-05-31,Northern,Probable,6,0,0
2020-05-31,Northwest,Confirmed,47,11,2
2020-05-31,Northwest,Probable,4,0,0
2020-05-31,Southwest,Confirmed,31,2,2
2020-05-31,Southwest,Probable,1,0,0
2020-05-30,Central,Confirmed,144,1,3
2020-05-30,Eastern,Confirmed,57,6,1
2020-05-30,Northern,Confirmed,182,19,4
2020-05-30,Northern,Probable,2,0,0
2020-05-30,Northwest,Confirmed,74,6,1
2020-05-30,Northwest,Probable,7,0,0
2020-05-30,Southwest,Confirmed,29,2,3
2020-05-30,Southwest,Probable,2,0,0
2020-05-29,Central,Confirmed,129,16,2
2020-05-29,Central,Probable,0,1,0
2020-05-29,Eastern,Confirmed,36,7,2
2020-05-29,Eastern,Probable,1,0,0
2020-05-29,Northern,Confirmed,367,22,4
2020-05-29,Northern,Probable,7,0,0
2020-05-29,Northwest,Confirmed,151,6,1
2020-05-29,Northwest,Probable,6,0,0
2020-05-29,Southwest,Confirmed,53,1,0
2020-05-28,Central,Confirmed,134,9,1
2020-05-28,Eastern,Confirmed,66,9,2
2020-05-28,Eastern,Probable,3,0,0
2020-05-28,Northern,Confirmed,417,25,10
2020-05-28,Northern,Probable,7,0,0
2020-05-28,Northwest,Confirmed,95,7,2
2020-05-28,Northwest,Probable,6,0,0
2020-05-28,Southwest,Confirmed,48,2,1
2020-05-27,Central,Confirmed,268,12,1
2020-05-27,Central,Probable,11,0,0
2020-05-27,Eastern,Confirmed,60,1,0
2020-05-27,Eastern,Probable,5,0,0
2020-05-27,Northern,Confirmed,348,17,8
2020-05-27,Northern,Probable,13,0,0
2020-05-27,Northwest,Confirmed,116,6,4
2020-05-27,Northwest,Probable,7,0,0
2020-05-27,Southwest,Confirmed,35,3,0
2020-05-26,Central,Confirmed,169,7,1
2020-05-26,Eastern,Confirmed,84,2,2
2020-05-26,Eastern,Probable,0,0,1
2020-05-26,Northern,Confirmed,381,29,16
2020-05-26,Northern,Probable,19,0,0
2020-05-26,Northwest,Confirmed,131,8,3
2020-05-26,Northwest,Probable,9,0,0
2020-05-26,Southwest,Confirmed,55,3,0
2020-05-26,Southwest,Probable,2,0,0
2020-05-25,Central,Confirmed,106,16,2
2020-05-25,Central,Probable,6,0,0
2020-05-25,Eastern,Confirmed,62,6,1
2020-05-25,Eastern,Probable,3,1,0
2020-05-25,Northern,Confirmed,375,30,4
2020-05-25,Northern,Probable,14,0,0
2020-05-25,Northwest,Confirmed,84,4,0
2020-05-25,Northwest,Probable,7,0,0
2020-05-25,Southwest,Confirmed,23,5,0
2020-05-24,Central,Confirmed,137,2,4
2020-05-24,Central,Probable,2,0,0
2020-05-24,Eastern,Confirmed,34,3,1
2020-05-24,Eastern,Probable,7,0,0
2020-05-24,Northern,Confirmed,295,33,11
2020-05-24,Northern,Probable,7,0,2
2020-05-24,Northwest,Confirmed,89,11,1
2020-05-24,Northwest,Probable,11,0,0
2020-05-24,Southwest,Confirmed,19,1,1
2020-05-24,Southwest,Probable,1,0,0
2020-05-23,Central,Confirmed,111,8,4
2020-05-23,Central,Probable,2,0,0
2020-05-23,Eastern,Confirmed,44,6,1
2020-05-23,Eastern,Probable,1,0,0
2020-05-23,Northern,Confirmed,334,29,11
2020-05-23,Northern,Probable,3,0,2
2020-05-23,Northwest,Confirmed,118,10,2
2020-05-23,Northwest,Probable,8,0,0
2020-05-23,Southwest,Confirmed,27,10,1
2020-05-23,Southwest,Probable,1,0,0
2020-05-22,Central,Confirmed,195,11,3
2020-05-22,Eastern,Confirmed,60,6,2
2020-05-22,Eastern,Probable,1,0,0
2020-05-22,Northern,Confirmed,459,39,10
2020-05-22,Northern,Probable,12,0,1
2020-05-22,Northwest,Confirmed,120,8,0
2020-05-22,Northwest,Probable,8,0,0
2020-05-22,Southwest,Confirmed,40,6,2
2020-05-21,Central,Confirmed,402,6,1
2020-05-21,Eastern,Confirmed,54,8,0
2020-05-21,Eastern,Probable,3,0,0
2020-05-21,Northern,Confirmed,474,31,11
2020-05-21,Northern,Probable,6,0,1
2020-05-21,Northwest,Confirmed,95,6,2
2020-05-21,Northwest,Probable,9,0,0
2020-05-21,Southwest,Confirmed,26,2,0
2020-05-20,Central,Confirmed,263,16,2
2020-05-20,Eastern,Confirmed,77,2,0
2020-05-20,Eastern,Probable,1,0,0
2020-05-20,Northern,Confirmed,591,29,10
2020-05-20,Northern,Probable,15,1,0
2020-05-20,Northwest,Confirmed,112,4,3
2020-05-20,Northwest,Probable,10,0,0
2020-05-20,Southwest,Confirmed,57,4,1
2020-05-20,Southwest,Probable,7,0,0
2020-05-19,Central,Confirmed,241,7,2
2020-05-19,Eastern,Confirmed,56,10,3
2020-05-19,Eastern,Probable,1,0,0
2020-05-19,Northern,Confirmed,571,30,13
2020-05-19,Northern,Probable,13,0,0
2020-05-19,Northwest,Confirmed,118,15,1
2020-05-19,Northwest,Probable,11,0,0
2020-05-19,Southwest,Confirmed,24,4,0
2020-05-19,Southwest,Probable,3,0,0
2020-05-18,Central,Confirmed,238,8,2
2020-05-18,Eastern,Confirmed,100,6,2
2020-05-18,Eastern,Probable,6,0,1
2020-05-18,Northern,Confirmed,684,33,11
2020-05-18,Northern,Probable,15,0,0
2020-05-18,Northwest,Confirmed,191,14,0
2020-05-18,Northwest,Probable,13,0,0
2020-05-18,Southwest,Confirmed,47,5,1
2020-05-17,Central,Confirmed,116,8,1
2020-05-17,Central,Probable,0,0,1
2020-05-17,Eastern,Confirmed,43,8,2
2020-05-17,Eastern,Probable,1,0,0
2020-05-17,Northern,Confirmed,367,40,13
2020-05-17,Northern,Probable,9,0,0
2020-05-17,Northwest,Confirmed,102,10,2
2020-05-17,Northwest,Probable,17,0,0
2020-05-17,Southwest,Confirmed,24,3,0
2020-05-17,Southwest,Probable,1,0,0
2020-05-16,Central,Confirmed,116,5,3
2020-05-16,Eastern,Confirmed,63,3,4
2020-05-16,Eastern,Probable,2,0,0
2020-05-16,Northern,Confirmed,434,31,13
2020-05-16,Northern,Probable,13,0,0
2020-05-16,Northwest,Confirmed,133,6,4
2020-05-16,Northwest,Probable,9,0,0
2020-05-16,Southwest,Confirmed,17,4,0
2020-05-16,Southwest,Probable,1,0,0
2020-05-15,Central,Confirmed,175,7,4
2020-05-15,Central,Probable,2,0,0
2020-05-15,Eastern,Confirmed,60,5,2
2020-05-15,Northern,Confirmed,626,38,9
2020-05-15,Northern,Probable,20,0,0
2020-05-15,Northwest,Confirmed,158,7,3
2020-05-15,Northwest,Probable,14,1,0
2020-05-15,Southwest,Confirmed,36,1,1
2020-05-14,Central,Confirmed,142,8,2
2020-05-14,Eastern,Confirmed,72,5,2
