"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-28,Southside,391,48,28
2020-06-28,Chesapeake,879,128,20
2020-06-28,"Thomas Jefferson",912,88,19
2020-06-28,Roanoke,368,14,10
2020-06-28,"Eastern Shore",1308,110,42
2020-06-28,"Mount Rogers",695,72,29
2020-06-28,Chickahominy,635,107,36
2020-06-28,"New River",215,22,5
2020-06-28,"Central Virginia",360,16,5
2020-06-28,Piedmont,999,82,10
2020-06-28,"Lord Fairfax",1958,171,66
2020-06-28,Crater,1457,142,26
2020-06-28,Hampton,310,41,5
2020-06-28,Alexandria,2312,238,57
2020-06-28,Fairfax,13904,1625,487
2020-06-28,Richmond,2184,214,30
2020-06-28,Arlington,2464,417,132
2020-06-28,"Rappahannock Rapidan",1433,107,20
2020-06-28,Rappahannock,2435,219,42
2020-06-28,Pittsylvania-Danville,188,39,3
2020-06-28,"Prince William",9019,790,160
2020-06-28,"Cumberland Plateau",58,2,0
2020-06-28,Portsmouth,459,68,16
2020-06-28,"Virginia Beach",1123,118,29
2020-06-28,"West Piedmont",429,38,7
2020-06-28,"Three Rivers",635,49,9
2020-06-28,Alleghany,370,31,14
2020-06-28,Lenowisco,50,16,4
2020-06-28,Norfolk,855,101,9
2020-06-28,"Western Tidewater",777,83,46
2020-06-28,Henrico,2579,250,141
2020-06-28,"Central Shenandoah",2025,165,36
2020-06-28,Loudoun,3932,265,87
2020-06-28,Chesterfield,3076,134,68
2020-06-28,Peninsula,942,126,34
