"﻿Date VDH Notified","Facility Type Group","Number of Outbreaks"
6/27/2020,"Congregate Setting",1
3/26/2020,"Healthcare Setting",1
5/18/2020,"Long Term Care Facilities",2
4/23/2020,"Congregate Setting",3
6/10/2020,"Educational Setting",1
6/15/2020,"Congregate Setting",2
5/13/2020,"Congregate Setting",1
3/31/2020,"Healthcare Setting",1
4/29/2020,"Correctional Facility",2
5/8/2020,"Long Term Care Facilities",1
6/1/2020,"Correctional Facility",1
4/10/2020,"Congregate Setting",2
4/8/2020,"Healthcare Setting",1
6/10/2020,"Congregate Setting",2
6/21/2020,"Congregate Setting",1
6/18/2020,"Long Term Care Facilities",1
5/1/2020,"Healthcare Setting",1
3/29/2020,"Healthcare Setting",1
5/19/2020,"Long Term Care Facilities",2
5/15/2020,"Correctional Facility",1
4/24/2020,"Congregate Setting",2
3/31/2020,"Long Term Care Facilities",4
6/16/2020,"Congregate Setting",1
6/22/2020,"Congregate Setting",4
6/15/2020,"Long Term Care Facilities",3
6/24/2020,"Long Term Care Facilities",3
4/8/2020,"Congregate Setting",1
5/9/2020,"Correctional Facility",1
6/4/2020,"Correctional Facility",1
4/10/2020,"Healthcare Setting",3
6/20/2020,"Long Term Care Facilities",1
5/7/2020,"Congregate Setting",4
5/19/2020,"Congregate Setting",2
5/13/2020,"Long Term Care Facilities",1
4/22/2020,"Long Term Care Facilities",3
6/17/2020,"Correctional Facility",1
4/23/2020,"Healthcare Setting",1
6/25/2020,"Congregate Setting",2
3/26/2020,"Congregate Setting",1
5/18/2020,"Congregate Setting",1
3/20/2020,"Congregate Setting",1
5/20/2020,"Congregate Setting",2
6/23/2020,"Congregate Setting",2
6/4/2020,"Long Term Care Facilities",5
6/29/2020,"Long Term Care Facilities",1
5/21/2020,"Congregate Setting",2
5/26/2020,"Congregate Setting",3
6/27/2020,"Long Term Care Facilities",1
4/2/2020,"Healthcare Setting",3
6/1/2020,"Educational Setting",1
5/22/2020,"Long Term Care Facilities",1
6/5/2020,"Long Term Care Facilities",2
4/19/2020,"Correctional Facility",1
4/23/2020,"Correctional Facility",1
4/23/2020,"Long Term Care Facilities",5
5/20/2020,"Long Term Care Facilities",2
6/11/2020,"Congregate Setting",2
6/8/2020,"Correctional Facility",1
5/26/2020,"Long Term Care Facilities",1
4/17/2020,"Healthcare Setting",1
6/2/2020,"Congregate Setting",5
4/9/2020,"Long Term Care Facilities",11
3/30/2020,"Long Term Care Facilities",2
5/29/2020,"Congregate Setting",1
4/29/2020,"Long Term Care Facilities",5
4/30/2020,"Healthcare Setting",1
3/13/2020,"Congregate Setting",1
6/23/2020,"Healthcare Setting",1
5/5/2020,"Congregate Setting",3
4/6/2020,"Long Term Care Facilities",3
5/17/2020,"Long Term Care Facilities",1
5/15/2020,"Educational Setting",1
5/30/2020,"Long Term Care Facilities",2
5/23/2020,"Long Term Care Facilities",1
5/22/2020,"Educational Setting",1
6/19/2020,"Healthcare Setting",1
4/18/2020,"Long Term Care Facilities",4
6/3/2020,"Congregate Setting",1
