"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-09,Norfolk,0-9,4,0,0
2020-05-09,"Cumberland Plateau",40-49,4,0,0
2020-05-09,"Eastern Shore",10-19,20,0,0
2020-05-09,"Mount Rogers",10-19,6,0,0
2020-05-09,"Rappahannock Rapidan",0-9,13,1,0
2020-05-09,"Three Rivers",0-9,2,0,0
2020-05-09,Henrico,40-49,141,13,0
2020-05-09,Alexandria,50-59,149,27,7
2020-05-09,Arlington,0-9,11,2,0
2020-05-09,Chickahominy,Missing,1,0,0
2020-05-09,"New River",20-29,20,0,0
2020-05-09,"Virginia Beach",20-29,54,1,0
2020-05-09,Chesapeake,50-59,66,14,1
2020-05-09,Alleghany,80+,18,5,2
2020-05-09,Fairfax,10-19,188,6,0
2020-05-09,Chesapeake,60-69,48,14,3
2020-05-09,"West Piedmont",Missing,0,0,0
2020-05-09,Peninsula,80+,33,22,12
2020-05-09,Crater,40-49,39,9,1
2020-05-09,Chesapeake,40-49,53,8,0
2020-05-09,"Thomas Jefferson",20-29,43,0,0
2020-05-09,"Lord Fairfax",20-29,109,0,0
2020-05-09,Norfolk,20-29,56,0,0
2020-05-09,Arlington,30-39,239,28,0
2020-05-09,"West Piedmont",60-69,14,1,0
2020-05-09,Henrico,50-59,145,19,5
2020-05-09,"West Piedmont",50-59,12,1,0
2020-05-09,"Cumberland Plateau",20-29,1,0,0
2020-05-09,Alexandria,70-79,67,28,8
2020-05-09,Portsmouth,20-29,25,2,0
2020-05-09,"Western Tidewater",30-39,36,1,0
2020-05-09,"Central Shenandoah",0-9,17,0,0
2020-05-09,Henrico,80+,226,51,57
2020-05-09,Alexandria,0-9,45,2,0
2020-05-09,Pittsylvania-Danville,40-49,9,4,0
2020-05-09,Henrico,20-29,92,6,0
2020-05-09,Roanoke,60-69,8,1,0
2020-05-09,Peninsula,30-39,46,5,1
2020-05-09,Alleghany,60-69,21,5,0
2020-05-09,"Prince William",70-79,111,35,14
2020-05-09,Norfolk,60-69,31,13,1
2020-05-09,Southside,40-49,13,3,0
2020-05-09,Chesterfield,30-39,156,1,0
2020-05-09,Loudoun,70-79,66,22,6
2020-05-09,"Central Virginia",40-49,20,0,0
2020-05-09,"New River",Missing,0,0,0
2020-05-09,Chickahominy,20-29,33,0,0
2020-05-09,"New River",0-9,2,0,0
2020-05-09,"Cumberland Plateau",0-9,0,0,0
2020-05-09,"Three Rivers",70-79,19,4,2
2020-05-09,"Rappahannock Rapidan",40-49,112,4,1
2020-05-09,Hampton,0-9,4,0,0
2020-05-09,Piedmont,50-59,72,6,0
2020-05-09,Rappahannock,20-29,132,7,0
2020-05-09,"West Piedmont",20-29,5,0,0
2020-05-09,Arlington,70-79,124,49,16
2020-05-09,Chesterfield,0-9,5,0,0
2020-05-09,"Central Shenandoah",10-19,41,1,0
2020-05-09,Crater,0-9,0,0,0
2020-05-09,Fairfax,70-79,335,125,41
2020-05-09,Rappahannock,80+,13,9,2
2020-05-09,Alexandria,10-19,65,1,0
2020-05-09,Portsmouth,40-49,32,3,0
2020-05-09,"Three Rivers",50-59,39,3,0
2020-05-09,Alleghany,Missing,0,0,0
2020-05-09,Alexandria,30-39,279,17,0
2020-05-09,Southside,Missing,0,0,0
2020-05-09,Portsmouth,60-69,26,8,4
2020-05-09,Roanoke,30-39,12,0,0
2020-05-09,"Three Rivers",60-69,51,7,0
2020-05-09,Fairfax,50-59,989,158,15
2020-05-09,Portsmouth,50-59,37,12,1
2020-05-09,Chickahominy,80+,41,22,16
2020-05-09,"Rappahannock Rapidan",50-59,67,8,0
2020-05-09,Fairfax,80+,448,179,147
2020-05-09,Hampton,Missing,0,0,0
2020-05-09,"Cumberland Plateau",80+,0,0,0
2020-05-09,Alleghany,50-59,33,4,0
2020-05-09,"Prince William",40-49,665,62,2
2020-05-09,Fairfax,Missing,23,1,0
2020-05-09,"Virginia Beach",40-49,72,13,1
2020-05-09,Richmond,Missing,0,0,0
2020-05-09,Norfolk,40-49,55,8,0
2020-05-09,Piedmont,80+,12,2,1
2020-05-09,"Virginia Beach",60-69,78,13,1
2020-05-09,"West Piedmont",40-49,9,0,0
2020-05-09,Arlington,10-19,31,4,0
2020-05-09,Lenowisco,0-9,4,0,0
2020-05-09,Pittsylvania-Danville,50-59,12,5,0
2020-05-09,"Virginia Beach",50-59,76,12,0
2020-05-09,Chesapeake,Missing,0,0,0
2020-05-09,"Central Shenandoah",80+,65,9,10
2020-05-09,"Thomas Jefferson",40-49,38,5,0
2020-05-09,"Rappahannock Rapidan",60-69,42,8,1
2020-05-09,Norfolk,30-39,58,5,0
2020-05-09,"Rappahannock Rapidan",Missing,1,0,0
2020-05-09,"Lord Fairfax",80+,52,13,10
2020-05-09,"Three Rivers",10-19,7,0,0
2020-05-09,Piedmont,40-49,72,3,0
2020-05-09,Norfolk,80+,8,6,3
2020-05-09,Peninsula,20-29,37,1,0
2020-05-09,Norfolk,50-59,50,7,0
2020-05-09,"Thomas Jefferson",50-59,54,9,1
2020-05-09,Richmond,70-79,32,17,6
2020-05-09,Chesterfield,70-79,63,12,5
2020-05-09,Piedmont,30-39,74,0,0
2020-05-09,"Prince William",30-39,598,34,1
2020-05-09,Alleghany,20-29,17,1,0
2020-05-09,Alleghany,0-9,0,0,0
2020-05-09,"Mount Rogers",40-49,22,0,0
2020-05-09,"Eastern Shore",40-49,124,3,1
2020-05-09,"Central Virginia",60-69,28,3,1
2020-05-09,Richmond,10-19,12,1,0
2020-05-09,Pittsylvania-Danville,60-69,8,4,1
2020-05-09,Pittsylvania-Danville,Missing,0,0,0
2020-05-09,Chesterfield,60-69,96,17,8
2020-05-09,Southside,10-19,3,0,0
2020-05-09,"New River",80+,4,2,0
2020-05-09,"Central Virginia",50-59,27,1,1
