"Report Date","ZIP Code","Number of Cases","Total Number of People Tested"
5/8/2020,20105,49,364
5/8/2020,20106,18,66
5/8/2020,20109,387,938
5/8/2020,20110,405,1050
5/8/2020,20111,294,758
5/8/2020,20112,75,445
5/8/2020,20115,15,90
5/8/2020,20117,7,39
5/8/2020,20118,Suppressed*,35
5/8/2020,20119,8,60
5/8/2020,20120,92,584
5/8/2020,20121,72,363
5/8/2020,20124,28,224
5/8/2020,20129,7,23
5/8/2020,20130,0,8
5/8/2020,20132,20,210
5/8/2020,20135,5,44
5/8/2020,20136,69,413
5/8/2020,20137,0,15
5/8/2020,20139,Suppressed*,5
5/8/2020,20141,7,83
5/8/2020,20143,0,18
5/8/2020,20144,Suppressed*,11
5/8/2020,20147,171,880
5/8/2020,20148,69,564
5/8/2020,20151,80,308
5/8/2020,20152,54,328
5/8/2020,20155,91,549
5/8/2020,20158,6,51
5/8/2020,20164,282,786
5/8/2020,20165,104,507
5/8/2020,20166,50,227
5/8/2020,20169,39,355
5/8/2020,20170,251,766
5/8/2020,20171,150,567
5/8/2020,20175,55,481
5/8/2020,20176,149,778
5/8/2020,20180,5,111
5/8/2020,20181,20,142
5/8/2020,20184,Suppressed*,24
5/8/2020,20186,30,283
5/8/2020,20187,32,260
5/8/2020,20190,94,404
5/8/2020,20191,123,529
5/8/2020,20194,14,160
5/8/2020,20197,Suppressed*,42
5/8/2020,20198,Suppressed*,27
5/8/2020,22003,481,"1,352"
5/8/2020,22015,199,725
5/8/2020,22025,46,292
5/8/2020,22026,83,361
5/8/2020,22027,39,58
5/8/2020,22030,122,812
5/8/2020,22031,145,622
5/8/2020,22032,71,424
5/8/2020,22033,93,543
5/8/2020,22035,0,4
5/8/2020,22039,36,248
5/8/2020,22041,315,736
5/8/2020,22042,258,832
5/8/2020,22043,106,409
5/8/2020,22044,106,310
5/8/2020,22046,89,352
5/8/2020,22060,10,69
5/8/2020,22066,31,341
5/8/2020,22079,135,656
5/8/2020,22101,75,656
5/8/2020,22102,67,514
5/8/2020,22124,28,236
5/8/2020,22125,0,12
5/8/2020,22134,8,38
5/8/2020,22150,374,881
5/8/2020,22151,128,390
5/8/2020,22152,92,446
5/8/2020,22153,82,445
5/8/2020,22172,64,204
5/8/2020,22180,54,407
5/8/2020,22181,20,210
5/8/2020,22182,49,394
5/8/2020,22191,554,"1,897"
5/8/2020,22192,243,"1,273"
5/8/2020,22193,491,"1,762"
5/8/2020,22201,123,740
5/8/2020,22202,103,501
5/8/2020,22203,162,480
5/8/2020,22204,486,"1,366"
5/8/2020,22205,68,387
5/8/2020,22206,98,441
5/8/2020,22207,176,767
5/8/2020,22209,44,267
5/8/2020,22211,Suppressed*,8
5/8/2020,22213,10,54
5/8/2020,22214,0,2
5/8/2020,22301,36,295
5/8/2020,22302,107,397
5/8/2020,22303,77,375
5/8/2020,22304,311,"1,185"
5/8/2020,22305,330,608
5/8/2020,22306,329,885
5/8/2020,22307,36,215
5/8/2020,22308,23,150
5/8/2020,22309,267,741
5/8/2020,22310,139,592
5/8/2020,22311,200,552
5/8/2020,22312,211,690
5/8/2020,22314,115,724
5/8/2020,22315,55,391
5/8/2020,22401,52,439
5/8/2020,22405,48,452
5/8/2020,22406,36,353
