"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-02,Southside,"Not Reported",174,26,14
2020-06-02,"Lord Fairfax","Hispanic or Latino",378,24,5
2020-06-02,"Eastern Shore","Not Hispanic or Latino",895,72,32
2020-06-02,Portsmouth,"Hispanic or Latino",12,2,0
2020-06-02,Fairfax,"Not Reported",2941,126,126
2020-06-02,Richmond,"Hispanic or Latino",387,42,3
2020-06-02,Chesapeake,"Not Reported",108,6,0
2020-06-02,Arlington,"Hispanic or Latino",802,166,14
2020-06-02,"West Piedmont","Not Hispanic or Latino",112,14,3
2020-06-02,Fairfax,"Not Hispanic or Latino",2900,643,235
2020-06-02,Piedmont,"Hispanic or Latino",20,0,0
2020-06-02,Crater,"Not Hispanic or Latino",321,58,10
2020-06-02,Chickahominy,"Not Hispanic or Latino",211,65,28
2020-06-02,"New River","Not Hispanic or Latino",72,14,1
2020-06-02,"Lord Fairfax","Not Reported",398,24,16
2020-06-02,Rappahannock,"Not Reported",578,25,1
2020-06-02,"Central Shenandoah","Not Reported",242,7,6
2020-06-02,"Central Virginia","Not Hispanic or Latino",77,12,3
2020-06-02,Lenowisco,"Not Hispanic or Latino",24,11,2
2020-06-02,"Cumberland Plateau","Not Hispanic or Latino",21,2,0
2020-06-02,"Western Tidewater","Not Hispanic or Latino",378,69,39
2020-06-02,"New River","Not Reported",34,0,0
2020-06-02,Chesterfield,"Not Reported",1109,22,24
2020-06-02,Chesterfield,"Hispanic or Latino",305,9,0
2020-06-02,Hampton,"Not Hispanic or Latino",129,29,3
2020-06-02,Chesapeake,"Not Hispanic or Latino",394,78,14
2020-06-02,Peninsula,"Hispanic or Latino",72,10,1
2020-06-02,Arlington,"Not Reported",671,48,20
2020-06-02,Roanoke,"Not Hispanic or Latino",77,9,8
2020-06-02,"Lord Fairfax","Not Hispanic or Latino",680,75,33
2020-06-02,"Eastern Shore","Hispanic or Latino",181,5,3
2020-06-02,"Mount Rogers","Not Reported",22,4,0
2020-06-02,"Three Rivers","Not Hispanic or Latino",308,26,3
2020-06-02,"Thomas Jefferson","Not Reported",90,0,0
2020-06-02,"Three Rivers","Not Reported",178,12,5
2020-06-02,Arlington,"Not Hispanic or Latino",660,163,83
2020-06-02,Alleghany,"Not Hispanic or Latino",124,17,15
2020-06-02,Loudoun,"Not Reported",1372,7,8
2020-06-02,Fairfax,"Hispanic or Latino",5707,608,44
2020-06-02,Peninsula,"Not Reported",155,3,2
2020-06-02,Crater,"Hispanic or Latino",39,1,0
2020-06-02,Piedmont,"Not Hispanic or Latino",369,39,3
2020-06-02,Henrico,"Hispanic or Latino",214,19,4
2020-06-02,Alexandria,"Not Hispanic or Latino",610,103,35
2020-06-02,"Central Virginia","Hispanic or Latino",14,1,1
2020-06-02,Alleghany,"Not Reported",64,3,1
2020-06-02,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-06-02,"Western Tidewater","Hispanic or Latino",5,1,0
2020-06-02,Chesterfield,"Not Hispanic or Latino",345,57,30
2020-06-02,Pittsylvania-Danville,"Not Hispanic or Latino",72,21,3
2020-06-02,"Mount Rogers","Hispanic or Latino",132,0,0
2020-06-02,Richmond,"Not Reported",666,32,3
2020-06-02,Peninsula,"Not Hispanic or Latino",403,104,29
2020-06-02,Chesapeake,"Hispanic or Latino",39,5,1
2020-06-02,Southside,"Hispanic or Latino",2,1,0
2020-06-02,"Thomas Jefferson","Not Hispanic or Latino",363,69,19
2020-06-02,Norfolk,"Not Hispanic or Latino",307,60,6
2020-06-02,Portsmouth,"Not Reported",182,9,2
2020-06-02,Norfolk,"Not Reported",136,1,0
2020-06-02,"Three Rivers","Hispanic or Latino",49,0,0
2020-06-02,"Eastern Shore","Not Reported",106,0,0
2020-06-02,Alleghany,"Hispanic or Latino",23,4,0
2020-06-02,Henrico,"Not Reported",788,29,26
2020-06-02,Henrico,"Not Hispanic or Latino",917,160,105
2020-06-02,Loudoun,"Not Hispanic or Latino",625,100,55
2020-06-02,Hampton,"Not Reported",68,1,0
2020-06-02,"Rappahannock Rapidan","Not Hispanic or Latino",257,31,10
2020-06-02,Alexandria,"Not Reported",398,4,3
2020-06-02,Rappahannock,"Not Hispanic or Latino",493,77,15
2020-06-02,"Western Tidewater","Not Reported",257,3,1
2020-06-02,"Cumberland Plateau","Not Reported",14,0,0
2020-06-02,Alexandria,"Hispanic or Latino",992,86,6
2020-06-02,"Virginia Beach","Not Hispanic or Latino",499,83,21
2020-06-02,"Prince William","Hispanic or Latino",2623,348,30
2020-06-02,"Virginia Beach","Not Reported",197,6,1
2020-06-02,"Central Shenandoah","Hispanic or Latino",693,40,3
2020-06-02,Pittsylvania-Danville,"Hispanic or Latino",11,1,0
2020-06-02,"Mount Rogers","Not Hispanic or Latino",207,30,6
2020-06-02,Piedmont,"Not Reported",362,12,3
2020-06-02,Southside,"Not Hispanic or Latino",100,12,9
2020-06-02,"Thomas Jefferson","Hispanic or Latino",99,1,0
2020-06-02,Pittsylvania-Danville,"Not Reported",19,6,0
2020-06-02,Norfolk,"Hispanic or Latino",87,9,0
2020-06-02,Portsmouth,"Not Hispanic or Latino",131,36,9
2020-06-02,"West Piedmont","Not Reported",69,6,2
2020-06-02,Richmond,"Not Hispanic or Latino",381,84,18
2020-06-02,"West Piedmont","Hispanic or Latino",47,1,0
